EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HULL, UNITED KINGDOM (STAID: 273)
Blended and updated with sources:930 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   273,   930,19050601,-9999,    9
   273,   930,19050602,  150,    0
   273,   930,19050603,  150,    0
   273,   930,19050604,  156,    0
   273,   930,19050605,  134,    0
   273,   930,19050606,  131,    1
   273,   930,19050607,  114,    0
   273,   930,19050608,  100,    0
   273,   930,19050609,  109,    0
   273,   930,19050610,   92,    0
   273,   930,19050611,  112,    0
   273,   930,19050612,  128,    0
   273,   930,19050613,  144,    0
   273,   930,19050614,  145,    0
   273,   930,19050615,  131,    0
   273,   930,19050616,  136,    0
   273,   930,19050617,  153,    0
   273,   930,19050618,  170,    0
   273,   930,19050619,  170,    0
   273,   930,19050620,  172,    0
   273,   930,19050621,  150,    0
   273,   930,19050622,  156,    0
   273,   930,19050623,  159,    0
   273,   930,19050624,  144,    0
   273,   930,19050625,  128,    0
   273,   930,19050626,  175,    0
   273,   930,19050627,  161,    0
   273,   930,19050628,  200,    1
   273,   930,19050629,  183,    1
   273,   930,19050630,  158,    0
   273,   930,19050701,  136,    0
   273,   930,19050702,  178,    0
   273,   930,19050703,  181,    0
   273,   930,19050704,  145,    0
   273,   930,19050705,  161,    0
   273,   930,19050706,  159,    0
   273,   930,19050707,  142,    0
   273,   930,19050708,  187,    0
   273,   930,19050709,  167,    0
   273,   930,19050710,  183,    0
   273,   930,19050711,  209,    0
   273,   930,19050712,  223,    0
   273,   930,19050713,  206,    0
   273,   930,19050714,  195,    0
   273,   930,19050715,  228,    1
   273,   930,19050716,  198,    0
   273,   930,19050717,  170,    0
   273,   930,19050718,  167,    0
   273,   930,19050719,  142,    0
   273,   930,19050720,  156,    0
   273,   930,19050721,  181,    0
   273,   930,19050722,  200,    0
   273,   930,19050723,  189,    0
   273,   930,19050724,  156,    0
   273,   930,19050725,  189,    0
   273,   930,19050726,  181,    0
   273,   930,19050727,  175,    0
   273,   930,19050728,  153,    0
   273,   930,19050729,  147,    0
   273,   930,19050730,  178,    0
   273,   930,19050731,  153,    0
   273,   930,19050801,  142,    0
   273,   930,19050802,  158,    0
   273,   930,19050803,  172,    0
   273,   930,19050804,  156,    0
   273,   930,19050805,  175,    0
   273,   930,19050806,  156,    0
   273,   930,19050807,  167,    0
   273,   930,19050808,  170,    0
   273,   930,19050809,  164,    0
   273,   930,19050810,  145,    0
   273,   930,19050811,  159,    0
   273,   930,19050812,  142,    0
   273,   930,19050813,  156,    0
   273,   930,19050814,  161,    0
   273,   930,19050815,  175,    0
   273,   930,19050816,  161,    0
   273,   930,19050817,  145,    0
   273,   930,19050818,  150,    0
   273,   930,19050819,  139,    0
   273,   930,19050820,  147,    0
   273,   930,19050821,  153,    0
   273,   930,19050822,  178,    1
   273,   930,19050823,  161,    0
   273,   930,19050824,  131,    0
   273,   930,19050825,  136,    0
   273,   930,19050826,  161,    0
   273,   930,19050827,  128,    0
   273,   930,19050828,  156,    0
   273,   930,19050829,  139,    0
   273,   930,19050830,  145,    0
   273,   930,19050831,  125,    0
   273,   930,19050901,  136,    0
   273,   930,19050902,  156,    0
   273,   930,19050903,  172,    0
   273,   930,19050904,  153,    0
   273,   930,19050905,  150,    0
   273,   930,19050906,  150,    0
   273,   930,19050907,  145,    0
   273,   930,19050908,  136,    0
   273,   930,19050909,  145,    0
   273,   930,19050910,  142,    0
   273,   930,19050911,  136,    0
   273,   930,19050912,  131,    0
   273,   930,19050913,  145,    0
   273,   930,19050914,  111,    0
   273,   930,19050915,   92,    0
   273,   930,19050916,  117,    0
   273,   930,19050917,  122,    0
   273,   930,19050918,  153,    0
   273,   930,19050919,  133,    0
   273,   930,19050920,  122,    0
   273,   930,19050921,  100,    0
   273,   930,19050922,  117,    0
   273,   930,19050923,  131,    0
   273,   930,19050924,  125,    0
   273,   930,19050925,  123,    0
   273,   930,19050926,  111,    0
   273,   930,19050927,  106,    0
   273,   930,19050928,  111,    0
   273,   930,19050929,  128,    1
   273,   930,19050930,  103,    0
   273,   930,19051001,   98,    0
   273,   930,19051002,   94,    0
   273,   930,19051003,   75,    0
   273,   930,19051004,  100,    0
   273,   930,19051005,   89,    0
   273,   930,19051006,   78,    0
   273,   930,19051007,   75,    0
   273,   930,19051008,   95,    0
   273,   930,19051009,   95,    0
   273,   930,19051010,  133,    1
   273,   930,19051011,  108,    0
   273,   930,19051012,  109,    0
   273,   930,19051013,   70,    0
   273,   930,19051014,   64,    0
   273,   930,19051015,   70,    0
   273,   930,19051016,   61,    0
   273,   930,19051017,   34,    0
   273,   930,19051018,   59,    0
   273,   930,19051019,   45,    0
   273,   930,19051020,   53,    0
   273,   930,19051021,   56,    0
   273,   930,19051022,   53,    0
   273,   930,19051023,   48,    0
   273,   930,19051024,   50,    0
   273,   930,19051025,   50,    0
   273,   930,19051026,   61,    0
   273,   930,19051027,   61,    0
   273,   930,19051028,   67,    0
   273,   930,19051029,   84,    0
   273,   930,19051030,   83,    0
   273,   930,19051031,   86,    0
   273,   930,19051101,   39,    0
   273,   930,19051102,   84,    0
   273,   930,19051103,   86,    0
   273,   930,19051104,   64,    0
   273,   930,19051105,   67,    0
   273,   930,19051106,   61,    0
   273,   930,19051107,   64,    0
   273,   930,19051108,   67,    0
   273,   930,19051109,   69,    0
   273,   930,19051110,   67,    0
   273,   930,19051111,   67,    0
   273,   930,19051112,   81,    0
   273,   930,19051113,   72,    0
   273,   930,19051114,   64,    0
   273,   930,19051115,   50,    1
   273,   930,19051116,   34,    0
   273,   930,19051117,   11,    1
   273,   930,19051118,   -6,    0
   273,   930,19051119,  -28,    0
   273,   930,19051120,   -3,    0
   273,   930,19051121,    9,    0
   273,   930,19051122,   25,    0
   273,   930,19051123,   61,    0
   273,   930,19051124,   61,    0
   273,   930,19051125,   45,    0
   273,   930,19051126,   62,    0
   273,   930,19051127,   70,    0
   273,   930,19051128,   61,    0
   273,   930,19051129,   53,    0
   273,   930,19051130,   47,    0
   273,   930,19051201,   42,    0
   273,   930,19051202,   42,    0
   273,   930,19051203,   45,    1
   273,   930,19051204,   34,    0
   273,   930,19051205,   31,    0
   273,   930,19051206,   50,    0
   273,   930,19051207,   73,    0
   273,   930,19051208,   78,    0
   273,   930,19051209,   59,    0
   273,   930,19051210,   50,    1
   273,   930,19051211,   37,    0
   273,   930,19051212,   36,    0
   273,   930,19051213,   36,    0
   273,   930,19051214,   61,    0
   273,   930,19051215,   59,    0
   273,   930,19051216,   53,    0
   273,   930,19051217,   53,    0
   273,   930,19051218,   48,    0
   273,   930,19051219,   45,    0
   273,   930,19051220,   48,    0
   273,   930,19051221,   78,    0
   273,   930,19051222,   86,    1
   273,   930,19051223,   59,    1
   273,   930,19051224,   48,    0
   273,   930,19051225,   31,    0
   273,   930,19051226,   36,    0
   273,   930,19051227,   37,    0
   273,   930,19051228,   31,    0
   273,   930,19051229,   48,    1
   273,   930,19051230,   39,    1
   273,   930,19051231,   17,    0
   273,   930,19060101,-9999,    9
   273,   930,19060102,-9999,    9
   273,   930,19060103,-9999,    9
   273,   930,19060104,-9999,    9
   273,   930,19060105,-9999,    9
   273,   930,19060106,-9999,    9
   273,   930,19060107,-9999,    9
   273,   930,19060108,-9999,    9
   273,   930,19060109,-9999,    9
   273,   930,19060110,-9999,    9
   273,   930,19060111,-9999,    9
   273,   930,19060112,-9999,    9
   273,   930,19060113,-9999,    9
   273,   930,19060114,-9999,    9
   273,   930,19060115,-9999,    9
   273,   930,19060116,-9999,    9
   273,   930,19060117,-9999,    9
   273,   930,19060118,-9999,    9
   273,   930,19060119,-9999,    9
   273,   930,19060120,-9999,    9
   273,   930,19060121,-9999,    9
   273,   930,19060122,-9999,    9
   273,   930,19060123,-9999,    9
   273,   930,19060124,-9999,    9
   273,   930,19060125,-9999,    9
   273,   930,19060126,-9999,    9
   273,   930,19060127,-9999,    9
   273,   930,19060128,-9999,    9
   273,   930,19060129,-9999,    9
   273,   930,19060130,-9999,    9
   273,   930,19060131,-9999,    9
   273,   930,19060201,-9999,    9
   273,   930,19060202,-9999,    9
   273,   930,19060203,-9999,    9
   273,   930,19060204,-9999,    9
   273,   930,19060205,-9999,    9
   273,   930,19060206,-9999,    9
   273,   930,19060207,-9999,    9
   273,   930,19060208,-9999,    9
   273,   930,19060209,-9999,    9
   273,   930,19060210,-9999,    9
   273,   930,19060211,-9999,    9
   273,   930,19060212,-9999,    9
   273,   930,19060213,-9999,    9
   273,   930,19060214,-9999,    9
   273,   930,19060215,-9999,    9
   273,   930,19060216,-9999,    9
   273,   930,19060217,-9999,    9
   273,   930,19060218,-9999,    9
   273,   930,19060219,-9999,    9
   273,   930,19060220,-9999,    9
   273,   930,19060221,-9999,    9
   273,   930,19060222,-9999,    9
   273,   930,19060223,-9999,    9
   273,   930,19060224,-9999,    9
   273,   930,19060225,-9999,    9
   273,   930,19060226,-9999,    9
   273,   930,19060227,-9999,    9
   273,   930,19060228,-9999,    9
   273,   930,19060301,-9999,    9
   273,   930,19060302,-9999,    9
   273,   930,19060303,-9999,    9
   273,   930,19060304,-9999,    9
   273,   930,19060305,-9999,    9
   273,   930,19060306,-9999,    9
   273,   930,19060307,-9999,    9
   273,   930,19060308,-9999,    9
   273,   930,19060309,-9999,    9
   273,   930,19060310,-9999,    9
   273,   930,19060311,-9999,    9
   273,   930,19060312,-9999,    9
   273,   930,19060313,-9999,    9
   273,   930,19060314,-9999,    9
   273,   930,19060315,-9999,    9
   273,   930,19060316,-9999,    9
   273,   930,19060317,-9999,    9
   273,   930,19060318,-9999,    9
   273,   930,19060319,-9999,    9
   273,   930,19060320,-9999,    9
   273,   930,19060321,-9999,    9
   273,   930,19060322,-9999,    9
   273,   930,19060323,-9999,    9
   273,   930,19060324,-9999,    9
   273,   930,19060325,-9999,    9
   273,   930,19060326,-9999,    9
   273,   930,19060327,-9999,    9
   273,   930,19060328,-9999,    9
   273,   930,19060329,-9999,    9
   273,   930,19060330,-9999,    9
   273,   930,19060331,-9999,    9
   273,   930,19060401,-9999,    9
   273,   930,19060402,-9999,    9
   273,   930,19060403,-9999,    9
   273,   930,19060404,-9999,    9
   273,   930,19060405,-9999,    9
   273,   930,19060406,-9999,    9
   273,   930,19060407,-9999,    9
   273,   930,19060408,-9999,    9
   273,   930,19060409,-9999,    9
   273,   930,19060410,-9999,    9
   273,   930,19060411,-9999,    9
   273,   930,19060412,-9999,    9
   273,   930,19060413,-9999,    9
   273,   930,19060414,-9999,    9
   273,   930,19060415,-9999,    9
   273,   930,19060416,-9999,    9
   273,   930,19060417,-9999,    9
   273,   930,19060418,-9999,    9
   273,   930,19060419,-9999,    9
   273,   930,19060420,-9999,    9
   273,   930,19060421,-9999,    9
   273,   930,19060422,-9999,    9
   273,   930,19060423,-9999,    9
   273,   930,19060424,-9999,    9
   273,   930,19060425,-9999,    9
   273,   930,19060426,-9999,    9
   273,   930,19060427,-9999,    9
   273,   930,19060428,-9999,    9
   273,   930,19060429,-9999,    9
   273,   930,19060430,-9999,    9
   273,   930,19060501,-9999,    9
   273,   930,19060502,-9999,    9
   273,   930,19060503,-9999,    9
   273,   930,19060504,-9999,    9
   273,   930,19060505,-9999,    9
   273,   930,19060506,-9999,    9
   273,   930,19060507,-9999,    9
   273,   930,19060508,-9999,    9
   273,   930,19060509,-9999,    9
   273,   930,19060510,-9999,    9
   273,   930,19060511,-9999,    9
   273,   930,19060512,-9999,    9
   273,   930,19060513,-9999,    9
   273,   930,19060514,-9999,    9
   273,   930,19060515,-9999,    9
   273,   930,19060516,-9999,    9
   273,   930,19060517,-9999,    9
   273,   930,19060518,-9999,    9
   273,   930,19060519,-9999,    9
   273,   930,19060520,-9999,    9
   273,   930,19060521,-9999,    9
   273,   930,19060522,-9999,    9
   273,   930,19060523,-9999,    9
   273,   930,19060524,-9999,    9
   273,   930,19060525,-9999,    9
   273,   930,19060526,-9999,    9
   273,   930,19060527,-9999,    9
   273,   930,19060528,-9999,    9
   273,   930,19060529,-9999,    9
   273,   930,19060530,-9999,    9
   273,   930,19060531,-9999,    9
   273,   930,19060601,-9999,    9
   273,   930,19060602,-9999,    9
   273,   930,19060603,-9999,    9
   273,   930,19060604,-9999,    9
   273,   930,19060605,-9999,    9
   273,   930,19060606,-9999,    9
   273,   930,19060607,-9999,    9
   273,   930,19060608,-9999,    9
   273,   930,19060609,-9999,    9
   273,   930,19060610,-9999,    9
   273,   930,19060611,-9999,    9
   273,   930,19060612,-9999,    9
   273,   930,19060613,-9999,    9
   273,   930,19060614,-9999,    9
   273,   930,19060615,-9999,    9
   273,   930,19060616,-9999,    9
   273,   930,19060617,-9999,    9
   273,   930,19060618,-9999,    9
   273,   930,19060619,-9999,    9
   273,   930,19060620,-9999,    9
   273,   930,19060621,-9999,    9
   273,   930,19060622,-9999,    9
   273,   930,19060623,-9999,    9
   273,   930,19060624,-9999,    9
