EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TROMSO, NORWAY (STAID: 328)
Blended and updated with sources:9405 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   328,  9405,19200701,  119,    0
   328,  9405,19200702,  114,    0
   328,  9405,19200703,  118,    0
   328,  9405,19200704,   77,    0
   328,  9405,19200705,  102,    0
   328,  9405,19200706,  166,    0
   328,  9405,19200707,  179,    0
   328,  9405,19200708,  177,    0
   328,  9405,19200709,  136,    0
   328,  9405,19200710,  127,    0
   328,  9405,19200711,  144,    0
   328,  9405,19200712,  122,    0
   328,  9405,19200713,  129,    0
   328,  9405,19200714,  131,    0
   328,  9405,19200715,  138,    0
   328,  9405,19200716,  135,    0
   328,  9405,19200717,  118,    0
   328,  9405,19200718,  137,    0
   328,  9405,19200719,   99,    0
   328,  9405,19200720,   77,    0
   328,  9405,19200721,   79,    0
   328,  9405,19200722,   91,    0
   328,  9405,19200723,  115,    0
   328,  9405,19200724,  110,    0
   328,  9405,19200725,  102,    0
   328,  9405,19200726,   99,    0
   328,  9405,19200727,   81,    0
   328,  9405,19200728,   89,    0
   328,  9405,19200729,   91,    0
   328,  9405,19200730,  136,    0
   328,  9405,19200731,  153,    0
   328,  9405,19200801,  137,    0
   328,  9405,19200802,  127,    0
   328,  9405,19200803,  135,    0
   328,  9405,19200804,  132,    0
   328,  9405,19200805,  123,    0
   328,  9405,19200806,  134,    0
   328,  9405,19200807,  150,    0
   328,  9405,19200808,  121,    0
   328,  9405,19200809,  113,    0
   328,  9405,19200810,  102,    0
   328,  9405,19200811,  101,    0
   328,  9405,19200812,   94,    0
   328,  9405,19200813,   94,    0
   328,  9405,19200814,  106,    0
   328,  9405,19200815,   84,    0
   328,  9405,19200816,  101,    0
   328,  9405,19200817,  103,    0
   328,  9405,19200818,   90,    0
   328,  9405,19200819,   78,    0
   328,  9405,19200820,   88,    0
   328,  9405,19200821,   87,    0
   328,  9405,19200822,  123,    0
   328,  9405,19200823,  151,    0
   328,  9405,19200824,  151,    0
   328,  9405,19200825,  144,    0
   328,  9405,19200826,   87,    0
   328,  9405,19200827,  105,    0
   328,  9405,19200828,   71,    0
   328,  9405,19200829,   65,    0
   328,  9405,19200830,   71,    0
   328,  9405,19200831,   75,    0
   328,  9405,19200901,   90,    0
   328,  9405,19200902,   90,    0
   328,  9405,19200903,   84,    0
   328,  9405,19200904,   94,    0
   328,  9405,19200905,  104,    0
   328,  9405,19200906,  118,    0
   328,  9405,19200907,  120,    0
   328,  9405,19200908,   98,    0
   328,  9405,19200909,   86,    0
   328,  9405,19200910,   95,    0
   328,  9405,19200911,  117,    0
   328,  9405,19200912,   95,    0
   328,  9405,19200913,   90,    0
   328,  9405,19200914,   86,    0
   328,  9405,19200915,   91,    0
   328,  9405,19200916,   92,    0
   328,  9405,19200917,   93,    0
   328,  9405,19200918,   75,    0
   328,  9405,19200919,   92,    0
   328,  9405,19200920,   95,    0
   328,  9405,19200921,   42,    0
   328,  9405,19200922,   75,    0
   328,  9405,19200923,   95,    0
   328,  9405,19200924,   80,    0
   328,  9405,19200925,  105,    0
   328,  9405,19200926,   92,    0
   328,  9405,19200927,   84,    0
   328,  9405,19200928,  106,    0
   328,  9405,19200929,   61,    0
   328,  9405,19200930,   34,    0
   328,  9405,19201001,   37,    0
   328,  9405,19201002,   40,    0
   328,  9405,19201003,   39,    0
   328,  9405,19201004,   34,    0
   328,  9405,19201005,   44,    0
   328,  9405,19201006,   64,    0
   328,  9405,19201007,   62,    0
   328,  9405,19201008,   83,    0
   328,  9405,19201009,   70,    0
   328,  9405,19201010,   87,    0
   328,  9405,19201011,   86,    0
   328,  9405,19201012,   39,    0
   328,  9405,19201013,    1,    0
   328,  9405,19201014,  -10,    0
   328,  9405,19201015,  -17,    0
   328,  9405,19201016,  -35,    0
   328,  9405,19201017,  -16,    0
   328,  9405,19201018,    7,    0
   328,  9405,19201019,   28,    0
   328,  9405,19201020,   26,    0
   328,  9405,19201021,   27,    0
   328,  9405,19201022,   27,    0
   328,  9405,19201023,   31,    0
   328,  9405,19201024,   23,    0
   328,  9405,19201025,   31,    0
   328,  9405,19201026,   45,    0
   328,  9405,19201027,   49,    0
   328,  9405,19201028,   61,    0
   328,  9405,19201029,   61,    0
   328,  9405,19201030,   66,    0
   328,  9405,19201031,   34,    0
   328,  9405,19201101,   16,    0
   328,  9405,19201102,    0,    0
   328,  9405,19201103,   -1,    0
   328,  9405,19201104,   22,    0
   328,  9405,19201105,    4,    0
   328,  9405,19201106,   22,    0
   328,  9405,19201107,   47,    0
   328,  9405,19201108,   17,    0
   328,  9405,19201109,  -21,    0
   328,  9405,19201110,  -32,    0
   328,  9405,19201111,  -30,    0
   328,  9405,19201112,   -3,    0
   328,  9405,19201113,    2,    0
   328,  9405,19201114,   27,    0
   328,  9405,19201115,   12,    0
   328,  9405,19201116,   -2,    0
   328,  9405,19201117,  -13,    0
   328,  9405,19201118,   16,    0
   328,  9405,19201119,   35,    0
   328,  9405,19201120,   46,    0
   328,  9405,19201121,   43,    0
   328,  9405,19201122,   24,    0
   328,  9405,19201123,   37,    0
   328,  9405,19201124,   36,    0
   328,  9405,19201125,   44,    0
   328,  9405,19201126,   16,    0
   328,  9405,19201127,   26,    0
   328,  9405,19201128,   17,    0
   328,  9405,19201129,   14,    0
   328,  9405,19201130,   -7,    0
   328,  9405,19201201,  -11,    0
   328,  9405,19201202,  -18,    0
   328,  9405,19201203,  -32,    0
   328,  9405,19201204,   -8,    0
   328,  9405,19201205,   30,    0
   328,  9405,19201206,   62,    0
   328,  9405,19201207,   62,    0
   328,  9405,19201208,   38,    0
   328,  9405,19201209,   27,    0
   328,  9405,19201210,   -8,    0
   328,  9405,19201211,   17,    0
   328,  9405,19201212,   49,    0
   328,  9405,19201213,   47,    0
   328,  9405,19201214,   39,    0
   328,  9405,19201215,   48,    0
   328,  9405,19201216,   24,    0
   328,  9405,19201217,   -9,    0
   328,  9405,19201218,  -10,    0
   328,  9405,19201219,  -47,    0
   328,  9405,19201220,  -85,    0
   328,  9405,19201221,  -96,    0
   328,  9405,19201222,  -60,    0
   328,  9405,19201223,   21,    0
   328,  9405,19201224,    1,    0
   328,  9405,19201225,  -31,    0
   328,  9405,19201226,  -32,    0
   328,  9405,19201227,  -27,    0
   328,  9405,19201228,  -19,    0
   328,  9405,19201229,  -30,    0
   328,  9405,19201230,  -42,    0
   328,  9405,19201231,  -72,    0
   328,  9405,19210101,  -76,    0
   328,  9405,19210102,  -72,    0
   328,  9405,19210103,  -76,    0
   328,  9405,19210104,  -75,    0
   328,  9405,19210105,  -18,    0
   328,  9405,19210106,   39,    0
   328,  9405,19210107,   23,    0
   328,  9405,19210108,  -30,    0
   328,  9405,19210109,  -71,    0
   328,  9405,19210110,  -81,    0
   328,  9405,19210111,  -98,    0
   328,  9405,19210112,  -98,    0
   328,  9405,19210113,  -66,    0
   328,  9405,19210114,  -50,    0
   328,  9405,19210115,  -52,    0
   328,  9405,19210116,   25,    0
   328,  9405,19210117,   13,    0
   328,  9405,19210118,  -17,    0
   328,  9405,19210119,  -21,    0
   328,  9405,19210120,  -27,    0
   328,  9405,19210121,  -71,    0
   328,  9405,19210122,  -63,    0
   328,  9405,19210123,  -60,    0
   328,  9405,19210124,  -55,    0
   328,  9405,19210125,  -78,    0
   328,  9405,19210126,  -93,    0
   328,  9405,19210127,  -65,    0
   328,  9405,19210128,  -71,    0
   328,  9405,19210129,  -77,    0
   328,  9405,19210130,  -90,    0
   328,  9405,19210131,  -93,    0
   328,  9405,19210201,  -40,    0
   328,  9405,19210202,  -35,    0
   328,  9405,19210203,  -51,    0
   328,  9405,19210204,  -52,    0
   328,  9405,19210205,  -29,    0
   328,  9405,19210206,   -3,    0
   328,  9405,19210207,   17,    0
   328,  9405,19210208,   21,    0
   328,  9405,19210209,   22,    0
   328,  9405,19210210,  -42,    0
   328,  9405,19210211,  -50,    0
   328,  9405,19210212,  -90,    0
   328,  9405,19210213,  -78,    0
   328,  9405,19210214, -114,    0
   328,  9405,19210215,  -51,    0
   328,  9405,19210216,  -61,    0
   328,  9405,19210217,  -70,    0
   328,  9405,19210218,  -47,    0
   328,  9405,19210219,  -37,    0
   328,  9405,19210220,   23,    0
   328,  9405,19210221,   30,    0
   328,  9405,19210222,   25,    0
   328,  9405,19210223,   21,    0
   328,  9405,19210224,   30,    0
   328,  9405,19210225,   37,    0
   328,  9405,19210226,   12,    0
   328,  9405,19210227,  -30,    0
   328,  9405,19210228,  -57,    0
   328,  9405,19210301,  -24,    0
   328,  9405,19210302,  -40,    0
   328,  9405,19210303,  -91,    0
   328,  9405,19210304,  -91,    0
   328,  9405,19210305,  -74,    0
   328,  9405,19210306,  -72,    0
   328,  9405,19210307,  -66,    0
   328,  9405,19210308,  -48,    0
   328,  9405,19210309,  -49,    0
   328,  9405,19210310,  -32,    0
   328,  9405,19210311,   28,    0
   328,  9405,19210312,   29,    0
   328,  9405,19210313,   46,    0
   328,  9405,19210314,   38,    0
   328,  9405,19210315,   23,    0
   328,  9405,19210316,   36,    0
   328,  9405,19210317,   31,    0
   328,  9405,19210318,   28,    0
   328,  9405,19210319,   19,    0
   328,  9405,19210320,   19,    0
   328,  9405,19210321,    9,    0
   328,  9405,19210322,   17,    0
   328,  9405,19210323,   20,    0
   328,  9405,19210324,   18,    0
   328,  9405,19210325,   16,    0
   328,  9405,19210326,    1,    0
   328,  9405,19210327,    6,    0
   328,  9405,19210328,    1,    0
   328,  9405,19210329,   -4,    0
   328,  9405,19210330,    2,    0
   328,  9405,19210331,  -19,    0
   328,  9405,19210401,   -7,    0
   328,  9405,19210402,   34,    0
   328,  9405,19210403,   20,    0
   328,  9405,19210404,   41,    0
   328,  9405,19210405,    4,    0
   328,  9405,19210406,  -24,    0
   328,  9405,19210407,   21,    0
   328,  9405,19210408,   25,    0
   328,  9405,19210409,   39,    0
   328,  9405,19210410,   10,    0
   328,  9405,19210411,  -11,    0
   328,  9405,19210412,    4,    0
   328,  9405,19210413,   11,    0
   328,  9405,19210414,   11,    0
   328,  9405,19210415,   27,    0
   328,  9405,19210416,    2,    0
   328,  9405,19210417,  -17,    0
   328,  9405,19210418,   14,    0
   328,  9405,19210419,   15,    0
   328,  9405,19210420,   23,    0
   328,  9405,19210421,   50,    0
   328,  9405,19210422,   51,    0
   328,  9405,19210423,   50,    0
   328,  9405,19210424,   60,    0
   328,  9405,19210425,   86,    0
   328,  9405,19210426,   94,    0
   328,  9405,19210427,  108,    0
   328,  9405,19210428,   17,    0
   328,  9405,19210429,   40,    0
   328,  9405,19210430,   38,    0
   328,  9405,19210501,   24,    0
   328,  9405,19210502,   10,    0
   328,  9405,19210503,   -8,    0
   328,  9405,19210504,   22,    0
   328,  9405,19210505,   15,    0
   328,  9405,19210506,   40,    0
   328,  9405,19210507,   29,    0
   328,  9405,19210508,   34,    0
   328,  9405,19210509,    8,    0
   328,  9405,19210510,   14,    0
   328,  9405,19210511,   28,    0
   328,  9405,19210512,   26,    0
   328,  9405,19210513,   44,    0
   328,  9405,19210514,   59,    0
   328,  9405,19210515,   70,    0
   328,  9405,19210516,   49,    0
   328,  9405,19210517,   62,    0
   328,  9405,19210518,   99,    0
