EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FOKSTUA, NORWAY (STAID: 330)
Blended and updated with sources:9443 9452 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   330,  9443,19230201,  -66,    0
   330,  9443,19230202,  -39,    0
   330,  9443,19230203,  -68,    0
   330,  9443,19230204,  -70,    0
   330,  9443,19230205,  -48,    0
   330,  9443,19230206,  -45,    0
   330,  9443,19230207,  -50,    0
   330,  9443,19230208,  -76,    0
   330,  9443,19230209,  -96,    0
   330,  9443,19230210,  -95,    0
   330,  9443,19230211, -122,    0
   330,  9443,19230212, -122,    0
   330,  9443,19230213, -181,    0
   330,  9443,19230214, -185,    0
   330,  9443,19230215, -198,    0
   330,  9443,19230216, -221,    0
   330,  9443,19230217, -192,    0
   330,  9443,19230218, -180,    0
   330,  9443,19230219, -184,    0
   330,  9443,19230220, -178,    0
   330,  9443,19230221, -158,    0
   330,  9443,19230222, -164,    0
   330,  9443,19230223, -149,    0
   330,  9443,19230224, -159,    0
   330,  9443,19230225, -170,    0
   330,  9443,19230226, -164,    0
   330,  9443,19230227, -158,    0
   330,  9443,19230228, -134,    0
   330,  9443,19230301,  -29,    0
   330,  9443,19230302,  -74,    0
   330,  9443,19230303,  -65,    0
   330,  9443,19230304,  -71,    0
   330,  9443,19230305,  -48,    0
   330,  9443,19230306,  -42,    0
   330,  9443,19230307,  -40,    0
   330,  9443,19230308,  -53,    0
   330,  9443,19230309,  -57,    0
   330,  9443,19230310,  -65,    0
   330,  9443,19230311, -110,    0
   330,  9443,19230312,  -95,    0
   330,  9443,19230313,  -60,    0
   330,  9443,19230314,   -5,    0
   330,  9443,19230315,  -33,    0
   330,  9443,19230316,  -43,    0
   330,  9443,19230317,  -36,    0
   330,  9443,19230318,  -19,    0
   330,  9443,19230319,  -23,    0
   330,  9443,19230320,   -7,    0
   330,  9443,19230321,  -37,    0
   330,  9443,19230322,  -35,    0
   330,  9443,19230323,  -49,    0
   330,  9443,19230324,  -23,    0
   330,  9443,19230325,  -20,    0
   330,  9443,19230326,    8,    0
   330,  9443,19230327,  -26,    0
   330,  9443,19230328,  -29,    0
   330,  9443,19230329,  -10,    0
   330,  9443,19230330,   12,    0
   330,  9443,19230331,    7,    0
   330,  9443,19230401,  -59,    0
   330,  9443,19230402,  -53,    0
   330,  9443,19230403,  -61,    0
   330,  9443,19230404,  -61,    0
   330,  9443,19230405,  -70,    0
   330,  9443,19230406,  -57,    0
   330,  9443,19230407,  -53,    0
   330,  9443,19230408,  -54,    0
   330,  9443,19230409,  -45,    0
   330,  9443,19230410,  -43,    0
   330,  9443,19230411,  -53,    0
   330,  9443,19230412,  -35,    0
   330,  9443,19230413,   -3,    0
   330,  9443,19230414,    3,    0
   330,  9443,19230415,   -6,    0
   330,  9443,19230416,  -40,    0
   330,  9443,19230417,  -57,    0
   330,  9443,19230418,  -40,    0
   330,  9443,19230419,  -56,    0
   330,  9443,19230420,  -73,    0
   330,  9443,19230421,  -85,    0
   330,  9443,19230422,  -50,    0
   330,  9443,19230423,  -33,    0
   330,  9443,19230424,  -49,    0
   330,  9443,19230425,  -48,    0
   330,  9443,19230426,  -29,    0
   330,  9443,19230427,  -19,    0
   330,  9443,19230428,  -28,    0
   330,  9443,19230429,  -18,    0
   330,  9443,19230430,  -21,    0
   330,  9443,19230501,  -21,    0
   330,  9443,19230502,  -26,    0
   330,  9443,19230503,  -22,    0
   330,  9443,19230504,    3,    0
   330,  9443,19230505,   43,    0
   330,  9443,19230506,   34,    0
   330,  9443,19230507,   -9,    0
   330,  9443,19230508,  -14,    0
   330,  9443,19230509,  -14,    0
   330,  9443,19230510,  -26,    0
   330,  9443,19230511,   -4,    0
   330,  9443,19230512,   14,    0
   330,  9443,19230513,   11,    0
   330,  9443,19230514,   -5,    0
   330,  9443,19230515,   11,    0
   330,  9443,19230516,   22,    0
   330,  9443,19230517,   17,    0
   330,  9443,19230518,   33,    0
   330,  9443,19230519,   13,    0
   330,  9443,19230520,   19,    0
   330,  9443,19230521,   33,    0
   330,  9443,19230522,   28,    0
   330,  9443,19230523,    9,    0
   330,  9443,19230524,   17,    0
   330,  9443,19230525,   25,    0
   330,  9443,19230526,   31,    0
   330,  9443,19230527,   31,    0
   330,  9443,19230528,    3,    0
   330,  9443,19230529,   13,    0
   330,  9443,19230530,   36,    0
   330,  9443,19230531,   47,    0
   330,  9443,19230601,   29,    0
   330,  9443,19230602,   10,    0
   330,  9443,19230603,   22,    0
   330,  9443,19230604,   15,    0
   330,  9443,19230605,  -13,    0
   330,  9443,19230606,   -4,    0
   330,  9443,19230607,    3,    0
   330,  9443,19230608,   24,    0
   330,  9443,19230609,   51,    0
   330,  9443,19230610,   47,    0
   330,  9443,19230611,   23,    0
   330,  9443,19230612,   16,    0
   330,  9443,19230613,   20,    0
   330,  9443,19230614,   26,    0
   330,  9443,19230615,   32,    0
   330,  9443,19230616,   35,    0
   330,  9443,19230617,   80,    0
   330,  9443,19230618,   76,    0
   330,  9443,19230619,   52,    0
   330,  9443,19230620,   43,    0
   330,  9443,19230621,   36,    0
   330,  9443,19230622,   39,    0
   330,  9443,19230623,   39,    0
   330,  9443,19230624,    8,    0
   330,  9443,19230625,   17,    0
   330,  9443,19230626,   24,    0
   330,  9443,19230627,   42,    0
   330,  9443,19230628,   61,    0
   330,  9443,19230629,   66,    0
   330,  9443,19230630,   85,    0
   330,  9443,19230701,  103,    0
   330,  9443,19230702,  106,    0
   330,  9443,19230703,  110,    0
   330,  9443,19230704,  108,    0
   330,  9443,19230705,   96,    0
   330,  9443,19230706,  108,    0
   330,  9443,19230707,  120,    0
   330,  9443,19230708,  163,    0
   330,  9443,19230709,  162,    0
   330,  9443,19230710,  166,    0
   330,  9443,19230711,  183,    0
   330,  9443,19230712,  165,    0
   330,  9443,19230713,  127,    0
   330,  9443,19230714,   79,    0
   330,  9443,19230715,  137,    0
   330,  9443,19230716,  128,    0
   330,  9443,19230717,  121,    0
   330,  9443,19230718,  106,    0
   330,  9443,19230719,   91,    0
   330,  9443,19230720,   95,    0
   330,  9443,19230721,   76,    0
   330,  9443,19230722,   63,    0
   330,  9443,19230723,   88,    0
   330,  9443,19230724,   78,    0
   330,  9443,19230725,   69,    0
   330,  9443,19230726,   68,    0
   330,  9443,19230727,   73,    0
   330,  9443,19230728,   72,    0
   330,  9443,19230729,   73,    0
   330,  9443,19230730,   78,    0
   330,  9443,19230731,   92,    0
   330,  9443,19230801,   96,    0
   330,  9443,19230802,   98,    0
   330,  9443,19230803,   93,    0
   330,  9443,19230804,   92,    0
   330,  9443,19230805,   92,    0
   330,  9443,19230806,  110,    0
   330,  9443,19230807,  101,    0
   330,  9443,19230808,  103,    0
   330,  9443,19230809,   90,    0
   330,  9443,19230810,   79,    0
   330,  9443,19230811,   66,    0
   330,  9443,19230812,   68,    0
   330,  9443,19230813,   74,    0
   330,  9443,19230814,   79,    0
   330,  9443,19230815,   55,    0
   330,  9443,19230816,   40,    0
   330,  9443,19230817,   54,    0
   330,  9443,19230818,   57,    0
   330,  9443,19230819,   30,    0
   330,  9443,19230820,   54,    0
   330,  9443,19230821,   60,    0
   330,  9443,19230822,   92,    0
   330,  9443,19230823,   61,    0
   330,  9443,19230824,   77,    0
   330,  9443,19230825,   54,    0
   330,  9443,19230826,   60,    0
   330,  9443,19230827,   77,    0
   330,  9443,19230828,   53,    0
   330,  9443,19230829,   69,    0
   330,  9443,19230830,   62,    0
   330,  9443,19230831,   55,    0
   330,  9443,19230901,   67,    0
   330,  9443,19230902,   58,    0
   330,  9443,19230903,   35,    0
   330,  9443,19230904,   42,    0
   330,  9443,19230905,   34,    0
   330,  9443,19230906,   70,    0
   330,  9443,19230907,   50,    0
   330,  9443,19230908,   17,    0
   330,  9443,19230909,   18,    0
   330,  9443,19230910,   24,    0
   330,  9443,19230911,   17,    0
   330,  9443,19230912,   52,    0
   330,  9443,19230913,    7,    0
   330,  9443,19230914,    2,    0
   330,  9443,19230915,   81,    0
   330,  9443,19230916,   78,    0
   330,  9443,19230917,   51,    0
   330,  9443,19230918,   50,    0
   330,  9443,19230919,   61,    0
   330,  9443,19230920,   39,    0
   330,  9443,19230921,   45,    0
   330,  9443,19230922,   34,    0
   330,  9443,19230923,   29,    0
   330,  9443,19230924,   26,    0
   330,  9443,19230925,   31,    0
   330,  9443,19230926,   44,    0
   330,  9443,19230927,   42,    0
   330,  9443,19230928,   34,    0
   330,  9443,19230929,   15,    0
   330,  9443,19230930,   15,    0
   330,  9443,19231001,   63,    0
   330,  9443,19231002,   32,    0
   330,  9443,19231003,   12,    0
   330,  9443,19231004,    2,    0
   330,  9443,19231005,   -2,    0
   330,  9443,19231006,    2,    0
   330,  9443,19231007,   12,    0
   330,  9443,19231008,   20,    0
   330,  9443,19231009,   -1,    0
   330,  9443,19231010,    7,    0
   330,  9443,19231011,   -7,    0
   330,  9443,19231012,  -10,    0
   330,  9443,19231013,  -11,    0
   330,  9443,19231014,    1,    0
   330,  9443,19231015,  -21,    0
   330,  9443,19231016,  -17,    0
   330,  9443,19231017,  -26,    0
   330,  9443,19231018,  -28,    0
   330,  9443,19231019,   13,    0
   330,  9443,19231020,   11,    0
   330,  9443,19231021,   -3,    0
   330,  9443,19231022,  -10,    0
   330,  9443,19231023,  -17,    0
   330,  9443,19231024,  -13,    0
   330,  9443,19231025,   -3,    0
   330,  9443,19231026,  -26,    0
   330,  9443,19231027,  -41,    0
   330,  9443,19231028,  -21,    0
   330,  9443,19231029,   -1,    0
   330,  9443,19231030,   -1,    0
   330,  9443,19231031,   38,    0
   330,  9443,19231101,   19,    0
   330,  9443,19231102,    6,    0
   330,  9443,19231103,  -48,    0
   330,  9443,19231104,   -3,    0
   330,  9443,19231105,  -34,    0
   330,  9443,19231106,  -50,    0
   330,  9443,19231107, -143,    0
   330,  9443,19231108,  -51,    0
   330,  9443,19231109,  -64,    0
   330,  9443,19231110, -104,    0
   330,  9443,19231111,   29,    0
   330,  9443,19231112,  -10,    0
   330,  9443,19231113,  -61,    0
   330,  9443,19231114,  -26,    0
   330,  9443,19231115,  -40,    0
   330,  9443,19231116,  -52,    0
   330,  9443,19231117,  -53,    0
   330,  9443,19231118,  -53,    0
   330,  9443,19231119,  -54,    0
   330,  9443,19231120,  -73,    0
   330,  9443,19231121, -166,    0
   330,  9443,19231122, -170,    0
   330,  9443,19231123, -177,    0
   330,  9443,19231124, -206,    0
   330,  9443,19231125, -215,    0
   330,  9443,19231126,  -72,    0
   330,  9443,19231127, -119,    0
   330,  9443,19231128,  -94,    0
   330,  9443,19231129,  -89,    0
   330,  9443,19231130,  -95,    0
   330,  9443,19231201, -107,    0
   330,  9443,19231202,  -93,    0
   330,  9443,19231203,  -65,    0
   330,  9443,19231204,  -56,    0
   330,  9443,19231205,  -99,    0
   330,  9443,19231206, -140,    0
   330,  9443,19231207,  -95,    0
   330,  9443,19231208,  -81,    0
   330,  9443,19231209,  -50,    0
   330,  9443,19231210,  -40,    0
   330,  9443,19231211,   -6,    0
   330,  9443,19231212,   -2,    0
   330,  9443,19231213,   -9,    0
   330,  9443,19231214,  -23,    0
   330,  9443,19231215,  -56,    0
   330,  9443,19231216,  -35,    0
   330,  9443,19231217,  -34,    0
   330,  9443,19231218, -131,    0
   330,  9443,19231219, -107,    0
   330,  9443,19231220, -111,    0
   330,  9443,19231221, -166,    0
   330,  9443,19231222, -242,    0
   330,  9443,19231223, -192,    0
   330,  9443,19231224, -273,    0
   330,  9443,19231225, -245,    0
   330,  9443,19231226, -130,    0
   330,  9443,19231227,  -79,    0
   330,  9443,19231228, -147,    0
   330,  9443,19231229, -132,    0
   330,  9443,19231230, -221,    0
   330,  9443,19231231, -170,    0
   330,  9443,19240101, -128,    0
   330,  9443,19240102, -175,    0
   330,  9443,19240103, -137,    0
   330,  9443,19240104,  -72,    0
   330,  9443,19240105,  -71,    0
   330,  9443,19240106,  -61,    0
   330,  9443,19240107,  -64,    0
   330,  9443,19240108, -113,    0
   330,  9443,19240109, -144,    0
   330,  9443,19240110,  -78,    0
   330,  9443,19240111,  -48,    0
   330,  9443,19240112,  -34,    0
   330,  9443,19240113,  -31,    0
   330,  9443,19240114,  -23,    0
   330,  9443,19240115,  -97,    0
   330,  9443,19240116,  -80,    0
   330,  9443,19240117, -119,    0
   330,  9443,19240118, -108,    0
   330,  9443,19240119,  -64,    0
   330,  9443,19240120,  -64,    0
   330,  9443,19240121,  -92,    0
   330,  9443,19240122, -115,    0
   330,  9443,19240123, -138,    0
   330,  9443,19240124,  -96,    0
   330,  9443,19240125,  -69,    0
   330,  9443,19240126,  -10,    0
   330,  9443,19240127,  -56,    0
   330,  9443,19240128,  -64,    0
   330,  9443,19240129,  -22,    0
   330,  9443,19240130,   15,    0
   330,  9443,19240131,  -40,    0
   330,  9443,19240201,  -53,    0
   330,  9443,19240202,  -95,    0
   330,  9443,19240203,  -71,    0
   330,  9443,19240204,  -54,    0
   330,  9443,19240205,  -81,    0
   330,  9443,19240206,  -93,    0
   330,  9443,19240207,  -71,    0
   330,  9443,19240208, -142,    0
   330,  9443,19240209, -177,    0
   330,  9443,19240210, -182,    0
   330,  9443,19240211, -145,    0
   330,  9443,19240212, -202,    0
   330,  9443,19240213, -182,    0
   330,  9443,19240214, -132,    0
   330,  9443,19240215, -156,    0
   330,  9443,19240216,  -91,    0
   330,  9443,19240217,  -20,    0
   330,  9443,19240218,  -69,    0
   330,  9443,19240219,  -88,    0
   330,  9443,19240220,  -30,    0
   330,  9443,19240221,  -43,    0
   330,  9443,19240222,  -64,    0
   330,  9443,19240223,  -74,    0
   330,  9443,19240224, -128,    0
   330,  9443,19240225, -194,    0
   330,  9443,19240226, -171,    0
   330,  9443,19240227,  -85,    0
   330,  9443,19240228, -148,    0
   330,  9443,19240229, -149,    0
   330,  9443,19240301, -128,    0
   330,  9443,19240302, -128,    0
   330,  9443,19240303,  -98,    0
   330,  9443,19240304,  -98,    0
   330,  9443,19240305, -161,    0
   330,  9443,19240306, -116,    0
   330,  9443,19240307,  -84,    0
   330,  9443,19240308,  -35,    0
   330,  9443,19240309,  -50,    0
   330,  9443,19240310,  -85,    0
   330,  9443,19240311, -117,    0
   330,  9443,19240312,  -85,    0
   330,  9443,19240313,  -38,    0
   330,  9443,19240314,  -16,    0
   330,  9443,19240315,  -49,    0
   330,  9443,19240316,  -72,    0
