EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TORUNGEN FYR, NORWAY (STAID: 331)
Blended and updated with sources:9664 901465 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   331,  9664,19110101,   34,    0
   331,  9664,19110102,  -12,    0
   331,  9664,19110103,   -5,    0
   331,  9664,19110104,  -11,    0
   331,  9664,19110105,   -9,    0
   331,  9664,19110106,  -12,    0
   331,  9664,19110107,   26,    0
   331,  9664,19110108,   50,    0
   331,  9664,19110109,   33,    0
   331,  9664,19110110,   17,    0
   331,  9664,19110111,   -3,    0
   331,  9664,19110112,  -26,    0
   331,  9664,19110113,  -20,    0
   331,  9664,19110114,  -24,    0
   331,  9664,19110115,   38,    0
   331,  9664,19110116,   42,    0
   331,  9664,19110117,   67,    0
   331,  9664,19110118,   72,    0
   331,  9664,19110119,   63,    0
   331,  9664,19110120,   57,    0
   331,  9664,19110121,   44,    0
   331,  9664,19110122,   21,    0
   331,  9664,19110123,    1,    0
   331,  9664,19110124,   30,    0
   331,  9664,19110125,   47,    0
   331,  9664,19110126,   40,    0
   331,  9664,19110127,   14,    0
   331,  9664,19110128,    7,    0
   331,  9664,19110129,  -37,    0
   331,  9664,19110130,  -23,    0
   331,  9664,19110131,   16,    0
   331,  9664,19110201,   11,    0
   331,  9664,19110202,   47,    0
   331,  9664,19110203,   26,    0
   331,  9664,19110204,   67,    0
   331,  9664,19110205,   27,    0
