EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POPRAD/TATRY, SLOVAKIA (STAID: 334)
Blended and updated with sources:16299 911934 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   334, 16299,19510101,-9999,    9
   334, 16299,19510102,-9999,    9
   334, 16299,19510103,   -8,    0
   334, 16299,19510104,    0,    0
   334, 16299,19510105,  -20,    0
   334, 16299,19510106,    3,    0
   334, 16299,19510107,  -12,    0
   334, 16299,19510108,   14,    0
   334, 16299,19510109,   11,    0
   334, 16299,19510110,  -11,    0
   334, 16299,19510111,   33,    0
   334, 16299,19510112,   48,    0
   334, 16299,19510113,   51,    0
   334, 16299,19510114,   10,    0
   334, 16299,19510115,    4,    0
   334, 16299,19510116,   -2,    0
   334, 16299,19510117,  -36,    0
   334, 16299,19510118,  -29,    0
   334, 16299,19510119,   -5,    0
   334, 16299,19510120,  -15,    0
   334, 16299,19510121,  -29,    0
   334, 16299,19510122,  -94,    0
   334, 16299,19510123,  -67,    0
   334, 16299,19510124,  -42,    0
   334, 16299,19510125,  -48,    0
   334, 16299,19510126,    0,    0
   334, 16299,19510127,   -6,    0
   334, 16299,19510128,  -17,    0
   334, 16299,19510129,  -46,    0
   334, 16299,19510130,  -11,    0
   334, 16299,19510131,    7,    0
   334, 16299,19510201,  -39,    0
   334, 16299,19510202,  -93,    0
   334, 16299,19510203,  -58,    0
   334, 16299,19510204,  -46,    0
   334, 16299,19510205,   -6,    0
   334, 16299,19510206,   32,    0
