EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GOTSKA SANDON, SWEDEN (STAID: 342)
Blended and updated with sources:35804 35810 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   342, 35804,18791101,   56,    0
   342, 35804,18791102,   35,    0
   342, 35804,18791103,   13,    0
   342, 35804,18791104,   14,    0
   342, 35804,18791105,   50,    0
   342, 35804,18791106,   25,    0
   342, 35804,18791107,   32,    0
   342, 35804,18791108,   51,    0
   342, 35804,18791109,   65,    0
   342, 35804,18791110,   56,    0
   342, 35804,18791111,   37,    0
   342, 35804,18791112,   44,    0
   342, 35804,18791113,   28,    0
   342, 35804,18791114,    9,    0
   342, 35804,18791115,    9,    0
   342, 35804,18791116,   24,    0
   342, 35804,18791117,   17,    0
   342, 35804,18791118,   17,    0
   342, 35804,18791119,   27,    0
   342, 35804,18791120,   34,    0
   342, 35804,18791121,   29,    0
   342, 35804,18791122,   36,    0
   342, 35804,18791123,   51,    0
   342, 35804,18791124,  -15,    0
   342, 35804,18791125,  -44,    0
   342, 35804,18791126,  -10,    0
   342, 35804,18791127,    5,    0
   342, 35804,18791128,   -4,    0
   342, 35804,18791129,  -49,    0
   342, 35804,18791130,  -69,    0
   342, 35804,18791201,  -65,    0
   342, 35804,18791202,  -67,    0
   342, 35804,18791203,  -61,    0
   342, 35804,18791204,  -64,    0
   342, 35804,18791205,  -40,    0
   342, 35804,18791206,  -49,    0
   342, 35804,18791207,  -42,    0
   342, 35804,18791208,  -25,    0
   342, 35804,18791209,   14,    0
   342, 35804,18791210,  -20,    0
   342, 35804,18791211,   -1,    0
   342, 35804,18791212,  -17,    0
   342, 35804,18791213,   -8,    0
   342, 35804,18791214,   22,    0
   342, 35804,18791215,   26,    0
   342, 35804,18791216,   30,    0
   342, 35804,18791217,   27,    0
   342, 35804,18791218,   15,    0
   342, 35804,18791219,    8,    0
   342, 35804,18791220,   11,    0
   342, 35804,18791221,    1,    0
   342, 35804,18791222,    6,    0
   342, 35804,18791223,   26,    0
   342, 35804,18791224,   29,    0
   342, 35804,18791225,   17,    0
   342, 35804,18791226,   -7,    0
   342, 35804,18791227,  -12,    0
   342, 35804,18791228,    5,    0
   342, 35804,18791229,   33,    0
   342, 35804,18791230,   25,    0
   342, 35804,18791231,   14,    0
   342, 35804,18800101,   10,    0
   342, 35804,18800102,   27,    0
   342, 35804,18800103,   26,    0
   342, 35804,18800104,   13,    0
   342, 35804,18800105,   13,    0
   342, 35804,18800106,   22,    0
   342, 35804,18800107,   18,    0
   342, 35804,18800108,   21,    0
   342, 35804,18800109,    5,    0
   342, 35804,18800110,    8,    0
   342, 35804,18800111,    5,    0
   342, 35804,18800112,    3,    0
   342, 35804,18800113,    4,    0
   342, 35804,18800114,  -18,    0
   342, 35804,18800115,  -34,    0
   342, 35804,18800116,  -45,    0
   342, 35804,18800117,  -46,    0
   342, 35804,18800118,  -60,    0
   342, 35804,18800119,  -69,    0
   342, 35804,18800120,  -18,    0
   342, 35804,18800121,  -48,    0
   342, 35804,18800122,  -26,    0
   342, 35804,18800123,  -45,    0
   342, 35804,18800124,   -9,    0
   342, 35804,18800125,  -24,    0
   342, 35804,18800126,  -24,    0
   342, 35804,18800127,   -6,    0
   342, 35804,18800128,    9,    0
   342, 35804,18800129,    5,    0
   342, 35804,18800130,   -2,    0
   342, 35804,18800131,   14,    0
   342, 35804,18800201,   21,    0
   342, 35804,18800202,   20,    0
   342, 35804,18800203,   21,    0
   342, 35804,18800204,   22,    0
   342, 35804,18800205,   20,    0
   342, 35804,18800206,    5,    0
   342, 35804,18800207,    6,    0
   342, 35804,18800208,    2,    0
   342, 35804,18800209,    7,    0
   342, 35804,18800210,   14,    0
   342, 35804,18800211,   -6,    0
   342, 35804,18800212,  -14,    0
   342, 35804,18800213,   -6,    0
   342, 35804,18800214,   -5,    0
   342, 35804,18800215,  -11,    0
   342, 35804,18800216,  -34,    0
   342, 35804,18800217,  -60,    0
   342, 35804,18800218,  -74,    0
   342, 35804,18800219,  -55,    0
   342, 35804,18800220,   13,    0
   342, 35804,18800221,    3,    0
   342, 35804,18800222,  -20,    0
   342, 35804,18800223,  -26,    0
   342, 35804,18800224,  -17,    0
   342, 35804,18800225,    3,    0
   342, 35804,18800226,   13,    0
   342, 35804,18800227,   -5,    0
   342, 35804,18800228,    3,    0
   342, 35804,18800229,   -6,    0
   342, 35804,18800301,   10,    0
   342, 35804,18800302,   12,    0
   342, 35804,18800303,    8,    0
   342, 35804,18800304,   -4,    0
   342, 35804,18800305,  -19,    0
   342, 35804,18800306,  -21,    0
   342, 35804,18800307,    5,    0
   342, 35804,18800308,  -24,    0
   342, 35804,18800309,    8,    0
   342, 35804,18800310,   14,    0
   342, 35804,18800311,  -11,    0
   342, 35804,18800312,  -64,    0
   342, 35804,18800313,  -18,    0
   342, 35804,18800314,  -13,    0
   342, 35804,18800315,   -7,    0
   342, 35804,18800316,    1,    0
   342, 35804,18800317,  -25,    0
   342, 35804,18800318,  -20,    0
   342, 35804,18800319,   10,    0
   342, 35804,18800320,  -15,    0
   342, 35804,18800321,    5,    0
   342, 35804,18800322,   -1,    0
   342, 35804,18800323,   11,    0
   342, 35804,18800324,   17,    0
   342, 35804,18800325,   -1,    0
   342, 35804,18800326,   13,    0
   342, 35804,18800327,  -16,    0
   342, 35804,18800328,    6,    0
   342, 35804,18800329,    9,    0
   342, 35804,18800330,  -32,    0
   342, 35804,18800331,  -19,    0
   342, 35804,18800401,    5,    0
   342, 35804,18800402,   21,    0
   342, 35804,18800403,  -16,    0
   342, 35804,18800404,  -11,    0
   342, 35804,18800405,    5,    0
   342, 35804,18800406,   15,    0
   342, 35804,18800407,   15,    0
   342, 35804,18800408,   15,    0
   342, 35804,18800409,    7,    0
   342, 35804,18800410,   -5,    0
   342, 35804,18800411,   19,    0
   342, 35804,18800412,   25,    0
   342, 35804,18800413,   29,    0
   342, 35804,18800414,   50,    0
   342, 35804,18800415,   32,    0
   342, 35804,18800416,   33,    0
   342, 35804,18800417,   35,    0
   342, 35804,18800418,   27,    0
   342, 35804,18800419,   31,    0
   342, 35804,18800420,   60,    0
   342, 35804,18800421,   80,    0
   342, 35804,18800422,   78,    0
   342, 35804,18800423,   64,    0
   342, 35804,18800424,   49,    0
   342, 35804,18800425,   39,    0
   342, 35804,18800426,   48,    0
   342, 35804,18800427,   34,    0
   342, 35804,18800428,   19,    0
   342, 35804,18800429,    2,    0
   342, 35804,18800430,   28,    0
   342, 35804,18800501,   51,    0
   342, 35804,18800502,   61,    0
   342, 35804,18800503,   64,    0
   342, 35804,18800504,   95,    0
   342, 35804,18800505,   88,    0
   342, 35804,18800506,  105,    0
   342, 35804,18800507,   64,    0
   342, 35804,18800508,   74,    0
   342, 35804,18800509,   37,    0
   342, 35804,18800510,   59,    0
   342, 35804,18800511,   38,    0
   342, 35804,18800512,   38,    0
   342, 35804,18800513,   58,    0
   342, 35804,18800514,   63,    0
   342, 35804,18800515,   82,    0
   342, 35804,18800516,   33,    0
   342, 35804,18800517,   39,    0
   342, 35804,18800518,   31,    0
   342, 35804,18800519,   46,    0
   342, 35804,18800520,   46,    0
   342, 35804,18800521,   50,    0
   342, 35804,18800522,   62,    0
   342, 35804,18800523,   63,    0
   342, 35804,18800524,   76,    0
   342, 35804,18800525,   76,    0
   342, 35804,18800526,   78,    0
   342, 35804,18800527,  146,    0
   342, 35804,18800528,  132,    0
   342, 35804,18800529,   97,    0
   342, 35804,18800530,   88,    0
   342, 35804,18800531,   84,    0
   342, 35804,18800601,   85,    0
   342, 35804,18800602,  110,    0
   342, 35804,18800603,  118,    0
   342, 35804,18800604,  130,    0
   342, 35804,18800605,  102,    0
   342, 35804,18800606,   80,    0
   342, 35804,18800607,   91,    0
   342, 35804,18800608,   86,    0
   342, 35804,18800609,   92,    0
   342, 35804,18800610,   87,    0
   342, 35804,18800611,  106,    0
   342, 35804,18800612,  110,    0
   342, 35804,18800613,  109,    0
   342, 35804,18800614,  121,    0
   342, 35804,18800615,  105,    0
   342, 35804,18800616,  115,    0
   342, 35804,18800617,  136,    0
   342, 35804,18800618,  160,    0
   342, 35804,18800619,  115,    0
   342, 35804,18800620,  105,    0
   342, 35804,18800621,  132,    0
   342, 35804,18800622,  130,    0
   342, 35804,18800623,  139,    0
   342, 35804,18800624,  142,    0
   342, 35804,18800625,  135,    0
   342, 35804,18800626,  125,    0
   342, 35804,18800627,  125,    0
   342, 35804,18800628,  153,    0
   342, 35804,18800629,  144,    0
   342, 35804,18800630,  153,    0
   342, 35804,18800701,  167,    0
