EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MARKNESSE, NETHERLANDS (STAID: 411)
Blended and updated with sources:2490 906273 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   411,  2490,19890101,-9999,    9
   411,  2490,19890102,-9999,    9
   411,  2490,19890103,-9999,    9
   411,  2490,19890104,-9999,    9
   411,  2490,19890105,-9999,    9
   411,  2490,19890106,-9999,    9
   411,  2490,19890107,-9999,    9
   411,  2490,19890108,-9999,    9
   411,  2490,19890109,-9999,    9
   411,  2490,19890110,-9999,    9
   411,  2490,19890111,-9999,    9
   411,  2490,19890112,-9999,    9
   411,  2490,19890113,-9999,    9
   411,  2490,19890114,-9999,    9
   411,  2490,19890115,-9999,    9
   411,  2490,19890116,-9999,    9
   411,  2490,19890117,-9999,    9
   411,  2490,19890118,-9999,    9
   411,  2490,19890119,-9999,    9
   411,  2490,19890120,-9999,    9
   411,  2490,19890121,-9999,    9
   411,  2490,19890122,-9999,    9
   411,  2490,19890123,-9999,    9
   411,  2490,19890124,-9999,    9
   411,  2490,19890125,-9999,    9
   411,  2490,19890126,-9999,    9
   411,  2490,19890127,-9999,    9
   411,  2490,19890128,-9999,    9
   411,  2490,19890129,-9999,    9
   411,  2490,19890130,-9999,    9
   411,  2490,19890131,-9999,    9
   411,  2490,19890201,-9999,    9
   411,  2490,19890202,-9999,    9
   411,  2490,19890203,-9999,    9
   411,  2490,19890204,-9999,    9
   411,  2490,19890205,-9999,    9
   411,  2490,19890206,-9999,    9
   411,  2490,19890207,-9999,    9
   411,  2490,19890208,-9999,    9
   411,  2490,19890209,-9999,    9
   411,  2490,19890210,-9999,    9
   411,  2490,19890211,-9999,    9
   411,  2490,19890212,-9999,    9
   411,  2490,19890213,-9999,    9
   411,  2490,19890214,-9999,    9
   411,  2490,19890215,-9999,    9
   411,  2490,19890216,-9999,    9
   411,  2490,19890217,-9999,    9
   411,  2490,19890218,-9999,    9
   411,  2490,19890219,-9999,    9
   411,  2490,19890220,-9999,    9
   411,  2490,19890221,-9999,    9
   411,  2490,19890222,-9999,    9
   411,  2490,19890223,-9999,    9
   411,  2490,19890224,-9999,    9
   411,  2490,19890225,-9999,    9
   411,  2490,19890226,-9999,    9
   411,  2490,19890227,-9999,    9
   411,  2490,19890228,-9999,    9
   411,  2490,19890301,-9999,    9
   411,  2490,19890302,-9999,    9
   411,  2490,19890303,-9999,    9
   411,  2490,19890304,-9999,    9
   411,  2490,19890305,-9999,    9
   411,  2490,19890306,-9999,    9
   411,  2490,19890307,-9999,    9
   411,  2490,19890308,-9999,    9
   411,  2490,19890309,-9999,    9
   411,  2490,19890310,-9999,    9
   411,  2490,19890311,-9999,    9
   411,  2490,19890312,-9999,    9
   411,  2490,19890313,-9999,    9
   411,  2490,19890314,-9999,    9
   411,  2490,19890315,-9999,    9
   411,  2490,19890316,-9999,    9
   411,  2490,19890317,-9999,    9
   411,  2490,19890318,-9999,    9
   411,  2490,19890319,-9999,    9
   411,  2490,19890320,-9999,    9
   411,  2490,19890321,-9999,    9
   411,  2490,19890322,-9999,    9
   411,  2490,19890323,-9999,    9
   411,  2490,19890324,-9999,    9
   411,  2490,19890325,-9999,    9
   411,  2490,19890326,-9999,    9
   411,  2490,19890327,-9999,    9
   411,  2490,19890328,-9999,    9
   411,  2490,19890329,-9999,    9
   411,  2490,19890330,-9999,    9
   411,  2490,19890331,-9999,    9
   411,  2490,19890401,-9999,    9
   411,  2490,19890402,-9999,    9
   411,  2490,19890403,-9999,    9
   411,  2490,19890404,-9999,    9
   411,  2490,19890405,-9999,    9
   411,  2490,19890406,-9999,    9
   411,  2490,19890407,-9999,    9
   411,  2490,19890408,-9999,    9
   411,  2490,19890409,-9999,    9
   411,  2490,19890410,-9999,    9
   411,  2490,19890411,-9999,    9
   411,  2490,19890412,-9999,    9
   411,  2490,19890413,-9999,    9
   411,  2490,19890414,-9999,    9
   411,  2490,19890415,-9999,    9
   411,  2490,19890416,-9999,    9
   411,  2490,19890417,-9999,    9
   411,  2490,19890418,-9999,    9
   411,  2490,19890419,-9999,    9
   411,  2490,19890420,-9999,    9
   411,  2490,19890421,-9999,    9
   411,  2490,19890422,-9999,    9
   411,  2490,19890423,-9999,    9
   411,  2490,19890424,-9999,    9
   411,  2490,19890425,-9999,    9
   411,  2490,19890426,-9999,    9
   411,  2490,19890427,-9999,    9
   411,  2490,19890428,-9999,    9
   411,  2490,19890429,-9999,    9
   411,  2490,19890430,-9999,    9
   411,  2490,19890501,-9999,    9
   411,  2490,19890502,-9999,    9
   411,  2490,19890503,-9999,    9
   411,  2490,19890504,-9999,    9
   411,  2490,19890505,-9999,    9
   411,  2490,19890506,-9999,    9
   411,  2490,19890507,-9999,    9
   411,  2490,19890508,-9999,    9
   411,  2490,19890509,-9999,    9
   411,  2490,19890510,-9999,    9
   411,  2490,19890511,-9999,    9
   411,  2490,19890512,-9999,    9
   411,  2490,19890513,-9999,    9
   411,  2490,19890514,-9999,    9
   411,  2490,19890515,-9999,    9
   411,  2490,19890516,-9999,    9
   411,  2490,19890517,-9999,    9
   411,  2490,19890518,-9999,    9
   411,  2490,19890519,-9999,    9
   411,  2490,19890520,-9999,    9
   411,  2490,19890521,-9999,    9
   411,  2490,19890522,-9999,    9
   411,  2490,19890523,-9999,    9
   411,  2490,19890524,-9999,    9
   411,  2490,19890525,-9999,    9
   411,  2490,19890526,-9999,    9
   411,  2490,19890527,-9999,    9
   411,  2490,19890528,-9999,    9
   411,  2490,19890529,-9999,    9
   411,  2490,19890530,-9999,    9
   411,  2490,19890531,-9999,    9
   411,  2490,19890601,-9999,    9
   411,  2490,19890602,-9999,    9
   411,  2490,19890603,-9999,    9
   411,  2490,19890604,-9999,    9
   411,  2490,19890605,-9999,    9
   411,  2490,19890606,-9999,    9
   411,  2490,19890607,-9999,    9
   411,  2490,19890608,-9999,    9
   411,  2490,19890609,-9999,    9
   411,  2490,19890610,-9999,    9
   411,  2490,19890611,-9999,    9
   411,  2490,19890612,-9999,    9
   411,  2490,19890613,-9999,    9
   411,  2490,19890614,-9999,    9
   411,  2490,19890615,-9999,    9
   411,  2490,19890616,-9999,    9
   411,  2490,19890617,-9999,    9
   411,  2490,19890618,-9999,    9
   411,  2490,19890619,-9999,    9
   411,  2490,19890620,-9999,    9
   411,  2490,19890621,-9999,    9
   411,  2490,19890622,-9999,    9
   411,  2490,19890623,-9999,    9
   411,  2490,19890624,-9999,    9
   411,  2490,19890625,-9999,    9
   411,  2490,19890626,-9999,    9
   411,  2490,19890627,-9999,    9
   411,  2490,19890628,-9999,    9
   411,  2490,19890629,-9999,    9
   411,  2490,19890630,-9999,    9
   411,  2490,19890701,-9999,    9
   411,  2490,19890702,-9999,    9
   411,  2490,19890703,-9999,    9
   411,  2490,19890704,-9999,    9
   411,  2490,19890705,-9999,    9
   411,  2490,19890706,-9999,    9
   411,  2490,19890707,-9999,    9
   411,  2490,19890708,-9999,    9
   411,  2490,19890709,-9999,    9
   411,  2490,19890710,-9999,    9
   411,  2490,19890711,-9999,    9
   411,  2490,19890712,-9999,    9
   411,  2490,19890713,-9999,    9
   411,  2490,19890714,-9999,    9
   411,  2490,19890715,-9999,    9
   411,  2490,19890716,-9999,    9
   411,  2490,19890717,-9999,    9
   411,  2490,19890718,-9999,    9
   411,  2490,19890719,-9999,    9
   411,  2490,19890720,-9999,    9
   411,  2490,19890721,-9999,    9
   411,  2490,19890722,-9999,    9
   411,  2490,19890723,-9999,    9
   411,  2490,19890724,-9999,    9
   411,  2490,19890725,-9999,    9
   411,  2490,19890726,-9999,    9
   411,  2490,19890727,-9999,    9
   411,  2490,19890728,-9999,    9
   411,  2490,19890729,-9999,    9
   411,  2490,19890730,-9999,    9
   411,  2490,19890731,-9999,    9
   411,  2490,19890801,-9999,    9
   411,  2490,19890802,-9999,    9
   411,  2490,19890803,-9999,    9
   411,  2490,19890804,-9999,    9
   411,  2490,19890805,-9999,    9
   411,  2490,19890806,-9999,    9
   411,  2490,19890807,-9999,    9
   411,  2490,19890808,-9999,    9
   411,  2490,19890809,-9999,    9
   411,  2490,19890810,-9999,    9
   411,  2490,19890811,-9999,    9
   411,  2490,19890812,-9999,    9
   411,  2490,19890813,-9999,    9
   411,  2490,19890814,-9999,    9
   411,  2490,19890815,-9999,    9
   411,  2490,19890816,-9999,    9
   411,  2490,19890817,-9999,    9
   411,  2490,19890818,-9999,    9
   411,  2490,19890819,-9999,    9
   411,  2490,19890820,-9999,    9
   411,  2490,19890821,-9999,    9
   411,  2490,19890822,-9999,    9
   411,  2490,19890823,-9999,    9
   411,  2490,19890824,-9999,    9
   411,  2490,19890825,-9999,    9
   411,  2490,19890826,-9999,    9
   411,  2490,19890827,-9999,    9
   411,  2490,19890828,-9999,    9
   411,  2490,19890829,-9999,    9
   411,  2490,19890830,-9999,    9
   411,  2490,19890831,-9999,    9
   411,  2490,19890901,-9999,    9
   411,  2490,19890902,-9999,    9
   411,  2490,19890903,-9999,    9
   411,  2490,19890904,-9999,    9
   411,  2490,19890905,-9999,    9
   411,  2490,19890906,-9999,    9
   411,  2490,19890907,-9999,    9
   411,  2490,19890908,-9999,    9
   411,  2490,19890909,-9999,    9
   411,  2490,19890910,-9999,    9
   411,  2490,19890911,-9999,    9
   411,  2490,19890912,-9999,    9
   411,  2490,19890913,-9999,    9
   411,  2490,19890914,-9999,    9
   411,  2490,19890915,-9999,    9
   411,  2490,19890916,-9999,    9
   411,  2490,19890917,-9999,    9
   411,  2490,19890918,-9999,    9
   411,  2490,19890919,-9999,    9
   411,  2490,19890920,-9999,    9
   411,  2490,19890921,-9999,    9
   411,  2490,19890922,-9999,    9
   411,  2490,19890923,-9999,    9
   411,  2490,19890924,-9999,    9
   411,  2490,19890925,-9999,    9
   411,  2490,19890926,-9999,    9
   411,  2490,19890927,-9999,    9
   411,  2490,19890928,-9999,    9
   411,  2490,19890929,-9999,    9
   411,  2490,19890930,-9999,    9
   411,  2490,19891001,-9999,    9
   411,  2490,19891002,-9999,    9
   411,  2490,19891003,-9999,    9
   411,  2490,19891004,-9999,    9
   411,  2490,19891005,-9999,    9
   411,  2490,19891006,-9999,    9
   411,  2490,19891007,-9999,    9
   411,  2490,19891008,-9999,    9
   411,  2490,19891009,-9999,    9
   411,  2490,19891010,-9999,    9
   411,  2490,19891011,-9999,    9
   411,  2490,19891012,-9999,    9
   411,  2490,19891013,  122,    0
   411,  2490,19891014,-9999,    9
   411,  2490,19891015,-9999,    9
   411,  2490,19891016,-9999,    9
   411,  2490,19891017,-9999,    9
   411,  2490,19891018,-9999,    9
   411,  2490,19891019,  131,    0
   411,  2490,19891020,-9999,    9
   411,  2490,19891021,-9999,    9
   411,  2490,19891022,-9999,    9
   411,  2490,19891023,-9999,    9
   411,  2490,19891024,-9999,    9
   411,  2490,19891025,  121,    0
   411,  2490,19891026,  117,    0
   411,  2490,19891027,-9999,    9
   411,  2490,19891028,-9999,    9
   411,  2490,19891029,-9999,    9
   411,  2490,19891030,-9999,    9
   411,  2490,19891031,  105,    0
   411,  2490,19891101,   99,    0
   411,  2490,19891102,  114,    0
   411,  2490,19891103,   93,    0
   411,  2490,19891104,   88,    0
   411,  2490,19891105,   65,    0
   411,  2490,19891106,   38,    0
   411,  2490,19891107,   45,    0
   411,  2490,19891108,   78,    0
   411,  2490,19891109,   83,    0
   411,  2490,19891110,   90,    0
   411,  2490,19891111,   83,    0
   411,  2490,19891112,   58,    0
   411,  2490,19891113,   28,    0
   411,  2490,19891114,   30,    0
   411,  2490,19891115,   61,    0
   411,  2490,19891116,   24,    0
   411,  2490,19891117,   20,    0
   411,  2490,19891118,    2,    0
   411,  2490,19891119,    1,    0
   411,  2490,19891120,   21,    0
   411,  2490,19891121,   28,    0
   411,  2490,19891122,   29,    0
   411,  2490,19891123,   32,    0
   411,  2490,19891124,   37,    0
   411,  2490,19891125,    1,    0
   411,  2490,19891126,   56,    0
   411,  2490,19891127,   68,    0
   411,  2490,19891128,   35,    0
   411,  2490,19891129,  -16,    0
   411,  2490,19891130,  -32,    0
   411,  2490,19891201,  -36,    0
   411,  2490,19891202,  -30,    0
   411,  2490,19891203,  -20,    0
   411,  2490,19891204,   -7,    0
   411,  2490,19891205,   35,    0
   411,  2490,19891206,   54,    0
   411,  2490,19891207,   57,    0
   411,  2490,19891208,   33,    0
   411,  2490,19891209,   38,    0
   411,  2490,19891210,   -2,    0
   411,  2490,19891211,   23,    0
   411,  2490,19891212,   11,    0
   411,  2490,19891213,   21,    0
   411,  2490,19891214,   69,    0
   411,  2490,19891215,   51,    0
   411,  2490,19891216,   68,    0
   411,  2490,19891217,  110,    0
   411,  2490,19891218,   96,    0
   411,  2490,19891219,   64,    0
   411,  2490,19891220,   86,    0
   411,  2490,19891221,  124,    0
   411,  2490,19891222,   86,    0
   411,  2490,19891223,   59,    0
   411,  2490,19891224,   85,    0
   411,  2490,19891225,   88,    0
   411,  2490,19891226,   48,    0
   411,  2490,19891227,    1,    0
   411,  2490,19891228,    3,    0
   411,  2490,19891229,   -6,    0
   411,  2490,19891230,  -12,    0
   411,  2490,19891231,   -8,    0
   411,  2490,19900101,  -12,    0
   411,  2490,19900102,  -10,    0
   411,  2490,19900103,    2,    0
   411,  2490,19900104,    0,    0
   411,  2490,19900105,   31,    0
   411,  2490,19900106,   31,    0
   411,  2490,19900107,   46,    0
   411,  2490,19900108,   55,    0
   411,  2490,19900109,   64,    0
   411,  2490,19900110,   66,    0
   411,  2490,19900111,   69,    0
   411,  2490,19900112,   34,    0
   411,  2490,19900113,   22,    0
   411,  2490,19900114,    8,    0
