EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERKHOUT, NETHERLANDS (STAID: 451)
Blended and updated with sources:2480 906249 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   451,  2480,19990301,-9999,    9
   451,  2480,19990302,-9999,    9
   451,  2480,19990303,-9999,    9
   451,  2480,19990304,-9999,    9
   451,  2480,19990305,-9999,    9
   451,  2480,19990306,-9999,    9
   451,  2480,19990307,-9999,    9
   451,  2480,19990308,-9999,    9
   451,  2480,19990309,-9999,    9
   451,  2480,19990310,-9999,    9
   451,  2480,19990311,-9999,    9
   451,  2480,19990312,-9999,    9
   451,  2480,19990313,-9999,    9
   451,  2480,19990314,-9999,    9
   451,  2480,19990315,-9999,    9
   451,  2480,19990316,-9999,    9
   451,  2480,19990317,-9999,    9
   451,  2480,19990318,-9999,    9
   451,  2480,19990319,-9999,    9
   451,  2480,19990320,-9999,    9
   451,  2480,19990321,-9999,    9
   451,  2480,19990322,-9999,    9
   451,  2480,19990323,   76,    0
   451,  2480,19990324,   81,    0
   451,  2480,19990325,   97,    0
   451,  2480,19990326,   87,    0
   451,  2480,19990327,   58,    0
   451,  2480,19990328,   52,    0
   451,  2480,19990329,   99,    0
   451,  2480,19990330,  111,    0
   451,  2480,19990331,  128,    0
   451,  2480,19990401,  131,    0
   451,  2480,19990402,  124,    0
   451,  2480,19990403,  112,    0
   451,  2480,19990404,   87,    0
   451,  2480,19990405,  109,    0
   451,  2480,19990406,  102,    0
   451,  2480,19990407,   90,    0
   451,  2480,19990408,   71,    0
   451,  2480,19990409,  100,    0
   451,  2480,19990410,   96,    0
   451,  2480,19990411,   85,    0
   451,  2480,19990412,   80,    0
   451,  2480,19990413,   51,    0
   451,  2480,19990414,   34,    0
   451,  2480,19990415,   33,    0
   451,  2480,19990416,   57,    0
   451,  2480,19990417,   62,    0
   451,  2480,19990418,   53,    0
   451,  2480,19990419,   54,    0
   451,  2480,19990420,   96,    0
   451,  2480,19990421,  119,    0
   451,  2480,19990422,  111,    0
   451,  2480,19990423,  114,    0
   451,  2480,19990424,  123,    0
   451,  2480,19990425,  125,    0
   451,  2480,19990426,  139,    0
   451,  2480,19990427,  126,    0
   451,  2480,19990428,  105,    0
   451,  2480,19990429,   95,    0
   451,  2480,19990430,   98,    0
   451,  2480,19990501,  104,    0
   451,  2480,19990502,  100,    0
   451,  2480,19990503,  114,    0
   451,  2480,19990504,  124,    0
   451,  2480,19990505,  125,    0
   451,  2480,19990506,  110,    0
   451,  2480,19990507,  138,    0
   451,  2480,19990508,  137,    0
   451,  2480,19990509,  150,    0
   451,  2480,19990510,  147,    0
   451,  2480,19990511,  137,    0
   451,  2480,19990512,  131,    0
   451,  2480,19990513,  131,    0
   451,  2480,19990514,  124,    0
   451,  2480,19990515,   99,    0
   451,  2480,19990516,   91,    0
   451,  2480,19990517,  128,    0
   451,  2480,19990518,  158,    0
   451,  2480,19990519,  165,    0
   451,  2480,19990520,  148,    0
   451,  2480,19990521,  146,    0
   451,  2480,19990522,  122,    0
   451,  2480,19990523,  143,    0
   451,  2480,19990524,  136,    0
   451,  2480,19990525,  127,    0
   451,  2480,19990526,  129,    0
   451,  2480,19990527,  175,    0
   451,  2480,19990528,  171,    0
   451,  2480,19990529,  189,    0
   451,  2480,19990530,  140,    0
   451,  2480,19990531,  126,    0
   451,  2480,19990601,  149,    0
   451,  2480,19990602,  170,    0
   451,  2480,19990603,  158,    0
   451,  2480,19990604,  141,    0
   451,  2480,19990605,  125,    0
   451,  2480,19990606,  126,    0
   451,  2480,19990607,  130,    0
   451,  2480,19990608,  122,    0
   451,  2480,19990609,  136,    0
   451,  2480,19990610,  129,    0
   451,  2480,19990611,  121,    0
   451,  2480,19990612,  128,    0
   451,  2480,19990613,  157,    0
   451,  2480,19990614,  164,    0
   451,  2480,19990615,  167,    0
   451,  2480,19990616,  179,    0
   451,  2480,19990617,  161,    0
   451,  2480,19990618,  132,    0
   451,  2480,19990619,  159,    0
   451,  2480,19990620,  141,    0
   451,  2480,19990621,  120,    0
   451,  2480,19990622,  127,    0
   451,  2480,19990623,  136,    0
   451,  2480,19990624,  134,    0
   451,  2480,19990625,  132,    0
   451,  2480,19990626,  160,    0
   451,  2480,19990627,  180,    0
   451,  2480,19990628,  146,    0
   451,  2480,19990629,  164,    0
   451,  2480,19990630,  166,    0
   451,  2480,19990701,  158,    0
   451,  2480,19990702,  178,    0
   451,  2480,19990703,  188,    0
   451,  2480,19990704,  187,    0
   451,  2480,19990705,  161,    0
   451,  2480,19990706,  161,    0
   451,  2480,19990707,  175,    0
   451,  2480,19990708,  181,    0
   451,  2480,19990709,  190,    0
   451,  2480,19990710,  205,    0
   451,  2480,19990711,  222,    0
   451,  2480,19990712,  218,    0
