EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DURHAM, UNITED KINGDOM (STAID: 461)
Blended and updated with sources:56851 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   461, 56851,18800101,-9999,    9
   461, 56851,18800102,   80,    1
   461, 56851,18800103,   85,    1
   461, 56851,18800104,   66,    0
   461, 56851,18800105,   50,    0
   461, 56851,18800106,   50,    0
   461, 56851,18800107,   53,    0
   461, 56851,18800108,   49,    1
   461, 56851,18800109,   20,    1
   461, 56851,18800110,   -4,    0
   461, 56851,18800111,   -1,    0
   461, 56851,18800112,   10,    1
   461, 56851,18800113,  -14,    0
   461, 56851,18800114,  -22,    0
   461, 56851,18800115,   -3,    0
   461, 56851,18800116,  -15,    0
   461, 56851,18800117,  -16,    0
   461, 56851,18800118,    8,    1
   461, 56851,18800119,  -27,    0
   461, 56851,18800120,  -34,    0
   461, 56851,18800121,  -11,    0
   461, 56851,18800122,    4,    0
   461, 56851,18800123,   14,    0
   461, 56851,18800124,    1,    0
   461, 56851,18800125,   -7,    0
   461, 56851,18800126,  -24,    0
   461, 56851,18800127,  -33,    0
   461, 56851,18800128,  -10,    0
   461, 56851,18800129,   -5,    0
   461, 56851,18800130,   23,    0
   461, 56851,18800131,   52,    0
   461, 56851,18800201,   55,    0
   461, 56851,18800202,   66,    0
   461, 56851,18800203,   64,    0
   461, 56851,18800204,   69,    0
   461, 56851,18800205,   53,    0
   461, 56851,18800206,   25,    0
   461, 56851,18800207,   55,    0
   461, 56851,18800208,   43,    0
   461, 56851,18800209,   32,    0
   461, 56851,18800210,   18,    0
   461, 56851,18800211,   40,    0
   461, 56851,18800212,   39,    0
   461, 56851,18800213,   44,    0
   461, 56851,18800214,   37,    0
   461, 56851,18800215,   33,    0
   461, 56851,18800216,   43,    0
   461, 56851,18800217,   53,    0
   461, 56851,18800218,   18,    0
   461, 56851,18800219,   26,    0
   461, 56851,18800220,   27,    0
   461, 56851,18800221,   63,    1
   461, 56851,18800222,   63,    1
   461, 56851,18800223,   45,    0
   461, 56851,18800224,   24,    0
   461, 56851,18800225,   55,    0
   461, 56851,18800226,   45,    0
   461, 56851,18800227,   41,    0
   461, 56851,18800228,   70,    0
   461, 56851,18800229,   88,    0
   461, 56851,18800301,   76,    1
   461, 56851,18800302,   51,    0
   461, 56851,18800303,   50,    0
   461, 56851,18800304,   62,    0
   461, 56851,18800305,   73,    0
   461, 56851,18800306,  115,    0
   461, 56851,18800307,   78,    0
   461, 56851,18800308,   60,    0
   461, 56851,18800309,   70,    1
   461, 56851,18800310,   40,    0
   461, 56851,18800311,   47,    0
   461, 56851,18800312,   54,    0
   461, 56851,18800313,   38,    0
   461, 56851,18800314,   68,    0
   461, 56851,18800315,   56,    1
   461, 56851,18800316,   45,    0
   461, 56851,18800317,   12,    0
   461, 56851,18800318,   32,    0
   461, 56851,18800319,   39,    0
   461, 56851,18800320,   37,    0
   461, 56851,18800321,   29,    0
   461, 56851,18800322,   38,    0
   461, 56851,18800323,   23,    0
   461, 56851,18800324,   41,    0
   461, 56851,18800325,   42,    0
   461, 56851,18800326,   44,    0
   461, 56851,18800327,   29,    0
   461, 56851,18800328,   24,    0
   461, 56851,18800329,   73,    0
   461, 56851,18800330,   90,    1
   461, 56851,18800331,   80,    0
   461, 56851,18800401,   44,    0
   461, 56851,18800402,   54,    0
   461, 56851,18800403,   87,    0
   461, 56851,18800404,  100,    0
   461, 56851,18800405,   69,    0
   461, 56851,18800406,   63,    0
   461, 56851,18800407,   79,    0
   461, 56851,18800408,   63,    0
   461, 56851,18800409,   59,    0
   461, 56851,18800410,   51,    0
   461, 56851,18800411,   62,    0
   461, 56851,18800412,   55,    0
   461, 56851,18800413,   43,    0
   461, 56851,18800414,   32,    0
   461, 56851,18800415,   70,    0
   461, 56851,18800416,   50,    0
   461, 56851,18800417,   77,    0
   461, 56851,18800418,   86,    0
   461, 56851,18800419,  100,    0
   461, 56851,18800420,  109,    0
   461, 56851,18800421,  106,    0
   461, 56851,18800422,   77,    0
   461, 56851,18800423,   88,    0
   461, 56851,18800424,   99,    0
   461, 56851,18800425,   89,    0
   461, 56851,18800426,   72,    0
   461, 56851,18800427,   73,    0
   461, 56851,18800428,   71,    0
   461, 56851,18800429,   54,    0
   461, 56851,18800430,   43,    0
   461, 56851,18800501,   69,    0
   461, 56851,18800502,  105,    1
   461, 56851,18800503,  122,    1
   461, 56851,18800504,   65,    0
