EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIST/SYLT, GERMANY (STAID: 469)
Blended and updated with sources:2187 910020 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   469,  2187,19370101,   53,    0
   469,  2187,19370102,   58,    0
   469,  2187,19370103,   72,    0
   469,  2187,19370104,   68,    0
   469,  2187,19370105,   55,    0
   469,  2187,19370106,   56,    0
   469,  2187,19370107,   49,    0
   469,  2187,19370108,   28,    0
   469,  2187,19370109,   26,    0
   469,  2187,19370110,   22,    0
   469,  2187,19370111,   15,    0
   469,  2187,19370112,    1,    0
   469,  2187,19370113,   -7,    0
   469,  2187,19370114,   -9,    0
   469,  2187,19370115,   -9,    0
   469,  2187,19370116,  -10,    0
   469,  2187,19370117,  -11,    0
   469,  2187,19370118,  -32,    0
   469,  2187,19370119,  -52,    0
   469,  2187,19370120,  -60,    0
   469,  2187,19370121,  -28,    0
   469,  2187,19370122,    9,    0
   469,  2187,19370123,    9,    0
   469,  2187,19370124,  -12,    0
   469,  2187,19370125,  -59,    0
   469,  2187,19370126,  -57,    0
   469,  2187,19370127,  -45,    0
   469,  2187,19370128,  -27,    0
   469,  2187,19370129,  -42,    0
   469,  2187,19370130,  -56,    0
   469,  2187,19370131,  -73,    0
   469,  2187,19370201,  -40,    0
   469,  2187,19370202,   29,    0
   469,  2187,19370203,   44,    0
   469,  2187,19370204,   40,    0
   469,  2187,19370205,   27,    0
   469,  2187,19370206,   32,    0
   469,  2187,19370207,   15,    0
   469,  2187,19370208,   -2,    0
   469,  2187,19370209,    6,    0
   469,  2187,19370210,   19,    0
   469,  2187,19370211,   16,    0
   469,  2187,19370212,    2,    0
   469,  2187,19370213,   -8,    0
   469,  2187,19370214,   -1,    0
   469,  2187,19370215,   38,    0
   469,  2187,19370216,   37,    0
   469,  2187,19370217,   28,    0
   469,  2187,19370218,    9,    0
   469,  2187,19370219,   33,    0
   469,  2187,19370220,   15,    0
   469,  2187,19370221,   24,    0
   469,  2187,19370222,   16,    0
   469,  2187,19370223,   -3,    0
   469,  2187,19370224,  -14,    0
   469,  2187,19370225,  -24,    0
   469,  2187,19370226,   -7,    0
   469,  2187,19370227,   35,    0
   469,  2187,19370228,   26,    0
   469,  2187,19370301,    6,    0
   469,  2187,19370302,   13,    0
   469,  2187,19370303,   -1,    0
   469,  2187,19370304,   -8,    0
   469,  2187,19370305,   -9,    0
   469,  2187,19370306,   -8,    0
   469,  2187,19370307,  -22,    0
   469,  2187,19370308,  -32,    0
   469,  2187,19370309,  -26,    0
   469,  2187,19370310,  -13,    0
   469,  2187,19370311,    6,    0
   469,  2187,19370312,   23,    0
   469,  2187,19370313,   28,    0
   469,  2187,19370314,   20,    0
   469,  2187,19370315,   20,    0
   469,  2187,19370316,   24,    0
   469,  2187,19370317,   30,    0
   469,  2187,19370318,   44,    0
   469,  2187,19370319,   52,    0
   469,  2187,19370320,   43,    0
   469,  2187,19370321,   32,    0
   469,  2187,19370322,   28,    0
   469,  2187,19370323,   24,    0
   469,  2187,19370324,   29,    0
   469,  2187,19370325,   34,    0
   469,  2187,19370326,   25,    0
   469,  2187,19370327,   17,    0
   469,  2187,19370328,   12,    0
   469,  2187,19370329,   27,    0
   469,  2187,19370330,   35,    0
   469,  2187,19370331,   24,    0
   469,  2187,19370401,   33,    0
   469,  2187,19370402,   50,    0
   469,  2187,19370403,   60,    0
   469,  2187,19370404,   56,    0
   469,  2187,19370405,   45,    0
   469,  2187,19370406,   54,    0
   469,  2187,19370407,   72,    0
   469,  2187,19370408,   72,    0
   469,  2187,19370409,   80,    0
   469,  2187,19370410,   89,    0
   469,  2187,19370411,   78,    0
   469,  2187,19370412,   82,    0
   469,  2187,19370413,   70,    0
   469,  2187,19370414,   76,    0
   469,  2187,19370415,   68,    0
   469,  2187,19370416,   77,    0
   469,  2187,19370417,   81,    0
   469,  2187,19370418,   70,    0
   469,  2187,19370419,   68,    0
   469,  2187,19370420,   86,    0
   469,  2187,19370421,   66,    0
   469,  2187,19370422,   76,    0
   469,  2187,19370423,   66,    0
   469,  2187,19370424,   63,    0
   469,  2187,19370425,   68,    0
   469,  2187,19370426,   72,    0
   469,  2187,19370427,   85,    0
   469,  2187,19370428,   81,    0
   469,  2187,19370429,   78,    0
   469,  2187,19370430,   70,    0
   469,  2187,19370501,   73,    0
   469,  2187,19370502,   90,    0
   469,  2187,19370503,  132,    0
   469,  2187,19370504,  151,    0
   469,  2187,19370505,   92,    0
   469,  2187,19370506,   75,    0
   469,  2187,19370507,   86,    0
   469,  2187,19370508,   90,    0
   469,  2187,19370509,   88,    0
   469,  2187,19370510,   90,    0
   469,  2187,19370511,  118,    0
   469,  2187,19370512,  118,    0
   469,  2187,19370513,  135,    0
   469,  2187,19370514,  106,    0
   469,  2187,19370515,  113,    0
   469,  2187,19370516,  104,    0
   469,  2187,19370517,  104,    0
   469,  2187,19370518,  126,    0
   469,  2187,19370519,  125,    0
   469,  2187,19370520,  142,    0
   469,  2187,19370521,  149,    0
   469,  2187,19370522,  119,    0
   469,  2187,19370523,  158,    0
   469,  2187,19370524,  186,    0
   469,  2187,19370525,  194,    0
   469,  2187,19370526,  194,    0
   469,  2187,19370527,  134,    0
   469,  2187,19370528,  121,    0
   469,  2187,19370529,  128,    0
   469,  2187,19370530,  184,    0
   469,  2187,19370531,  136,    0
   469,  2187,19370601,  122,    0
   469,  2187,19370602,   91,    0
   469,  2187,19370603,  106,    0
   469,  2187,19370604,  120,    0
   469,  2187,19370605,  139,    0
   469,  2187,19370606,  180,    0
   469,  2187,19370607,  202,    0
   469,  2187,19370608,  164,    0
   469,  2187,19370609,  173,    0
   469,  2187,19370610,  188,    0
   469,  2187,19370611,  211,    0
   469,  2187,19370612,  167,    0
   469,  2187,19370613,  176,    0
   469,  2187,19370614,  164,    0
   469,  2187,19370615,  141,    0
   469,  2187,19370616,  121,    0
   469,  2187,19370617,  116,    0
   469,  2187,19370618,  127,    0
   469,  2187,19370619,  134,    0
   469,  2187,19370620,  139,    0
   469,  2187,19370621,  125,    0
   469,  2187,19370622,  125,    0
   469,  2187,19370623,  143,    0
   469,  2187,19370624,  124,    0
   469,  2187,19370625,  130,    0
   469,  2187,19370626,  147,    0
   469,  2187,19370627,  142,    0
   469,  2187,19370628,  164,    0
   469,  2187,19370629,  151,    0
   469,  2187,19370630,  128,    0
   469,  2187,19370701,  152,    0
   469,  2187,19370702,  177,    0
   469,  2187,19370703,  198,    0
   469,  2187,19370704,  193,    0
   469,  2187,19370705,  163,    0
   469,  2187,19370706,  165,    0
   469,  2187,19370707,  168,    0
   469,  2187,19370708,  170,    0
   469,  2187,19370709,  158,    0
   469,  2187,19370710,  157,    0
   469,  2187,19370711,  150,    0
   469,  2187,19370712,  150,    0
   469,  2187,19370713,  157,    0
   469,  2187,19370714,  171,    0
   469,  2187,19370715,  198,    0
   469,  2187,19370716,  199,    0
   469,  2187,19370717,  166,    0
   469,  2187,19370718,  167,    0
   469,  2187,19370719,  186,    0
   469,  2187,19370720,  190,    0
   469,  2187,19370721,  188,    0
   469,  2187,19370722,  155,    0
   469,  2187,19370723,  161,    0
   469,  2187,19370724,  158,    0
   469,  2187,19370725,  152,    0
   469,  2187,19370726,  160,    0
   469,  2187,19370727,  155,    0
   469,  2187,19370728,  160,    0
   469,  2187,19370729,  180,    0
   469,  2187,19370730,  180,    0
   469,  2187,19370731,  180,    0
   469,  2187,19370801,  193,    0
   469,  2187,19370802,  191,    0
   469,  2187,19370803,  180,    0
   469,  2187,19370804,  203,    0
   469,  2187,19370805,  192,    0
   469,  2187,19370806,  216,    0
   469,  2187,19370807,  220,    0
   469,  2187,19370808,  210,    0
   469,  2187,19370809,  177,    0
   469,  2187,19370810,  171,    0
   469,  2187,19370811,  166,    0
   469,  2187,19370812,  182,    0
   469,  2187,19370813,  198,    0
   469,  2187,19370814,  178,    0
   469,  2187,19370815,  188,    0
   469,  2187,19370816,  177,    0
   469,  2187,19370817,  174,    0
   469,  2187,19370818,  176,    0
   469,  2187,19370819,  164,    0
   469,  2187,19370820,  150,    0
   469,  2187,19370821,  183,    0
   469,  2187,19370822,  196,    0
   469,  2187,19370823,  181,    0
   469,  2187,19370824,  177,    0
   469,  2187,19370825,  183,    0
   469,  2187,19370826,  184,    0
   469,  2187,19370827,  180,    0
   469,  2187,19370828,  174,    0
   469,  2187,19370829,  168,    0
   469,  2187,19370830,  171,    0
   469,  2187,19370831,  160,    0
   469,  2187,19370901,  180,    0
   469,  2187,19370902,  184,    0
   469,  2187,19370903,  179,    0
   469,  2187,19370904,  167,    0
   469,  2187,19370905,  173,    0
   469,  2187,19370906,  182,    0
   469,  2187,19370907,  172,    0
   469,  2187,19370908,  158,    0
   469,  2187,19370909,  154,    0
   469,  2187,19370910,  136,    0
   469,  2187,19370911,  142,    0
   469,  2187,19370912,  130,    0
   469,  2187,19370913,  117,    0
   469,  2187,19370914,  130,    0
   469,  2187,19370915,  140,    0
   469,  2187,19370916,  149,    0
   469,  2187,19370917,  148,    0
   469,  2187,19370918,  148,    0
   469,  2187,19370919,  144,    0
   469,  2187,19370920,  130,    0
   469,  2187,19370921,  129,    0
   469,  2187,19370922,  132,    0
   469,  2187,19370923,  142,    0
   469,  2187,19370924,  155,    0
   469,  2187,19370925,  134,    0
   469,  2187,19370926,  129,    0
   469,  2187,19370927,  148,    0
   469,  2187,19370928,  139,    0
   469,  2187,19370929,  131,    0
   469,  2187,19370930,  126,    0
   469,  2187,19371001,  128,    0
   469,  2187,19371002,  134,    0
   469,  2187,19371003,  144,    0
   469,  2187,19371004,  132,    0
   469,  2187,19371005,  118,    0
   469,  2187,19371006,  115,    0
   469,  2187,19371007,  111,    0
   469,  2187,19371008,  106,    0
   469,  2187,19371009,  113,    0
   469,  2187,19371010,  100,    0
   469,  2187,19371011,  112,    0
   469,  2187,19371012,  119,    0
   469,  2187,19371013,  115,    0
   469,  2187,19371014,  105,    0
   469,  2187,19371015,  116,    0
   469,  2187,19371016,  130,    0
   469,  2187,19371017,  131,    0
   469,  2187,19371018,  124,    0
   469,  2187,19371019,  109,    0
   469,  2187,19371020,   87,    0
   469,  2187,19371021,  106,    0
   469,  2187,19371022,   87,    0
   469,  2187,19371023,  104,    0
   469,  2187,19371024,  108,    0
   469,  2187,19371025,  101,    0
   469,  2187,19371026,  120,    0
   469,  2187,19371027,  112,    0
   469,  2187,19371028,   98,    0
   469,  2187,19371029,  106,    0
   469,  2187,19371030,  106,    0
   469,  2187,19371031,  100,    0
