EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHLESWIG, GERMANY (STAID: 470)
Blended and updated with sources:2195 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   470,  2195,19470101,  -21,    0
   470,  2195,19470102,  -20,    0
   470,  2195,19470103,  -24,    0
   470,  2195,19470104,  -65,    0
   470,  2195,19470105,  -94,    0
   470,  2195,19470106,  -94,    0
   470,  2195,19470107, -108,    0
   470,  2195,19470108, -108,    0
   470,  2195,19470109,  -84,    0
   470,  2195,19470110,  -72,    0
   470,  2195,19470111, -112,    0
   470,  2195,19470112,  -71,    0
   470,  2195,19470113,   11,    0
   470,  2195,19470114,   24,    0
   470,  2195,19470115,   52,    0
   470,  2195,19470116,   46,    0
   470,  2195,19470117,   44,    0
   470,  2195,19470118,   30,    0
   470,  2195,19470119,    4,    0
   470,  2195,19470120,  -12,    0
   470,  2195,19470121,  -27,    0
   470,  2195,19470122,  -28,    0
   470,  2195,19470123,  -44,    0
   470,  2195,19470124,  -56,    0
   470,  2195,19470125,  -30,    0
   470,  2195,19470126,  -38,    0
   470,  2195,19470127,  -45,    0
   470,  2195,19470128,  -52,    0
   470,  2195,19470129,  -56,    0
   470,  2195,19470130,  -59,    0
   470,  2195,19470131,  -72,    0
   470,  2195,19470201,  -82,    0
   470,  2195,19470202,  -82,    0
   470,  2195,19470203,  -66,    0
   470,  2195,19470204,  -30,    0
   470,  2195,19470205,  -58,    0
   470,  2195,19470206,  -86,    0
   470,  2195,19470207,  -75,    0
   470,  2195,19470208,  -86,    0
   470,  2195,19470209,  -47,    0
   470,  2195,19470210,  -54,    0
   470,  2195,19470211,  -60,    0
   470,  2195,19470212,  -56,    0
   470,  2195,19470213,  -41,    0
   470,  2195,19470214,  -46,    0
   470,  2195,19470215,  -49,    0
   470,  2195,19470216,  -47,    0
   470,  2195,19470217,  -64,    0
   470,  2195,19470218,  -60,    0
   470,  2195,19470219,  -44,    0
   470,  2195,19470220,  -42,    0
   470,  2195,19470221,  -46,    0
   470,  2195,19470222,  -60,    0
   470,  2195,19470223,  -85,    0
   470,  2195,19470224, -115,    0
   470,  2195,19470225,  -54,    0
   470,  2195,19470226,  -65,    0
   470,  2195,19470227,  -72,    0
   470,  2195,19470228,  -63,    0
   470,  2195,19470301,  -68,    0
   470,  2195,19470302,  -86,    0
   470,  2195,19470303,  -43,    0
   470,  2195,19470304,  -28,    0
   470,  2195,19470305,  -34,    0
   470,  2195,19470306,  -39,    0
   470,  2195,19470307,  -63,    0
   470,  2195,19470308,  -25,    0
   470,  2195,19470309,  -48,    0
   470,  2195,19470310,  -86,    0
   470,  2195,19470311,  -60,    0
   470,  2195,19470312,  -84,    0
   470,  2195,19470313,  -48,    0
   470,  2195,19470314,  -27,    0
   470,  2195,19470315,  -22,    0
   470,  2195,19470316,    0,    0
   470,  2195,19470317,    8,    0
   470,  2195,19470318,   -2,    0
   470,  2195,19470319,   19,    0
   470,  2195,19470320,   19,    0
   470,  2195,19470321,   31,    0
   470,  2195,19470322,   42,    0
   470,  2195,19470323,   51,    0
   470,  2195,19470324,   32,    0
   470,  2195,19470325,   26,    0
   470,  2195,19470326,   42,    0
   470,  2195,19470327,   11,    0
   470,  2195,19470328,   27,    0
   470,  2195,19470329,   44,    0
   470,  2195,19470330,   83,    0
   470,  2195,19470331,   67,    0
   470,  2195,19470401,   58,    0
   470,  2195,19470402,   25,    0
   470,  2195,19470403,   19,    0
   470,  2195,19470404,   13,    0
   470,  2195,19470405,   38,    0
   470,  2195,19470406,   65,    0
   470,  2195,19470407,   59,    0
   470,  2195,19470408,   32,    0
   470,  2195,19470409,   31,    0
   470,  2195,19470410,   44,    0
   470,  2195,19470411,   62,    0
   470,  2195,19470412,   79,    0
   470,  2195,19470413,   61,    0
   470,  2195,19470414,   66,    0
   470,  2195,19470415,   84,    0
   470,  2195,19470416,   95,    0
   470,  2195,19470417,   73,    0
   470,  2195,19470418,   56,    0
   470,  2195,19470419,   94,    0
   470,  2195,19470420,  102,    0
   470,  2195,19470421,  102,    0
   470,  2195,19470422,  125,    0
   470,  2195,19470423,  104,    0
   470,  2195,19470424,   78,    0
   470,  2195,19470425,  105,    0
   470,  2195,19470426,   76,    0
   470,  2195,19470427,  101,    0
   470,  2195,19470428,   68,    0
   470,  2195,19470429,   62,    0
   470,  2195,19470430,   58,    0
   470,  2195,19470501,   44,    0
   470,  2195,19470502,   50,    0
   470,  2195,19470503,   51,    0
   470,  2195,19470504,   58,    0
   470,  2195,19470505,   69,    0
   470,  2195,19470506,   94,    0
   470,  2195,19470507,  111,    0
   470,  2195,19470508,  128,    0
   470,  2195,19470509,  138,    0
   470,  2195,19470510,  128,    0
   470,  2195,19470511,  120,    0
   470,  2195,19470512,  150,    0
   470,  2195,19470513,  168,    0
   470,  2195,19470514,  191,    0
   470,  2195,19470515,  179,    0
   470,  2195,19470516,  124,    0
   470,  2195,19470517,  123,    0
   470,  2195,19470518,  122,    0
   470,  2195,19470519,  110,    0
   470,  2195,19470520,  135,    0
   470,  2195,19470521,  133,    0
   470,  2195,19470522,  122,    0
   470,  2195,19470523,  142,    0
   470,  2195,19470524,  144,    0
   470,  2195,19470525,  136,    0
   470,  2195,19470526,  157,    0
   470,  2195,19470527,  152,    0
   470,  2195,19470528,  153,    0
   470,  2195,19470529,  179,    0
   470,  2195,19470530,  215,    0
   470,  2195,19470531,  228,    0
   470,  2195,19470601,  234,    0
   470,  2195,19470602,  224,    0
   470,  2195,19470603,  204,    0
   470,  2195,19470604,  202,    0
   470,  2195,19470605,  164,    0
   470,  2195,19470606,  123,    0
   470,  2195,19470607,  116,    0
   470,  2195,19470608,  130,    0
   470,  2195,19470609,  122,    0
   470,  2195,19470610,  110,    0
   470,  2195,19470611,  117,    0
   470,  2195,19470612,  134,    0
   470,  2195,19470613,  125,    0
   470,  2195,19470614,  134,    0
   470,  2195,19470615,  159,    0
   470,  2195,19470616,  126,    0
   470,  2195,19470617,  153,    0
   470,  2195,19470618,  181,    0
   470,  2195,19470619,  204,    0
   470,  2195,19470620,  182,    0
   470,  2195,19470621,  184,    0
   470,  2195,19470622,  146,    0
   470,  2195,19470623,  147,    0
   470,  2195,19470624,  155,    0
   470,  2195,19470625,  222,    0
   470,  2195,19470626,  196,    0
   470,  2195,19470627,  222,    0
   470,  2195,19470628,  236,    0
   470,  2195,19470629,  268,    0
   470,  2195,19470630,  198,    0
   470,  2195,19470701,  158,    0
   470,  2195,19470702,  158,    0
   470,  2195,19470703,  188,    0
   470,  2195,19470704,  210,    0
   470,  2195,19470705,  144,    0
   470,  2195,19470706,  128,    0
   470,  2195,19470707,  154,    0
   470,  2195,19470708,  137,    0
   470,  2195,19470709,  136,    0
   470,  2195,19470710,  139,    0
   470,  2195,19470711,  136,    0
   470,  2195,19470712,  148,    0
   470,  2195,19470713,  164,    0
   470,  2195,19470714,  178,    0
   470,  2195,19470715,  196,    0
   470,  2195,19470716,  202,    0
   470,  2195,19470717,  190,    0
   470,  2195,19470718,  186,    0
   470,  2195,19470719,  186,    0
   470,  2195,19470720,  192,    0
   470,  2195,19470721,  179,    0
   470,  2195,19470722,  212,    0
   470,  2195,19470723,  236,    0
   470,  2195,19470724,  203,    0
   470,  2195,19470725,  199,    0
   470,  2195,19470726,  212,    0
   470,  2195,19470727,  173,    0
   470,  2195,19470728,  175,    0
   470,  2195,19470729,  186,    0
   470,  2195,19470730,  180,    0
   470,  2195,19470731,  164,    0
