EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROSTOCK-WARNEMUNDE, GERMANY (STAID: 472)
Blended and updated with sources:2214 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   472,  2214,19470101,  -21,    0
   472,  2214,19470102,  -27,    0
   472,  2214,19470103,  -48,    0
   472,  2214,19470104,  -92,    0
   472,  2214,19470105, -129,    0
   472,  2214,19470106, -134,    0
   472,  2214,19470107, -133,    0
   472,  2214,19470108, -129,    0
   472,  2214,19470109,  -99,    0
   472,  2214,19470110,  -91,    0
   472,  2214,19470111, -108,    0
   472,  2214,19470112,  -93,    0
   472,  2214,19470113,  -11,    0
   472,  2214,19470114,   26,    0
   472,  2214,19470115,   61,    0
   472,  2214,19470116,   55,    0
   472,  2214,19470117,   46,    0
   472,  2214,19470118,   28,    0
   472,  2214,19470119,    3,    0
   472,  2214,19470120,   -2,    0
   472,  2214,19470121,  -13,    0
   472,  2214,19470122,  -23,    0
   472,  2214,19470123,  -21,    0
   472,  2214,19470124,  -28,    0
   472,  2214,19470125,  -33,    0
   472,  2214,19470126,  -59,    0
   472,  2214,19470127,  -44,    0
   472,  2214,19470128,  -70,    0
   472,  2214,19470129,  -60,    0
   472,  2214,19470130,  -62,    0
   472,  2214,19470131,  -74,    0
