EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GREIFSWALD, GERMANY (STAID: 473)
Blended and updated with sources:2222 81020 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   473,  2222,18980301,   36,    0
   473,  2222,18980302,   16,    0
   473,  2222,18980303,   13,    0
   473,  2222,18980304,  -10,    0
   473,  2222,18980305,   -3,    0
   473,  2222,18980306,    9,    0
   473,  2222,18980307,    4,    0
   473,  2222,18980308,   27,    0
   473,  2222,18980309,   41,    0
   473,  2222,18980310,   39,    0
   473,  2222,18980311,   19,    0
   473,  2222,18980312,    6,    0
   473,  2222,18980313,    6,    0
   473,  2222,18980314,    0,    0
   473,  2222,18980315,   30,    0
   473,  2222,18980316,   37,    0
   473,  2222,18980317,   53,    0
   473,  2222,18980318,   88,    0
   473,  2222,18980319,   65,    0
   473,  2222,18980320,   30,    0
   473,  2222,18980321,   30,    0
   473,  2222,18980322,   30,    0
   473,  2222,18980323,   26,    0
   473,  2222,18980324,   23,    0
   473,  2222,18980325,   31,    0
   473,  2222,18980326,   30,    0
   473,  2222,18980327,   35,    0
   473,  2222,18980328,   47,    0
   473,  2222,18980329,   55,    0
   473,  2222,18980330,   35,    0
   473,  2222,18980331,   36,    0
   473,  2222,18980401,   40,    0
   473,  2222,18980402,   36,    0
   473,  2222,18980403,   52,    0
   473,  2222,18980404,   55,    0
   473,  2222,18980405,   34,    0
   473,  2222,18980406,   54,    0
   473,  2222,18980407,   55,    0
   473,  2222,18980408,   70,    0
   473,  2222,18980409,   93,    0
   473,  2222,18980410,   75,    0
   473,  2222,18980411,   80,    0
   473,  2222,18980412,   61,    0
   473,  2222,18980413,   40,    0
   473,  2222,18980414,   31,    0
   473,  2222,18980415,   50,    0
   473,  2222,18980416,   82,    0
   473,  2222,18980417,   71,    0
   473,  2222,18980418,   56,    0
   473,  2222,18980419,   48,    0
   473,  2222,18980420,   44,    0
   473,  2222,18980421,   38,    0
   473,  2222,18980422,   50,    0
   473,  2222,18980423,   47,    0
   473,  2222,18980424,   66,    0
   473,  2222,18980425,   81,    0
   473,  2222,18980426,   72,    0
   473,  2222,18980427,   62,    0
   473,  2222,18980428,   48,    0
   473,  2222,18980429,   77,    0
   473,  2222,18980430,   81,    0
   473,  2222,18980501,   97,    0
   473,  2222,18980502,  149,    0
   473,  2222,18980503,  155,    0
   473,  2222,18980504,  136,    0
   473,  2222,18980505,  112,    0
   473,  2222,18980506,  118,    0
