EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MAGDEBURG, GERMANY (STAID: 477)
Blended and updated with sources:2254 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   477,  2254,18810101,   -3,    0
   477,  2254,18810102,  -13,    0
   477,  2254,18810103,  -22,    0
   477,  2254,18810104,  -28,    0
   477,  2254,18810105,   -1,    0
   477,  2254,18810106,  -23,    0
   477,  2254,18810107,  -46,    0
   477,  2254,18810108,  -12,    0
   477,  2254,18810109,  -58,    0
   477,  2254,18810110,  -18,    0
   477,  2254,18810111,  -40,    0
   477,  2254,18810112,  -57,    0
   477,  2254,18810113,  -76,    0
   477,  2254,18810114, -168,    0
   477,  2254,18810115, -177,    0
   477,  2254,18810116, -112,    0
   477,  2254,18810117,  -67,    0
   477,  2254,18810118, -107,    0
   477,  2254,18810119,  -56,    0
   477,  2254,18810120,  -75,    0
   477,  2254,18810121, -118,    0
   477,  2254,18810122,  -65,    0
   477,  2254,18810123,  -73,    0
   477,  2254,18810124, -129,    0
   477,  2254,18810125, -144,    0
   477,  2254,18810126, -147,    0
   477,  2254,18810127, -109,    0
   477,  2254,18810128,   -4,    0
   477,  2254,18810129,   26,    0
   477,  2254,18810130,   28,    0
   477,  2254,18810131,   33,    0
   477,  2254,18810201,   11,    0
   477,  2254,18810202,    5,    0
