EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HERWIJNEN, NETHERLANDS (STAID: 478)
Blended and updated with sources:2520 906356 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   478,  2520,19891001,-9999,    9
   478,  2520,19891002,-9999,    9
   478,  2520,19891003,-9999,    9
   478,  2520,19891004,-9999,    9
   478,  2520,19891005,-9999,    9
   478,  2520,19891006,-9999,    9
   478,  2520,19891007,-9999,    9
   478,  2520,19891008,-9999,    9
   478,  2520,19891009,-9999,    9
   478,  2520,19891010,-9999,    9
   478,  2520,19891011,-9999,    9
   478,  2520,19891012,-9999,    9
   478,  2520,19891013,-9999,    9
   478,  2520,19891014,-9999,    9
   478,  2520,19891015,-9999,    9
   478,  2520,19891016,-9999,    9
   478,  2520,19891017,-9999,    9
   478,  2520,19891018,-9999,    9
   478,  2520,19891019,  138,    0
   478,  2520,19891020,-9999,    9
   478,  2520,19891021,-9999,    9
   478,  2520,19891022,-9999,    9
   478,  2520,19891023,-9999,    9
   478,  2520,19891024,-9999,    9
   478,  2520,19891025,  105,    0
   478,  2520,19891026,  125,    0
   478,  2520,19891027,-9999,    9
   478,  2520,19891028,-9999,    9
   478,  2520,19891029,-9999,    9
   478,  2520,19891030,-9999,    9
   478,  2520,19891031,  110,    0
   478,  2520,19891101,  111,    0
   478,  2520,19891102,  123,    0
   478,  2520,19891103,   88,    0
   478,  2520,19891104,   85,    0
   478,  2520,19891105,   64,    0
   478,  2520,19891106,-9999,    9
   478,  2520,19891107,-9999,    9
   478,  2520,19891108,   88,    0
   478,  2520,19891109,   74,    0
   478,  2520,19891110,   91,    0
   478,  2520,19891111,   77,    0
   478,  2520,19891112,-9999,    9
   478,  2520,19891113,-9999,    9
   478,  2520,19891114,-9999,    9
   478,  2520,19891115,-9999,    9
   478,  2520,19891116,-9999,    9
   478,  2520,19891117,-9999,    9
   478,  2520,19891118,   18,    0
   478,  2520,19891119,   22,    0
   478,  2520,19891120,-9999,    9
   478,  2520,19891121,-9999,    9
   478,  2520,19891122,   36,    0
   478,  2520,19891123,-9999,    9
   478,  2520,19891124,   34,    0
   478,  2520,19891125,-9999,    9
   478,  2520,19891126,-9999,    9
   478,  2520,19891127,-9999,    9
   478,  2520,19891128,   37,    0
   478,  2520,19891129,  -21,    0
   478,  2520,19891130,  -37,    0
   478,  2520,19891201,-9999,    9
   478,  2520,19891202,-9999,    9
   478,  2520,19891203,-9999,    9
   478,  2520,19891204,   -5,    0
   478,  2520,19891205,   31,    0
   478,  2520,19891206,   57,    0
   478,  2520,19891207,   43,    0
   478,  2520,19891208,   30,    0
   478,  2520,19891209,   24,    0
   478,  2520,19891210,  -20,    0
   478,  2520,19891211,-9999,    9
   478,  2520,19891212,   25,    0
   478,  2520,19891213,-9999,    9
   478,  2520,19891214,-9999,    9
   478,  2520,19891215,   66,    0
   478,  2520,19891216,   90,    0
   478,  2520,19891217,  114,    0
   478,  2520,19891218,-9999,    9
   478,  2520,19891219,-9999,    9
   478,  2520,19891220,   99,    0
   478,  2520,19891221,  131,    0
   478,  2520,19891222,   85,    0
   478,  2520,19891223,   58,    0
   478,  2520,19891224,   88,    0
   478,  2520,19891225,   84,    0
   478,  2520,19891226,   40,    0
   478,  2520,19891227,    0,    0
   478,  2520,19891228,   14,    0
   478,  2520,19891229,    5,    0
   478,  2520,19891230,-9999,    9
   478,  2520,19891231,-9999,    9
   478,  2520,19900101,-9999,    9
   478,  2520,19900102,-9999,    9
   478,  2520,19900103,-9999,    9
   478,  2520,19900104,   -1,    0
   478,  2520,19900105,   28,    0
   478,  2520,19900106,   43,    0
   478,  2520,19900107,-9999,    9
   478,  2520,19900108,   53,    0
   478,  2520,19900109,   72,    0
   478,  2520,19900110,-9999,    9
   478,  2520,19900111,   63,    0
   478,  2520,19900112,-9999,    9
   478,  2520,19900113,-9999,    9
   478,  2520,19900114,-9999,    9
   478,  2520,19900115,-9999,    9
   478,  2520,19900116,  101,    0
   478,  2520,19900117,-9999,    9
   478,  2520,19900118,-9999,    9
   478,  2520,19900119,-9999,    9
   478,  2520,19900120,-9999,    9
   478,  2520,19900121,-9999,    9
   478,  2520,19900122,-9999,    9
   478,  2520,19900123,-9999,    9
   478,  2520,19900124,   48,    0
   478,  2520,19900125,   67,    0
   478,  2520,19900126,-9999,    9
   478,  2520,19900127,   56,    0
   478,  2520,19900128,   70,    0
   478,  2520,19900129,-9999,    9
   478,  2520,19900130,-9999,    9
   478,  2520,19900131,-9999,    9
   478,  2520,19900201,-9999,    9
   478,  2520,19900202,-9999,    9
   478,  2520,19900203,   71,    0
   478,  2520,19900204,   64,    0
   478,  2520,19900205,   71,    0
   478,  2520,19900206,   81,    0
   478,  2520,19900207,-9999,    9
   478,  2520,19900208,-9999,    9
   478,  2520,19900209,   58,    0
   478,  2520,19900210,   60,    0
   478,  2520,19900211,-9999,    9
   478,  2520,19900212,   45,    0
   478,  2520,19900213,-9999,    9
   478,  2520,19900214,   63,    0
   478,  2520,19900215,   31,    0
   478,  2520,19900216,-9999,    9
   478,  2520,19900217,-9999,    9
