EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KASSEL, GERMANY (STAID: 480)
Blended and updated with sources:2278 910438 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   480,  2278,19510101,    5,    0
   480,  2278,19510102,   11,    0
   480,  2278,19510103,   14,    0
   480,  2278,19510104,   12,    0
   480,  2278,19510105,   36,    0
   480,  2278,19510106,   42,    0
   480,  2278,19510107,   54,    0
   480,  2278,19510108,   46,    0
   480,  2278,19510109,   41,    0
   480,  2278,19510110,   22,    0
   480,  2278,19510111,   67,    0
   480,  2278,19510112,   53,    0
   480,  2278,19510113,   42,    0
   480,  2278,19510114,   46,    0
   480,  2278,19510115,   32,    0
   480,  2278,19510116,   32,    0
   480,  2278,19510117,   20,    0
   480,  2278,19510118,   49,    0
   480,  2278,19510119,   44,    0
   480,  2278,19510120,   40,    0
   480,  2278,19510121,    1,    0
   480,  2278,19510122,   21,    0
   480,  2278,19510123,   39,    0
   480,  2278,19510124,   25,    0
   480,  2278,19510125,    2,    0
   480,  2278,19510126,    7,    0
   480,  2278,19510127,   18,    0
   480,  2278,19510128,   17,    0
   480,  2278,19510129,    3,    0
   480,  2278,19510130,    4,    0
   480,  2278,19510131,    9,    0
   480,  2278,19510201,   14,    0
   480,  2278,19510202,    4,    0
   480,  2278,19510203,  -10,    0
   480,  2278,19510204,   14,    0
   480,  2278,19510205,   30,    0
   480,  2278,19510206,   42,    0
   480,  2278,19510207,   36,    0
   480,  2278,19510208,   50,    0
   480,  2278,19510209,   76,    0
   480,  2278,19510210,   34,    0
   480,  2278,19510211,   37,    0
   480,  2278,19510212,   42,    0
   480,  2278,19510213,   31,    0
   480,  2278,19510214,   30,    0
   480,  2278,19510215,   33,    0
   480,  2278,19510216,   18,    0
   480,  2278,19510217,   53,    0
   480,  2278,19510218,   37,    0
   480,  2278,19510219,   27,    0
   480,  2278,19510220,   48,    0
   480,  2278,19510221,   32,    0
   480,  2278,19510222,   38,    0
   480,  2278,19510223,   30,    0
   480,  2278,19510224,   18,    0
   480,  2278,19510225,   25,    0
   480,  2278,19510226,   14,    0
   480,  2278,19510227,    2,    0
   480,  2278,19510228,   -5,    0
   480,  2278,19510301,  -10,    0
   480,  2278,19510302,  -16,    0
   480,  2278,19510303,  -24,    0
   480,  2278,19510304,  -18,    0
   480,  2278,19510305,   -6,    0
   480,  2278,19510306,    6,    0
   480,  2278,19510307,   18,    0
   480,  2278,19510308,    0,    0
   480,  2278,19510309,  -16,    0
   480,  2278,19510310,   -7,    0
   480,  2278,19510311,   30,    0
   480,  2278,19510312,   62,    0
   480,  2278,19510313,   84,    0
   480,  2278,19510314,   75,    0
   480,  2278,19510315,   64,    0
   480,  2278,19510316,   65,    0
   480,  2278,19510317,  118,    0
   480,  2278,19510318,   98,    0
   480,  2278,19510319,   45,    0
   480,  2278,19510320,   11,    0
   480,  2278,19510321,    1,    0
   480,  2278,19510322,   30,    0
   480,  2278,19510323,   97,    0
   480,  2278,19510324,   32,    0
   480,  2278,19510325,   12,    0
   480,  2278,19510326,   12,    0
   480,  2278,19510327,   41,    0
   480,  2278,19510328,   20,    0
   480,  2278,19510329,    9,    0
   480,  2278,19510330,   38,    0
   480,  2278,19510331,   49,    0
   480,  2278,19510401,   66,    0
   480,  2278,19510402,   50,    0
   480,  2278,19510403,   50,    0
