EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MEININGEN, GERMANY (STAID: 486)
Blended and updated with sources:2334 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   486,  2334,19790101, -172,    0
   486,  2334,19790102, -133,    0
   486,  2334,19790103, -108,    0
   486,  2334,19790104, -110,    0
   486,  2334,19790105, -138,    0
   486,  2334,19790106, -133,    0
   486,  2334,19790107, -132,    0
   486,  2334,19790108,  -70,    0
   486,  2334,19790109,  -31,    0
   486,  2334,19790110,  -21,    0
   486,  2334,19790111,  -14,    0
   486,  2334,19790112,  -12,    0
   486,  2334,19790113,  -22,    0
   486,  2334,19790114,  -28,    0
   486,  2334,19790115,  -46,    0
   486,  2334,19790116,  -65,    0
   486,  2334,19790117,  -59,    0
   486,  2334,19790118,  -66,    0
   486,  2334,19790119,  -72,    0
   486,  2334,19790120,  -69,    0
   486,  2334,19790121,  -73,    0
   486,  2334,19790122,  -57,    0
   486,  2334,19790123,  -20,    0
   486,  2334,19790124,   -9,    0
   486,  2334,19790125,  -54,    0
   486,  2334,19790126,  -60,    0
   486,  2334,19790127,  -27,    0
   486,  2334,19790128,  -16,    0
   486,  2334,19790129,  -17,    0
   486,  2334,19790130,   -7,    0
   486,  2334,19790131,   -5,    0
   486,  2334,19790201,  -12,    0
   486,  2334,19790202,    5,    0
   486,  2334,19790203,  -30,    0
   486,  2334,19790204,  -28,    0
   486,  2334,19790205,  -16,    0
   486,  2334,19790206,  -32,    0
   486,  2334,19790207,  -52,    0
   486,  2334,19790208,  -12,    0
   486,  2334,19790209,  -54,    0
   486,  2334,19790210,  -44,    0
   486,  2334,19790211,  -17,    0
   486,  2334,19790212,   -7,    0
   486,  2334,19790213,    9,    0
   486,  2334,19790214,   21,    0
   486,  2334,19790215,  -14,    0
   486,  2334,19790216,  -74,    0
   486,  2334,19790217,  -78,    0
   486,  2334,19790218,  -56,    0
   486,  2334,19790219,  -14,    0
   486,  2334,19790220,  -17,    0
   486,  2334,19790221,  -21,    0
   486,  2334,19790222,  -38,    0
   486,  2334,19790223,  -21,    0
   486,  2334,19790224,  -23,    0
   486,  2334,19790225,  -35,    0
   486,  2334,19790226,  -51,    0
   486,  2334,19790227,  -49,    0
   486,  2334,19790228,  -38,    0
   486,  2334,19790301,  -10,    0
   486,  2334,19790302,    9,    0
   486,  2334,19790303,   27,    0
   486,  2334,19790304,   38,    0
   486,  2334,19790305,   13,    0
   486,  2334,19790306,   25,    0
   486,  2334,19790307,   32,    0
   486,  2334,19790308,   18,    0
   486,  2334,19790309,   10,    0
   486,  2334,19790310,   -7,    0
   486,  2334,19790311,  -14,    0
   486,  2334,19790312,   42,    0
   486,  2334,19790313,   42,    0
   486,  2334,19790314,   31,    0
   486,  2334,19790315,   43,    0
   486,  2334,19790316,   18,    0
   486,  2334,19790317,   25,    0
   486,  2334,19790318,   33,    0
   486,  2334,19790319,    6,    0
   486,  2334,19790320,   29,    0
   486,  2334,19790321,   43,    0
   486,  2334,19790322,   33,    0
   486,  2334,19790323,    8,    0
   486,  2334,19790324,    3,    0
   486,  2334,19790325,   38,    0
   486,  2334,19790326,   77,    0
   486,  2334,19790327,   46,    0
   486,  2334,19790328,   53,    0
   486,  2334,19790329,   21,    0
   486,  2334,19790330,    8,    0
   486,  2334,19790331,    8,    0
   486,  2334,19790401,   13,    0
   486,  2334,19790402,   34,    0
   486,  2334,19790403,   34,    0
   486,  2334,19790404,   21,    0
   486,  2334,19790405,   15,    0
   486,  2334,19790406,   13,    0
   486,  2334,19790407,   21,    0
   486,  2334,19790408,   23,    0
   486,  2334,19790409,   35,    0
   486,  2334,19790410,   71,    0
   486,  2334,19790411,  107,    0
   486,  2334,19790412,   86,    0
   486,  2334,19790413,  100,    0
   486,  2334,19790414,  111,    0
   486,  2334,19790415,  128,    0
   486,  2334,19790416,   77,    0
   486,  2334,19790417,   16,    0
   486,  2334,19790418,    6,    0
   486,  2334,19790419,   33,    0
   486,  2334,19790420,   41,    0
   486,  2334,19790421,   49,    0
   486,  2334,19790422,   53,    0
   486,  2334,19790423,   75,    0
   486,  2334,19790424,   74,    0
   486,  2334,19790425,   66,    0
   486,  2334,19790426,   53,    0
   486,  2334,19790427,   48,    0
   486,  2334,19790428,   48,    0
   486,  2334,19790429,   58,    0
   486,  2334,19790430,   36,    0
   486,  2334,19790501,   30,    0
   486,  2334,19790502,   39,    0
   486,  2334,19790503,   18,    0
   486,  2334,19790504,    9,    0
   486,  2334,19790505,   25,    0
   486,  2334,19790506,   28,    0
   486,  2334,19790507,   38,    0
   486,  2334,19790508,   81,    0
