EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FICHTELBERG, GERMANY (STAID: 488)
Blended and updated with sources:2350 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   488,  2350,18900801,  156,    0
   488,  2350,18900802,  174,    0
   488,  2350,18900803,  133,    0
   488,  2350,18900804,  111,    0
   488,  2350,18900805,  140,    0
   488,  2350,18900806,  143,    0
   488,  2350,18900807,  141,    0
   488,  2350,18900808,  122,    0
   488,  2350,18900809,  127,    0
   488,  2350,18900810,  146,    0
   488,  2350,18900811,  131,    0
   488,  2350,18900812,  105,    0
   488,  2350,18900813,  117,    0
   488,  2350,18900814,  116,    0
   488,  2350,18900815,   89,    0
   488,  2350,18900816,  130,    0
   488,  2350,18900817,  157,    0
   488,  2350,18900818,  186,    0
   488,  2350,18900819,  182,    0
   488,  2350,18900820,  139,    0
   488,  2350,18900821,  101,    0
   488,  2350,18900822,   81,    0
   488,  2350,18900823,   91,    0
   488,  2350,18900824,   95,    0
   488,  2350,18900825,   78,    0
   488,  2350,18900826,   60,    0
   488,  2350,18900827,   89,    0
   488,  2350,18900828,   74,    0
   488,  2350,18900829,   60,    0
   488,  2350,18900830,   56,    0
   488,  2350,18900831,   47,    0
   488,  2350,18900901,   40,    0
   488,  2350,18900902,   30,    0
   488,  2350,18900903,   25,    0
   488,  2350,18900904,   39,    0
   488,  2350,18900905,   56,    0
   488,  2350,18900906,   77,    0
   488,  2350,18900907,   55,    0
   488,  2350,18900908,   54,    0
   488,  2350,18900909,   58,    0
   488,  2350,18900910,   85,    0
   488,  2350,18900911,   73,    0
   488,  2350,18900912,   33,    0
   488,  2350,18900913,   35,    0
   488,  2350,18900914,   52,    0
   488,  2350,18900915,   60,    0
   488,  2350,18900916,   57,    0
   488,  2350,18900917,   62,    0
   488,  2350,18900918,   68,    0
   488,  2350,18900919,   61,    0
   488,  2350,18900920,   82,    0
   488,  2350,18900921,   91,    0
   488,  2350,18900922,  115,    0
   488,  2350,18900923,  127,    0
   488,  2350,18900924,   99,    0
   488,  2350,18900925,   78,    0
   488,  2350,18900926,   68,    0
   488,  2350,18900927,   91,    0
   488,  2350,18900928,  100,    0
   488,  2350,18900929,   94,    0
   488,  2350,18900930,   89,    0
   488,  2350,18901001,  116,    0
   488,  2350,18901002,   20,    0
   488,  2350,18901003,   23,    0
   488,  2350,18901004,   88,    0
   488,  2350,18901005,   62,    0
   488,  2350,18901006,   69,    0
   488,  2350,18901007,   75,    0
   488,  2350,18901008,   14,    0
   488,  2350,18901009,   -7,    0
   488,  2350,18901010,   22,    0
   488,  2350,18901011,   61,    0
   488,  2350,18901012,   54,    0
   488,  2350,18901013,   95,    0
   488,  2350,18901014,  104,    0
   488,  2350,18901015,   74,    0
   488,  2350,18901016,   19,    0
   488,  2350,18901017,  -10,    0
   488,  2350,18901018,  -14,    0
   488,  2350,18901019,    1,    0
   488,  2350,18901020,  -28,    0
   488,  2350,18901021,  -66,    0
   488,  2350,18901022,  -74,    0
   488,  2350,18901023,  -67,    0
   488,  2350,18901024,  -37,    0
   488,  2350,18901025,   -1,    0
   488,  2350,18901026,   15,    0
   488,  2350,18901027,  -39,    0
   488,  2350,18901028,  -52,    0
   488,  2350,18901029,  -36,    0
   488,  2350,18901030,  -21,    0
   488,  2350,18901031,  -23,    0
   488,  2350,18901101,   -6,    0
   488,  2350,18901102,   15,    0
   488,  2350,18901103,    2,    0
   488,  2350,18901104,   -3,    0
   488,  2350,18901105,    0,    0
   488,  2350,18901106,    2,    0
   488,  2350,18901107,   -7,    0
   488,  2350,18901108,   -2,    0
   488,  2350,18901109,   -2,    0
   488,  2350,18901110,  -14,    0
   488,  2350,18901111,  -25,    0
   488,  2350,18901112,  -21,    0
   488,  2350,18901113,  -20,    0
   488,  2350,18901114,   -5,    0
   488,  2350,18901115,   29,    0
   488,  2350,18901116,   -8,    0
   488,  2350,18901117,   -8,    0
   488,  2350,18901118,  -35,    0
   488,  2350,18901119,   -7,    0
   488,  2350,18901120,    9,    0
   488,  2350,18901121,   16,    0
   488,  2350,18901122,   -6,    0
   488,  2350,18901123,  -13,    0
   488,  2350,18901124,  -19,    0
   488,  2350,18901125,  -91,    0
   488,  2350,18901126, -201,    0
   488,  2350,18901127, -168,    0
   488,  2350,18901128, -109,    0
   488,  2350,18901129,  -50,    0
   488,  2350,18901130,  -97,    0
   488,  2350,18901201,  -51,    0
   488,  2350,18901202,  -14,    0
   488,  2350,18901203,  -10,    0
   488,  2350,18901204,  -26,    0
   488,  2350,18901205,  -63,    0
   488,  2350,18901206,  -79,    0
   488,  2350,18901207, -106,    0
   488,  2350,18901208,  -73,    0
   488,  2350,18901209,  -86,    0
   488,  2350,18901210,  -86,    0
   488,  2350,18901211,-9999,    9
   488,  2350,18901212,-9999,    9
   488,  2350,18901213,-9999,    9
   488,  2350,18901214,-9999,    9
   488,  2350,18901215,-9999,    9
   488,  2350,18901216,-9999,    9
   488,  2350,18901217,-9999,    9
   488,  2350,18901218,-9999,    9
   488,  2350,18901219,-9999,    9
   488,  2350,18901220,-9999,    9
   488,  2350,18901221,-9999,    9
   488,  2350,18901222,-9999,    9
   488,  2350,18901223,-9999,    9
   488,  2350,18901224,-9999,    9
   488,  2350,18901225,-9999,    9
   488,  2350,18901226,-9999,    9
   488,  2350,18901227,-9999,    9
   488,  2350,18901228,-9999,    9
   488,  2350,18901229,-9999,    9
   488,  2350,18901230,-9999,    9
   488,  2350,18901231,-9999,    9
   488,  2350,18910101,-9999,    9
   488,  2350,18910102,-9999,    9
   488,  2350,18910103,-9999,    9
   488,  2350,18910104,-9999,    9
   488,  2350,18910105,-9999,    9
   488,  2350,18910106,-9999,    9
   488,  2350,18910107,-9999,    9
   488,  2350,18910108,-9999,    9
   488,  2350,18910109,-9999,    9
   488,  2350,18910110,-9999,    9
   488,  2350,18910111,-9999,    9
   488,  2350,18910112,-9999,    9
   488,  2350,18910113,-9999,    9
   488,  2350,18910114,-9999,    9
   488,  2350,18910115,-9999,    9
   488,  2350,18910116,-9999,    9
   488,  2350,18910117,-9999,    9
   488,  2350,18910118,-9999,    9
   488,  2350,18910119,-9999,    9
   488,  2350,18910120,-9999,    9
   488,  2350,18910121,-9999,    9
   488,  2350,18910122,-9999,    9
   488,  2350,18910123,-9999,    9
   488,  2350,18910124,-9999,    9
   488,  2350,18910125,-9999,    9
   488,  2350,18910126,-9999,    9
   488,  2350,18910127,-9999,    9
   488,  2350,18910128,-9999,    9
   488,  2350,18910129,-9999,    9
   488,  2350,18910130,-9999,    9
   488,  2350,18910131,-9999,    9
   488,  2350,18910201,-9999,    9
   488,  2350,18910202,-9999,    9
   488,  2350,18910203,-9999,    9
   488,  2350,18910204,-9999,    9
   488,  2350,18910205,-9999,    9
   488,  2350,18910206,-9999,    9
   488,  2350,18910207,-9999,    9
   488,  2350,18910208,-9999,    9
   488,  2350,18910209,-9999,    9
   488,  2350,18910210,-9999,    9
   488,  2350,18910211,-9999,    9
   488,  2350,18910212,-9999,    9
   488,  2350,18910213,-9999,    9
   488,  2350,18910214,-9999,    9
   488,  2350,18910215,-9999,    9
   488,  2350,18910216,-9999,    9
   488,  2350,18910217,-9999,    9
   488,  2350,18910218,-9999,    9
   488,  2350,18910219,-9999,    9
   488,  2350,18910220,-9999,    9
   488,  2350,18910221,-9999,    9
   488,  2350,18910222,-9999,    9
   488,  2350,18910223,-9999,    9
   488,  2350,18910224,-9999,    9
   488,  2350,18910225,-9999,    9
   488,  2350,18910226,-9999,    9
   488,  2350,18910227,-9999,    9
   488,  2350,18910228,-9999,    9
   488,  2350,18910301,-9999,    9
   488,  2350,18910302,-9999,    9
   488,  2350,18910303,-9999,    9
   488,  2350,18910304,-9999,    9
   488,  2350,18910305,-9999,    9
   488,  2350,18910306,-9999,    9
   488,  2350,18910307,-9999,    9
   488,  2350,18910308,-9999,    9
   488,  2350,18910309,-9999,    9
   488,  2350,18910310,-9999,    9
   488,  2350,18910311,-9999,    9
   488,  2350,18910312,-9999,    9
   488,  2350,18910313,-9999,    9
   488,  2350,18910314,-9999,    9
   488,  2350,18910315,-9999,    9
   488,  2350,18910316,-9999,    9
   488,  2350,18910317,-9999,    9
   488,  2350,18910318,-9999,    9
   488,  2350,18910319,-9999,    9
   488,  2350,18910320,-9999,    9
   488,  2350,18910321,-9999,    9
   488,  2350,18910322,-9999,    9
   488,  2350,18910323,-9999,    9
   488,  2350,18910324,-9999,    9
   488,  2350,18910325,-9999,    9
   488,  2350,18910326,-9999,    9
   488,  2350,18910327,-9999,    9
   488,  2350,18910328,-9999,    9
   488,  2350,18910329,-9999,    9
   488,  2350,18910330,-9999,    9
   488,  2350,18910331,-9999,    9
   488,  2350,18910401,  -47,    0
   488,  2350,18910402,  -43,    0
   488,  2350,18910403,  -21,    0
   488,  2350,18910404,   -6,    0
   488,  2350,18910405,  -16,    0
   488,  2350,18910406,    3,    0
   488,  2350,18910407,    5,    0
   488,  2350,18910408,    0,    0
   488,  2350,18910409,   -3,    0
   488,  2350,18910410,    1,    0
   488,  2350,18910411,  -31,    0
   488,  2350,18910412,  -29,    0
   488,  2350,18910413,  -21,    0
   488,  2350,18910414,  -14,    0
   488,  2350,18910415,  -17,    0
   488,  2350,18910416,  -13,    0
   488,  2350,18910417,  -14,    0
