EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOF, GERMANY (STAID: 490)
Blended and updated with sources:2366 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   490,  2366,19470101,  -56,    0
   490,  2366,19470102,  -37,    0
   490,  2366,19470103,  -52,    0
   490,  2366,19470104, -125,    0
   490,  2366,19470105, -172,    0
   490,  2366,19470106, -180,    0
   490,  2366,19470107, -196,    0
   490,  2366,19470108, -124,    0
   490,  2366,19470109,  -32,    0
   490,  2366,19470110,  -10,    0
   490,  2366,19470111,  -12,    0
   490,  2366,19470112,   16,    0
   490,  2366,19470113,   20,    0
   490,  2366,19470114,   10,    0
   490,  2366,19470115,   38,    0
   490,  2366,19470116,    8,    0
   490,  2366,19470117,   18,    0
   490,  2366,19470118,    7,    0
   490,  2366,19470119,   -6,    0
   490,  2366,19470120,  -36,    0
   490,  2366,19470121,  -58,    0
   490,  2366,19470122,  -76,    0
   490,  2366,19470123,  -84,    0
   490,  2366,19470124, -104,    0
   490,  2366,19470125, -115,    0
   490,  2366,19470126, -136,    0
   490,  2366,19470127, -152,    0
   490,  2366,19470128, -164,    0
   490,  2366,19470129,  -90,    0
   490,  2366,19470130, -102,    0
   490,  2366,19470131, -128,    0
   490,  2366,19470201, -130,    0
   490,  2366,19470202, -126,    0
   490,  2366,19470203,  -93,    0
   490,  2366,19470204,  -88,    0
   490,  2366,19470205,  -88,    0
   490,  2366,19470206, -120,    0
   490,  2366,19470207, -128,    0
   490,  2366,19470208,  -96,    0
   490,  2366,19470209,  -97,    0
   490,  2366,19470210,  -99,    0
   490,  2366,19470211, -109,    0
   490,  2366,19470212,  -48,    0
   490,  2366,19470213,  -86,    0
   490,  2366,19470214, -101,    0
   490,  2366,19470215, -116,    0
   490,  2366,19470216, -110,    0
   490,  2366,19470217,  -92,    0
   490,  2366,19470218,  -66,    0
   490,  2366,19470219,  -98,    0
   490,  2366,19470220, -124,    0
   490,  2366,19470221,  -77,    0
   490,  2366,19470222,   30,    0
   490,  2366,19470223,  -71,    0
   490,  2366,19470224, -108,    0
   490,  2366,19470225, -102,    0
   490,  2366,19470226,  -95,    0
   490,  2366,19470227,  -80,    0
   490,  2366,19470228,  -35,    0
   490,  2366,19470301,  -52,    0
   490,  2366,19470302,  -52,    0
   490,  2366,19470303,  -74,    0
   490,  2366,19470304,  -56,    0
   490,  2366,19470305,   -2,    0
   490,  2366,19470306,   26,    0
   490,  2366,19470307,   -4,    0
   490,  2366,19470308,  -44,    0
   490,  2366,19470309,  -28,    0
   490,  2366,19470310,  -49,    0
   490,  2366,19470311,   20,    0
   490,  2366,19470312,  -53,    0
   490,  2366,19470313,   10,    0
   490,  2366,19470314,   60,    0
   490,  2366,19470315,  -48,    0
   490,  2366,19470316,  -11,    0
   490,  2366,19470317,   57,    0
   490,  2366,19470318,   57,    0
   490,  2366,19470319,   31,    0
   490,  2366,19470320,   34,    0
   490,  2366,19470321,   48,    0
   490,  2366,19470322,   84,    0
   490,  2366,19470323,   71,    0
   490,  2366,19470324,   42,    0
   490,  2366,19470325,   12,    0
   490,  2366,19470326,   16,    0
   490,  2366,19470327,   32,    0
   490,  2366,19470328,   87,    0
   490,  2366,19470329,   85,    0
   490,  2366,19470330,   49,    0
   490,  2366,19470331,   72,    0
   490,  2366,19470401,   59,    0
   490,  2366,19470402,   42,    0
   490,  2366,19470403,   45,    0
   490,  2366,19470404,   62,    0
   490,  2366,19470405,   24,    0
   490,  2366,19470406,   49,    0
   490,  2366,19470407,   84,    0
   490,  2366,19470408,   89,    0
   490,  2366,19470409,   29,    0
   490,  2366,19470410,   20,    0
   490,  2366,19470411,   22,    0
   490,  2366,19470412,   49,    0
   490,  2366,19470413,   71,    0
   490,  2366,19470414,   97,    0
   490,  2366,19470415,  126,    0
   490,  2366,19470416,  127,    0
   490,  2366,19470417,  140,    0
   490,  2366,19470418,   78,    0
   490,  2366,19470419,  101,    0
   490,  2366,19470420,  120,    0
   490,  2366,19470421,   85,    0
   490,  2366,19470422,  126,    0
   490,  2366,19470423,   86,    0
   490,  2366,19470424,   89,    0
   490,  2366,19470425,   95,    0
   490,  2366,19470426,  127,    0
   490,  2366,19470427,  114,    0
   490,  2366,19470428,   85,    0
   490,  2366,19470429,   50,    0
   490,  2366,19470430,   66,    0
   490,  2366,19470501,   50,    0
   490,  2366,19470502,   80,    0
   490,  2366,19470503,   79,    0
   490,  2366,19470504,   62,    0
   490,  2366,19470505,   68,    0
   490,  2366,19470506,  109,    0
   490,  2366,19470507,  123,    0
   490,  2366,19470508,  136,    0
   490,  2366,19470509,  154,    0
   490,  2366,19470510,  150,    0
   490,  2366,19470511,  154,    0
   490,  2366,19470512,  168,    0
   490,  2366,19470513,  167,    0
   490,  2366,19470514,  150,    0
   490,  2366,19470515,  149,    0
   490,  2366,19470516,   87,    0
   490,  2366,19470517,   98,    0
   490,  2366,19470518,   94,    0
   490,  2366,19470519,   75,    0
   490,  2366,19470520,   96,    0
   490,  2366,19470521,  116,    0
   490,  2366,19470522,  125,    0
