EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STRAUBING, GERMANY (STAID: 493)
Blended and updated with sources:2390 25184 31280 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   493,  2390,19510101,  -63,    0
   493,  2390,19510102,  -62,    0
   493,  2390,19510103,  -34,    0
   493,  2390,19510104,  -54,    0
   493,  2390,19510105,  -28,    0
   493,  2390,19510106,  -64,    0
   493,  2390,19510107,  -28,    0
   493,  2390,19510108,    3,    0
   493,  2390,19510109,  -68,    0
   493,  2390,19510110,  -94,    0
   493,  2390,19510111,  -28,    0
   493,  2390,19510112,  -38,    0
   493,  2390,19510113,   -8,    0
   493,  2390,19510114,   -2,    0
   493,  2390,19510115,  -11,    0
   493,  2390,19510116,    8,    0
   493,  2390,19510117,    2,    0
   493,  2390,19510118,   22,    0
   493,  2390,19510119,   14,    0
   493,  2390,19510120,   14,    0
   493,  2390,19510121,  -14,    0
   493,  2390,19510122,  -24,    0
   493,  2390,19510123,    0,    0
   493,  2390,19510124,   -1,    0
   493,  2390,19510125,  -19,    0
   493,  2390,19510126,   -1,    0
   493,  2390,19510127,    0,    0
   493,  2390,19510128,    1,    0
   493,  2390,19510129,    8,    0
   493,  2390,19510130,   14,    0
   493,  2390,19510131,    4,    0
   493,  2390,19510201,   10,    0
   493,  2390,19510202,    0,    0
   493,  2390,19510203,  -34,    0
   493,  2390,19510204,  -15,    0
   493,  2390,19510205,   10,    0
   493,  2390,19510206,   11,    0
   493,  2390,19510207,   16,    0
   493,  2390,19510208,    7,    0
   493,  2390,19510209,   14,    0
   493,  2390,19510210,    7,    0
   493,  2390,19510211,   12,    0
   493,  2390,19510212,   10,    0
   493,  2390,19510213,   28,    0
   493,  2390,19510214,   35,    0
   493,  2390,19510215,   26,    0
   493,  2390,19510216,   24,    0
   493,  2390,19510217,   20,    0
   493,  2390,19510218,   21,    0
   493,  2390,19510219,   16,    0
   493,  2390,19510220,   28,    0
   493,  2390,19510221,   25,    0
   493,  2390,19510222,   16,    0
   493,  2390,19510223,   18,    0
   493,  2390,19510224,   18,    0
   493,  2390,19510225,   14,    0
   493,  2390,19510226,    6,    0
   493,  2390,19510227,    5,    0
   493,  2390,19510228,   -1,    0
   493,  2390,19510301,  -16,    0
   493,  2390,19510302,  -12,    0
   493,  2390,19510303,   -4,    0
   493,  2390,19510304,  -26,    0
   493,  2390,19510305,  -51,    0
   493,  2390,19510306,  -42,    0
   493,  2390,19510307,   -2,    0
   493,  2390,19510308,   54,    0
   493,  2390,19510309,   12,    0
   493,  2390,19510310,    7,    0
   493,  2390,19510311,   21,    0
   493,  2390,19510312,   38,    0
   493,  2390,19510313,   60,    0
   493,  2390,19510314,   56,    0
   493,  2390,19510315,   57,    0
   493,  2390,19510316,   62,    0
   493,  2390,19510317,  104,    0
   493,  2390,19510318,   92,    0
   493,  2390,19510319,   84,    0
   493,  2390,19510320,   36,    0
   493,  2390,19510321,    2,    0
   493,  2390,19510322,   34,    0
   493,  2390,19510323,   69,    0
   493,  2390,19510324,   44,    0
   493,  2390,19510325,   14,    0
   493,  2390,19510326,   24,    0
   493,  2390,19510327,   51,    0
   493,  2390,19510328,   22,    0
   493,  2390,19510329,   18,    0
   493,  2390,19510330,   36,    0
   493,  2390,19510331,   58,    0
   493,  2390,19510401,   60,    0
   493,  2390,19510402,   92,    0
   493,  2390,19510403,   66,    0
   493,  2390,19510404,   52,    0
   493,  2390,19510405,   68,    0
   493,  2390,19510406,   74,    0
   493,  2390,19510407,  111,    0
   493,  2390,19510408,   56,    0
   493,  2390,19510409,   67,    0
   493,  2390,19510410,   60,    0
   493,  2390,19510411,   56,    0
   493,  2390,19510412,   46,    0
   493,  2390,19510413,   68,    0
   493,  2390,19510414,   61,    0
   493,  2390,19510415,   43,    0
   493,  2390,19510416,   79,    0
   493,  2390,19510417,  116,    0
   493,  2390,19510418,  112,    0
   493,  2390,19510419,  105,    0
   493,  2390,19510420,  105,    0
   493,  2390,19510421,   79,    0
   493,  2390,19510422,   65,    0
   493,  2390,19510423,   82,    0
   493,  2390,19510424,  118,    0
   493,  2390,19510425,  157,    0
   493,  2390,19510426,  171,    0
   493,  2390,19510427,  125,    0
