EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AUGSBURG, GERMANY (STAID: 494)
Blended and updated with sources:2398 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   494,  2398,19470101,  -23,    0
   494,  2398,19470102,  -46,    0
   494,  2398,19470103,  -28,    0
   494,  2398,19470104,  -94,    0
   494,  2398,19470105, -156,    0
   494,  2398,19470106, -166,    0
   494,  2398,19470107, -116,    0
   494,  2398,19470108,  -54,    0
   494,  2398,19470109,    1,    0
   494,  2398,19470110,    6,    0
   494,  2398,19470111,    8,    0
   494,  2398,19470112,   32,    0
   494,  2398,19470113,   37,    0
   494,  2398,19470114,   26,    0
   494,  2398,19470115,   41,    0
   494,  2398,19470116,   10,    0
   494,  2398,19470117,   44,    0
   494,  2398,19470118,   14,    0
   494,  2398,19470119,    1,    0
   494,  2398,19470120,  -42,    0
   494,  2398,19470121,  -43,    0
   494,  2398,19470122,  -75,    0
   494,  2398,19470123, -101,    0
   494,  2398,19470124, -134,    0
   494,  2398,19470125, -142,    0
   494,  2398,19470126, -102,    0
   494,  2398,19470127, -130,    0
   494,  2398,19470128, -123,    0
   494,  2398,19470129, -130,    0
   494,  2398,19470130, -106,    0
   494,  2398,19470131, -122,    0
   494,  2398,19470201, -125,    0
   494,  2398,19470202, -116,    0
   494,  2398,19470203,  -67,    0
   494,  2398,19470204,  -58,    0
   494,  2398,19470205,  -56,    0
   494,  2398,19470206,  -70,    0
   494,  2398,19470207,  -77,    0
   494,  2398,19470208,  -62,    0
   494,  2398,19470209,    5,    0
   494,  2398,19470210,  -16,    0
   494,  2398,19470211,   -3,    0
   494,  2398,19470212,  -43,    0
   494,  2398,19470213,  -43,    0
   494,  2398,19470214,  -38,    0
   494,  2398,19470215,  -62,    0
   494,  2398,19470216,  -65,    0
   494,  2398,19470217,  -71,    0
   494,  2398,19470218,  -71,    0
   494,  2398,19470219,  -60,    0
   494,  2398,19470220,  -53,    0
   494,  2398,19470221,    5,    0
   494,  2398,19470222,   62,    0
   494,  2398,19470223,  -15,    0
   494,  2398,19470224,  -45,    0
   494,  2398,19470225,  -66,    0
   494,  2398,19470226,  -62,    0
   494,  2398,19470227,  -58,    0
   494,  2398,19470228,  -13,    0
   494,  2398,19470301,  -33,    0
   494,  2398,19470302,  -41,    0
   494,  2398,19470303,  -46,    0
   494,  2398,19470304,  -12,    0
   494,  2398,19470305,   42,    0
   494,  2398,19470306,   59,    0
   494,  2398,19470307,   24,    0
   494,  2398,19470308,  -23,    0
   494,  2398,19470309,    1,    0
   494,  2398,19470310,    2,    0
   494,  2398,19470311,   68,    0
   494,  2398,19470312,   18,    0
   494,  2398,19470313,   74,    0
   494,  2398,19470314,   90,    0
   494,  2398,19470315,  -10,    0
   494,  2398,19470316,   24,    0
   494,  2398,19470317,  108,    0
   494,  2398,19470318,  126,    0
   494,  2398,19470319,   68,    0
   494,  2398,19470320,   60,    0
   494,  2398,19470321,  101,    0
   494,  2398,19470322,  106,    0
   494,  2398,19470323,   90,    0
   494,  2398,19470324,   82,    0
   494,  2398,19470325,   20,    0
   494,  2398,19470326,   27,    0
   494,  2398,19470327,   70,    0
   494,  2398,19470328,  111,    0
   494,  2398,19470329,  118,    0
   494,  2398,19470330,   58,    0
   494,  2398,19470331,   69,    0
   494,  2398,19470401,   74,    0
   494,  2398,19470402,   44,    0
   494,  2398,19470403,   72,    0
   494,  2398,19470404,   69,    0
   494,  2398,19470405,   45,    0
   494,  2398,19470406,   98,    0
   494,  2398,19470407,  133,    0
   494,  2398,19470408,  137,    0
   494,  2398,19470409,   46,    0
   494,  2398,19470410,   44,    0
   494,  2398,19470411,   47,    0
   494,  2398,19470412,   74,    0
   494,  2398,19470413,   75,    0
   494,  2398,19470414,  106,    0
   494,  2398,19470415,  140,    0
   494,  2398,19470416,  140,    0
   494,  2398,19470417,  149,    0
   494,  2398,19470418,  127,    0
   494,  2398,19470419,  121,    0
   494,  2398,19470420,  126,    0
   494,  2398,19470421,  100,    0
