EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIEUW BEERTA, NETHERLANDS (STAID: 500)
Blended and updated with sources:2510 906286 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   500,  2510,19900101,-9999,    9
   500,  2510,19900102,-9999,    9
   500,  2510,19900103,-9999,    9
   500,  2510,19900104,-9999,    9
   500,  2510,19900105,-9999,    9
   500,  2510,19900106,-9999,    9
   500,  2510,19900107,-9999,    9
   500,  2510,19900108,-9999,    9
   500,  2510,19900109,-9999,    9
   500,  2510,19900110,-9999,    9
   500,  2510,19900111,-9999,    9
   500,  2510,19900112,-9999,    9
   500,  2510,19900113,-9999,    9
   500,  2510,19900114,-9999,    9
   500,  2510,19900115,-9999,    9
   500,  2510,19900116,-9999,    9
   500,  2510,19900117,-9999,    9
   500,  2510,19900118,-9999,    9
   500,  2510,19900119,-9999,    9
   500,  2510,19900120,-9999,    9
   500,  2510,19900121,-9999,    9
   500,  2510,19900122,-9999,    9
   500,  2510,19900123,-9999,    9
   500,  2510,19900124,   39,    0
   500,  2510,19900125,-9999,    9
   500,  2510,19900126,-9999,    9
   500,  2510,19900127,   46,    0
   500,  2510,19900128,   63,    0
   500,  2510,19900129,-9999,    9
   500,  2510,19900130,   65,    0
   500,  2510,19900131,-9999,    9
   500,  2510,19900201,-9999,    9
   500,  2510,19900202,-9999,    9
   500,  2510,19900203,   61,    0
   500,  2510,19900204,   63,    0
   500,  2510,19900205,   67,    0
   500,  2510,19900206,   68,    0
   500,  2510,19900207,-9999,    9
   500,  2510,19900208,-9999,    9
   500,  2510,19900209,   54,    0
   500,  2510,19900210,   52,    0
   500,  2510,19900211,-9999,    9
   500,  2510,19900212,   34,    0
   500,  2510,19900213,   26,    0
   500,  2510,19900214,   45,    0
   500,  2510,19900215,   33,    0
   500,  2510,19900216,-9999,    9
   500,  2510,19900217,-9999,    9
