EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOORN TERSCHELLING, NETHERLANDS (STAID: 594)
Blended and updated with sources:2122 906251 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   594,  2122,19940501,-9999,    9
   594,  2122,19940502,-9999,    9
   594,  2122,19940503,-9999,    9
   594,  2122,19940504,-9999,    9
   594,  2122,19940505,-9999,    9
   594,  2122,19940506,-9999,    9
   594,  2122,19940507,-9999,    9
   594,  2122,19940508,-9999,    9
   594,  2122,19940509,-9999,    9
   594,  2122,19940510,-9999,    9
   594,  2122,19940511,-9999,    9
   594,  2122,19940512,-9999,    9
   594,  2122,19940513,-9999,    9
   594,  2122,19940514,-9999,    9
   594,  2122,19940515,-9999,    9
   594,  2122,19940516,-9999,    9
   594,  2122,19940517,-9999,    9
   594,  2122,19940518,-9999,    9
   594,  2122,19940519,-9999,    9
   594,  2122,19940520,-9999,    9
   594,  2122,19940521,-9999,    9
   594,  2122,19940522,-9999,    9
   594,  2122,19940523,-9999,    9
   594,  2122,19940524,-9999,    9
   594,  2122,19940525,-9999,    9
   594,  2122,19940526,-9999,    9
   594,  2122,19940527,-9999,    9
   594,  2122,19940528,-9999,    9
   594,  2122,19940529,-9999,    9
   594,  2122,19940530,-9999,    9
   594,  2122,19940531,-9999,    9
   594,  2122,19940601,  149,    0
   594,  2122,19940602,  144,    0
   594,  2122,19940603,  141,    0
   594,  2122,19940604,  110,    0
   594,  2122,19940605,  111,    0
   594,  2122,19940606,  127,    0
   594,  2122,19940607,  142,    0
   594,  2122,19940608,  117,    0
   594,  2122,19940609,  113,    0
   594,  2122,19940610,  111,    0
   594,  2122,19940611,  117,    0
   594,  2122,19940612,  110,    0
   594,  2122,19940613,  125,    0
   594,  2122,19940614,  132,    0
   594,  2122,19940615,  118,    0
   594,  2122,19940616,  116,    0
   594,  2122,19940617,  123,    0
   594,  2122,19940618,  143,    0
   594,  2122,19940619,  145,    0
   594,  2122,19940620,  157,    0
   594,  2122,19940621,  153,    0
   594,  2122,19940622,  150,    0
   594,  2122,19940623,  125,    0
   594,  2122,19940624,  164,    0
   594,  2122,19940625,  172,    0
   594,  2122,19940626,  164,    0
   594,  2122,19940627,  161,    0
   594,  2122,19940628,  194,    0
   594,  2122,19940629,  160,    0
   594,  2122,19940630,  147,    0
   594,  2122,19940701,  158,    0
   594,  2122,19940702,  191,    0
   594,  2122,19940703,  201,    0
   594,  2122,19940704,  187,    0
   594,  2122,19940705,  165,    0
   594,  2122,19940706,  168,    0
   594,  2122,19940707,  143,    0
   594,  2122,19940708,  157,    0
   594,  2122,19940709,  163,    0
   594,  2122,19940710,  187,    0
   594,  2122,19940711,  215,    0
   594,  2122,19940712,  242,    0
   594,  2122,19940713,  229,    0
   594,  2122,19940714,  179,    0
   594,  2122,19940715,  174,    0
   594,  2122,19940716,  167,    0
   594,  2122,19940717,  162,    0
   594,  2122,19940718,  172,    0
   594,  2122,19940719,  191,    0
   594,  2122,19940720,  194,    0
   594,  2122,19940721,  201,    0
   594,  2122,19940722,  206,    0
   594,  2122,19940723,  195,    0
   594,  2122,19940724,  232,    0
   594,  2122,19940725,  226,    0
   594,  2122,19940726,  214,    0
   594,  2122,19940727,  205,    0
   594,  2122,19940728,  197,    0
   594,  2122,19940729,  181,    0
   594,  2122,19940730,  218,    0
   594,  2122,19940731,  235,    0
   594,  2122,19940801,  201,    0
   594,  2122,19940802,  189,    0
   594,  2122,19940803,  217,    0
   594,  2122,19940804,  238,    0
   594,  2122,19940805,  208,    0
   594,  2122,19940806,  189,    0
   594,  2122,19940807,  180,    0
   594,  2122,19940808,  180,    0
   594,  2122,19940809,  180,    0
   594,  2122,19940810,  182,    0
   594,  2122,19940811,  178,    0
   594,  2122,19940812,  178,    0
   594,  2122,19940813,  150,    0
   594,  2122,19940814,  141,    0
   594,  2122,19940815,  141,    0
   594,  2122,19940816,  160,    0
   594,  2122,19940817,  150,    0
   594,  2122,19940818,  144,    0
   594,  2122,19940819,  163,    0
   594,  2122,19940820,  151,    0
   594,  2122,19940821,  160,    0
   594,  2122,19940822,  162,    0
   594,  2122,19940823,  171,    0
   594,  2122,19940824,  177,    0
   594,  2122,19940825,  169,    0
   594,  2122,19940826,  167,    0
   594,  2122,19940827,  158,    0
   594,  2122,19940828,  152,    0
   594,  2122,19940829,  147,    0
   594,  2122,19940830,  138,    0
   594,  2122,19940831,  165,    0
   594,  2122,19940901,  167,    0
   594,  2122,19940902,  153,    0
   594,  2122,19940903,  156,    0
   594,  2122,19940904,  156,    0
   594,  2122,19940905,  148,    0
   594,  2122,19940906,  134,    0
   594,  2122,19940907,  140,    0
   594,  2122,19940908,  144,    0
   594,  2122,19940909,  137,    0
   594,  2122,19940910,  130,    0
   594,  2122,19940911,  139,    0
   594,  2122,19940912,  149,    0
   594,  2122,19940913,  136,    0
   594,  2122,19940914,  139,    0
   594,  2122,19940915,  133,    0
   594,  2122,19940916,  125,    0
   594,  2122,19940917,  132,    0
   594,  2122,19940918,  134,    0
   594,  2122,19940919,  124,    0
   594,  2122,19940920,  125,    0
   594,  2122,19940921,  132,    0
   594,  2122,19940922,  130,    0
   594,  2122,19940923,  130,    0
