EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SOESTERBERG, NETHERLANDS (STAID: 595)
Blended and updated with sources:521 2129 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   595,   521,19010101,  -49,    0
   595,   521,19010102,  -18,    0
   595,   521,19010103,  -26,    0
   595,   521,19010104,  -65,    0
   595,   521,19010105,  -60,    0
   595,   521,19010106, -100,    0
   595,   521,19010107,  -92,    0
   595,   521,19010108,  -49,    0
   595,   521,19010109,   11,    0
   595,   521,19010110,   15,    0
   595,   521,19010111,  -19,    0
   595,   521,19010112,  -64,    0
   595,   521,19010113,  -44,    0
   595,   521,19010114,  -24,    0
   595,   521,19010115,    7,    0
   595,   521,19010116,   -4,    0
   595,   521,19010117,   18,    0
   595,   521,19010118,   -2,    0
   595,   521,19010119,   34,    0
   595,   521,19010120,   57,    0
   595,   521,19010121,   72,    0
   595,   521,19010122,   73,    0
   595,   521,19010123,   20,    0
   595,   521,19010124,   16,    0
   595,   521,19010125,   58,    0
   595,   521,19010126,   41,    0
   595,   521,19010127,   74,    0
   595,   521,19010128,   29,    0
   595,   521,19010129,   -3,    0
   595,   521,19010130,    7,    0
   595,   521,19010131,    7,    0
   595,   521,19010201,    1,    0
   595,   521,19010202,   -9,    0
   595,   521,19010203,  -12,    0
   595,   521,19010204,  -44,    0
   595,   521,19010205,  -16,    0
   595,   521,19010206,  -18,    0
   595,   521,19010207,  -24,    0
   595,   521,19010208,   16,    0
   595,   521,19010209,   20,    0
   595,   521,19010210,   21,    0
   595,   521,19010211,    1,    0
   595,   521,19010212,  -17,    0
   595,   521,19010213,  -56,    0
   595,   521,19010214,  -77,    0
   595,   521,19010215,  -62,    0
   595,   521,19010216,   18,    0
   595,   521,19010217,   -8,    0
   595,   521,19010218,  -22,    0
   595,   521,19010219,  -19,    0
   595,   521,19010220,  -67,    0
   595,   521,19010221,  -52,    0
   595,   521,19010222,  -15,    0
   595,   521,19010223,   16,    0
   595,   521,19010224,   21,    0
   595,   521,19010225,   36,    0
   595,   521,19010226,   29,    0
   595,   521,19010227,   44,    0
