EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VLIELAND, NETHERLANDS (STAID: 601)
Blended and updated with sources:2446 906242 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   601,906242,19950901,-9999,    9
   601,906242,19950902,  168,    0
   601,906242,19950903,  159,    0
   601,906242,19950904,-9999,    9
   601,906242,19950905,-9999,    9
   601,906242,19950906,-9999,    9
   601,906242,19950907,-9999,    9
   601,906242,19950908,-9999,    9
   601,  2446,19950909,  161,    0
   601,  2446,19950910,  174,    0
   601,906242,19950911,-9999,    9
   601,906242,19950912,-9999,    9
   601,906242,19950913,-9999,    9
   601,906242,19950914,-9999,    9
   601,906242,19950915,-9999,    9
   601,  2446,19950916,  160,    0
   601,  2446,19950917,  161,    0
   601,906242,19950918,-9999,    9
   601,906242,19950919,-9999,    9
   601,906242,19950920,-9999,    9
   601,906242,19950921,-9999,    9
   601,906242,19950922,-9999,    9
   601,  2446,19950923,  149,    0
   601,  2446,19950924,  142,    0
   601,906242,19950925,-9999,    9
   601,906242,19950926,-9999,    9
   601,906242,19950927,-9999,    9
   601,906242,19950928,-9999,    9
   601,906242,19950929,-9999,    9
   601,  2446,19950930,  103,    0
   601,  2446,19951001,  122,    0
   601,906242,19951002,-9999,    9
   601,906242,19951003,-9999,    9
   601,906242,19951004,-9999,    9
   601,906242,19951005,-9999,    9
   601,906242,19951006,-9999,    9
   601,  2446,19951007,  162,    0
   601,  2446,19951008,  171,    0
   601,906242,19951009,-9999,    9
   601,906242,19951010,-9999,    9
   601,906242,19951011,-9999,    9
   601,906242,19951012,-9999,    9
   601,906242,19951013,-9999,    9
   601,  2446,19951014,  147,    0
   601,  2446,19951015,  150,    0
   601,906242,19951016,-9999,    9
   601,906242,19951017,-9999,    9
   601,906242,19951018,-9999,    9
   601,906242,19951019,-9999,    9
   601,906242,19951020,-9999,    9
   601,  2446,19951021,  107,    0
   601,  2446,19951022,   94,    0
   601,906242,19951023,-9999,    9
   601,906242,19951024,-9999,    9
   601,906242,19951025,-9999,    9
   601,906242,19951026,-9999,    9
   601,  2446,19951027,  137,    0
   601,  2446,19951028,  113,    0
   601,  2446,19951029,   90,    0
   601,906242,19951030,-9999,    9
   601,906242,19951031,-9999,    9
   601,906242,19951101,-9999,    9
   601,906242,19951102,-9999,    9
   601,906242,19951103,-9999,    9
   601,  2446,19951104,   52,    0
   601,  2446,19951105,   55,    0
   601,906242,19951106,-9999,    9
   601,906242,19951107,-9999,    9
   601,906242,19951108,-9999,    9
   601,906242,19951109,-9999,    9
   601,906242,19951110,-9999,    9
   601,906242,19951111,  101,    0
   601,  2446,19951112,   90,    0
   601,906242,19951113,-9999,    9
   601,906242,19951114,-9999,    9
   601,906242,19951115,-9999,    9
   601,906242,19951116,-9999,    9
   601,906242,19951117,-9999,    9
   601,  2446,19951118,   64,    0
   601,  2446,19951119,   81,    0
   601,906242,19951120,-9999,    9
   601,906242,19951121,-9999,    9
   601,906242,19951122,-9999,    9
   601,906242,19951123,-9999,    9
   601,906242,19951124,-9999,    9
   601,  2446,19951125,   79,    0
   601,  2446,19951126,   74,    0
   601,906242,19951127,-9999,    9
   601,906242,19951128,-9999,    9
   601,906242,19951129,-9999,    9
   601,906242,19951130,-9999,    9
   601,906242,19951201,-9999,    9
   601,  2446,19951202,   12,    0
   601,  2446,19951203,    1,    0
   601,906242,19951204,-9999,    9
   601,906242,19951205,-9999,    9
   601,906242,19951206,-9999,    9
   601,906242,19951207,-9999,    9
   601,906242,19951208,-9999,    9
   601,906242,19951209,  -18,    0
   601,  2446,19951210,   -9,    0
   601,906242,19951211,-9999,    9
   601,906242,19951212,-9999,    9
   601,906242,19951213,-9999,    9
   601,906242,19951214,-9999,    9
   601,906242,19951215,-9999,    9
   601,  2446,19951216,  -21,    1
   601,  2446,19951217,  -26,    0
   601,906242,19951218,-9999,    9
   601,906242,19951219,   35,    0
   601,906242,19951220,-9999,    9
   601,906242,19951221,-9999,    9
   601,  2446,19951222,   32,    0
   601,906242,19951223,-9999,    9
   601,906242,19951224,-9999,    9
   601,906242,19951225,-9999,    9
   601,906242,19951226,-9999,    9
   601,906242,19951227,-9999,    9
   601,906242,19951228,-9999,    9
   601,906242,19951229,-9999,    9
   601,906242,19951230,-9999,    9
   601,906242,19951231,-9999,    9
   601,  2446,19960101,  -44,    0
   601,  2446,19960102,  -35,    0
   601,  2446,19960103,  -28,    0
   601,  2446,19960104,  -25,    0
   601,  2446,19960105,  -35,    0
   601,  2446,19960106,  -46,    0
   601,  2446,19960107,    4,    0
   601,  2446,19960108,   15,    0
   601,  2446,19960109,   18,    0
   601,  2446,19960110,   20,    0
   601,  2446,19960111,   26,    0
   601,  2446,19960112,   38,    0
   601,  2446,19960113,   44,    0
   601,  2446,19960114,   28,    0
   601,  2446,19960115,   14,    0
   601,  2446,19960116,    9,    0
   601,  2446,19960117,   -3,    0
   601,  2446,19960118,  -11,    0
   601,  2446,19960119,  -18,    0
   601,  2446,19960120,  -20,    0
   601,  2446,19960121,  -29,    0
   601,  2446,19960122,  -39,    0
   601,  2446,19960123,  -49,    0
   601,  2446,19960124,  -53,    0
   601,  2446,19960125,  -71,    0
   601,  2446,19960126,  -69,    0
   601,  2446,19960127,  -65,    0
   601,  2446,19960128,  -53,    0
   601,  2446,19960129,  -42,    0
   601,  2446,19960130,  -44,    0
   601,  2446,19960131,  -42,    0
   601,  2446,19960201,  -57,    0
   601,  2446,19960202,  -41,    0
   601,  2446,19960203,  -17,    0
   601,  2446,19960204,  -15,    0
   601,  2446,19960205,  -11,    0
   601,  2446,19960206,  -54,    0
   601,  2446,19960207,  -73,    0
   601,  2446,19960208,  -90,    0
   601,  2446,19960209,  -71,    0
   601,  2446,19960210,    1,    0
   601,  2446,19960211,   20,    0
   601,  2446,19960212,   10,    0
   601,  2446,19960213,   -2,    0
   601,  2446,19960214,  -13,    0
   601,  2446,19960215,    6,    0
   601,  2446,19960216,   37,    0
