EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SALO KARKKA, FINLAND (STAID: 701)
Blended and updated with sources:42033 902756 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   701, 42033,19590101,   10,    0
   701, 42033,19590102,    2,    0
   701, 42033,19590103,   10,    0
   701, 42033,19590104,   13,    0
   701, 42033,19590105,    0,    0
   701, 42033,19590106,  -18,    0
   701, 42033,19590107,  -28,    0
   701, 42033,19590108,  -25,    0
   701, 42033,19590109,  -20,    0
   701, 42033,19590110,    3,    0
   701, 42033,19590111,   -8,    0
   701, 42033,19590112,  -33,    0
   701, 42033,19590113,  -40,    0
   701, 42033,19590114,  -81,    0
   701, 42033,19590115, -182,    0
   701, 42033,19590116, -232,    0
   701, 42033,19590117, -217,    0
   701, 42033,19590118, -180,    0
   701, 42033,19590119, -197,    0
   701, 42033,19590120, -111,    0
   701, 42033,19590121,  -36,    0
   701, 42033,19590122,  -18,    0
   701, 42033,19590123,   -6,    0
   701, 42033,19590124,  -14,    0
   701, 42033,19590125,  -82,    0
   701, 42033,19590126, -100,    0
   701, 42033,19590127,  -55,    0
   701, 42033,19590128,  -38,    0
   701, 42033,19590129,  -24,    0
   701, 42033,19590130,  -10,    0
   701, 42033,19590131,  -14,    0
   701, 42033,19590201, -100,    0
   701, 42033,19590202,  -94,    0
   701, 42033,19590203,  -62,    0
   701, 42033,19590204,   -3,    0
   701, 42033,19590205,  -26,    0
   701, 42033,19590206,  -72,    0
   701, 42033,19590207,  -27,    0
   701, 42033,19590208,  -32,    0
   701, 42033,19590209,  -40,    0
   701, 42033,19590210,  -38,    0
   701, 42033,19590211,  -31,    0
   701, 42033,19590212,  -34,    0
   701, 42033,19590213,  -34,    0
   701, 42033,19590214,  -25,    0
   701, 42033,19590215,  -36,    0
   701, 42033,19590216,  -36,    0
   701, 42033,19590217,   14,    0
   701, 42033,19590218,   11,    0
   701, 42033,19590219,    7,    0
   701, 42033,19590220,   -4,    0
   701, 42033,19590221,  -40,    0
   701, 42033,19590222,  -51,    0
   701, 42033,19590223,  -44,    0
   701, 42033,19590224,  -12,    0
   701, 42033,19590225,    0,    0
   701, 42033,19590226,   19,    0
   701, 42033,19590227,   14,    0
   701, 42033,19590228,   13,    0
   701, 42033,19590301,   12,    0
   701, 42033,19590302,  -13,    0
   701, 42033,19590303,   11,    0
   701, 42033,19590304,   14,    0
   701, 42033,19590305,   16,    0
   701, 42033,19590306,   24,    0
   701, 42033,19590307,   33,    0
   701, 42033,19590308,    0,    0
   701, 42033,19590309,  -18,    0
   701, 42033,19590310,  -29,    0
   701, 42033,19590311,  -25,    0
   701, 42033,19590312,  -36,    0
   701, 42033,19590313,  -39,    0
   701, 42033,19590314,  -38,    0
   701, 42033,19590315,  -14,    0
   701, 42033,19590316,    7,    0
   701, 42033,19590317,    6,    0
   701, 42033,19590318,   23,    0
   701, 42033,19590319,   20,    0
   701, 42033,19590320,   -6,    0
   701, 42033,19590321,    7,    0
   701, 42033,19590322,    6,    0
   701, 42033,19590323,   13,    0
   701, 42033,19590324,   29,    0
   701, 42033,19590325,   23,    0
   701, 42033,19590326,   24,    0
   701, 42033,19590327,   32,    0
   701, 42033,19590328,   10,    0
   701, 42033,19590329,   -7,    0
   701, 42033,19590330,  -16,    0
   701, 42033,19590331,  -12,    0
   701, 42033,19590401,    9,    0
   701, 42033,19590402,   31,    0
   701, 42033,19590403,   34,    0
   701, 42033,19590404,   25,    0
   701, 42033,19590405,   30,    0
