EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LOHJA PORLA, FINLAND (STAID: 702)
Blended and updated with sources:42104 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   702, 42104,19590101,    4,    0
   702, 42104,19590102,    0,    0
   702, 42104,19590103,    8,    0
   702, 42104,19590104,    7,    0
   702, 42104,19590105,   -7,    0
   702, 42104,19590106,  -19,    0
   702, 42104,19590107,  -31,    0
   702, 42104,19590108,  -27,    0
   702, 42104,19590109,  -17,    0
   702, 42104,19590110,   -3,    0
   702, 42104,19590111,  -13,    0
   702, 42104,19590112,  -36,    0
   702, 42104,19590113,  -39,    0
   702, 42104,19590114,  -83,    0
   702, 42104,19590115, -173,    0
   702, 42104,19590116, -204,    0
   702, 42104,19590117, -171,    0
   702, 42104,19590118, -156,    0
   702, 42104,19590119, -169,    0
   702, 42104,19590120, -106,    0
   702, 42104,19590121,  -32,    0
   702, 42104,19590122,  -16,    0
   702, 42104,19590123,   -7,    0
   702, 42104,19590124,  -12,    0
   702, 42104,19590125,  -76,    0
   702, 42104,19590126,  -87,    0
   702, 42104,19590127,  -21,    0
   702, 42104,19590128,   -8,    0
   702, 42104,19590129,  -17,    0
   702, 42104,19590130,  -11,    0
   702, 42104,19590131,  -11,    0
   702, 42104,19590201,  -75,    0
   702, 42104,19590202,  -53,    0
   702, 42104,19590203,  -33,    0
   702, 42104,19590204,    9,    0
   702, 42104,19590205,  -12,    0
   702, 42104,19590206,  -46,    0
   702, 42104,19590207,  -24,    0
   702, 42104,19590208,  -31,    0
   702, 42104,19590209,  -42,    0
   702, 42104,19590210,  -47,    0
   702, 42104,19590211,  -38,    0
   702, 42104,19590212,  -35,    0
   702, 42104,19590213,  -39,    0
   702, 42104,19590214,  -30,    0
   702, 42104,19590215,  -30,    0
   702, 42104,19590216,  -20,    0
   702, 42104,19590217,   13,    0
   702, 42104,19590218,   20,    0
   702, 42104,19590219,   14,    0
   702, 42104,19590220,   -5,    0
   702, 42104,19590221,  -42,    0
   702, 42104,19590222,  -59,    0
   702, 42104,19590223,  -52,    0
   702, 42104,19590224,  -14,    0
   702, 42104,19590225,    2,    0
   702, 42104,19590226,   20,    0
   702, 42104,19590227,   23,    0
   702, 42104,19590228,   25,    0
   702, 42104,19590301,   15,    0
   702, 42104,19590302,   10,    0
   702, 42104,19590303,    8,    0
   702, 42104,19590304,   13,    0
   702, 42104,19590305,   13,    0
   702, 42104,19590306,    6,    0
   702, 42104,19590307,   25,    0
   702, 42104,19590308,    3,    0
   702, 42104,19590309,  -13,    0
   702, 42104,19590310,  -20,    0
   702, 42104,19590311,   -7,    0
   702, 42104,19590312,  -25,    0
   702, 42104,19590313,  -30,    0
   702, 42104,19590314,  -25,    0
   702, 42104,19590315,  -14,    0
   702, 42104,19590316,    0,    0
   702, 42104,19590317,   -4,    0
   702, 42104,19590318,   19,    0
   702, 42104,19590319,   13,    0
   702, 42104,19590320,   -6,    0
   702, 42104,19590321,    9,    0
   702, 42104,19590322,   18,    0
   702, 42104,19590323,   14,    0
   702, 42104,19590324,   24,    0
   702, 42104,19590325,   22,    0
   702, 42104,19590326,   25,    0
   702, 42104,19590327,   29,    0
   702, 42104,19590328,    8,    0
   702, 42104,19590329,   -9,    0
   702, 42104,19590330,  -28,    0
   702, 42104,19590331,  -29,    0
   702, 42104,19590401,    7,    0
   702, 42104,19590402,   22,    0
   702, 42104,19590403,   30,    0
   702, 42104,19590404,   26,    0
   702, 42104,19590405,   27,    0
   702, 42104,19590406,   44,    0
   702, 42104,19590407,   34,    0
   702, 42104,19590408,   13,    0
   702, 42104,19590409,   -1,    0
   702, 42104,19590410,   21,    0
   702, 42104,19590411,   26,    0
   702, 42104,19590412,   28,    0
   702, 42104,19590413,   23,    0
   702, 42104,19590414,   33,    0
   702, 42104,19590415,   94,    0
   702, 42104,19590416,   95,    0
   702, 42104,19590417,   75,    0
   702, 42104,19590418,   51,    0
   702, 42104,19590419,    7,    0
   702, 42104,19590420,   14,    0
   702, 42104,19590421,   18,    0
   702, 42104,19590422,   13,    0
   702, 42104,19590423,   11,    0
   702, 42104,19590424,   34,    0
   702, 42104,19590425,   51,    0
   702, 42104,19590426,   62,    0
   702, 42104,19590427,   98,    0
   702, 42104,19590428,  110,    0
   702, 42104,19590429,  124,    0
   702, 42104,19590430,  114,    0
   702, 42104,19590501,  120,    0
   702, 42104,19590502,  145,    0
   702, 42104,19590503,  136,    0
   702, 42104,19590504,  111,    0
   702, 42104,19590505,   97,    0
   702, 42104,19590506,   65,    0
   702, 42104,19590507,   67,    0
   702, 42104,19590508,   68,    0
   702, 42104,19590509,   71,    0
   702, 42104,19590510,   88,    0
   702, 42104,19590511,  104,    0
   702, 42104,19590512,  118,    0
   702, 42104,19590513,  144,    0
   702, 42104,19590514,  153,    0
   702, 42104,19590515,  164,    0
   702, 42104,19590516,  165,    0
   702, 42104,19590517,  114,    0
   702, 42104,19590518,   93,    0
   702, 42104,19590519,   87,    0
   702, 42104,19590520,   87,    0
   702, 42104,19590521,   74,    0
   702, 42104,19590522,   61,    0
   702, 42104,19590523,   73,    0
