EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PORVOO JERNBOLE, FINLAND (STAID: 703)
Blended and updated with sources:42264 42324 42329 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   703, 42264,19590101,    3,    0
   703, 42264,19590102,    1,    0
   703, 42264,19590103,    9,    0
   703, 42264,19590104,    9,    0
   703, 42264,19590105,   -6,    0
   703, 42264,19590106,  -12,    0
   703, 42264,19590107,  -20,    0
   703, 42264,19590108,  -24,    0
   703, 42264,19590109,  -11,    0
   703, 42264,19590110,   -2,    0
   703, 42264,19590111,  -12,    0
   703, 42264,19590112,  -34,    0
   703, 42264,19590113,  -42,    0
   703, 42264,19590114,  -93,    0
   703, 42264,19590115, -173,    0
   703, 42264,19590116, -233,    0
   703, 42264,19590117, -213,    0
   703, 42264,19590118, -174,    0
   703, 42264,19590119, -186,    0
   703, 42264,19590120, -144,    0
   703, 42264,19590121,  -46,    0
   703, 42264,19590122,  -16,    0
   703, 42264,19590123,   -8,    0
   703, 42264,19590124,   -8,    0
   703, 42264,19590125,  -78,    0
   703, 42264,19590126,  -95,    0
   703, 42264,19590127,  -57,    0
   703, 42264,19590128,  -32,    0
   703, 42264,19590129,  -37,    0
   703, 42264,19590130,  -25,    0
   703, 42264,19590131,   -9,    0
   703, 42264,19590201,  -78,    0
   703, 42264,19590202,  -62,    0
   703, 42264,19590203,  -40,    0
   703, 42264,19590204,   -7,    0
   703, 42264,19590205,  -34,    0
   703, 42264,19590206,  -86,    0
   703, 42264,19590207,  -43,    0
   703, 42264,19590208,  -21,    0
   703, 42264,19590209,  -36,    0
   703, 42264,19590210,  -57,    0
   703, 42264,19590211,  -63,    0
   703, 42264,19590212,  -33,    0
   703, 42264,19590213,  -38,    0
   703, 42264,19590214,  -35,    0
   703, 42264,19590215,  -37,    0
   703, 42264,19590216,  -39,    0
   703, 42264,19590217,   -5,    0
   703, 42264,19590218,    9,    0
   703, 42264,19590219,   13,    0
   703, 42264,19590220,    1,    0
   703, 42264,19590221,  -35,    0
   703, 42264,19590222,  -54,    0
   703, 42264,19590223,  -65,    0
