EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TURKU TURUN LENTOASEMA, FINLAND (STAID: 706)
Blended and updated with sources:42509 902972 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   706, 42509,19590101,    6,    0
   706, 42509,19590102,   -4,    0
   706, 42509,19590103,    8,    0
   706, 42509,19590104,   11,    0
   706, 42509,19590105,   -9,    0
   706, 42509,19590106,  -30,    0
   706, 42509,19590107,  -33,    0
   706, 42509,19590108,  -58,    0
   706, 42509,19590109,  -40,    0
   706, 42509,19590110,   -1,    0
   706, 42509,19590111,   -6,    0
   706, 42509,19590112,  -36,    0
   706, 42509,19590113,  -58,    0
   706, 42509,19590114,  -66,    0
   706, 42509,19590115, -119,    0
   706, 42509,19590116, -165,    0
   706, 42509,19590117, -148,    0
   706, 42509,19590118, -116,    0
   706, 42509,19590119, -154,    0
   706, 42509,19590120, -100,    0
   706, 42509,19590121,  -43,    0
   706, 42509,19590122,  -35,    0
   706, 42509,19590123,   -8,    0
   706, 42509,19590124,  -15,    0
   706, 42509,19590125,  -78,    0
   706, 42509,19590126, -101,    0
   706, 42509,19590127,    8,    0
   706, 42509,19590128,   -7,    0
   706, 42509,19590129,  -27,    0
   706, 42509,19590130,  -18,    0
   706, 42509,19590131,  -22,    0
   706, 42509,19590201,  -70,    0
   706, 42509,19590202,  -44,    0
   706, 42509,19590203,  -15,    0
   706, 42509,19590204,   12,    0
   706, 42509,19590205,   17,    0
   706, 42509,19590206,  -55,    0
   706, 42509,19590207,  -18,    0
   706, 42509,19590208,  -33,    0
   706, 42509,19590209,  -50,    0
   706, 42509,19590210,  -54,    0
   706, 42509,19590211,  -33,    0
   706, 42509,19590212,  -46,    0
   706, 42509,19590213,  -46,    0
   706, 42509,19590214,  -37,    0
   706, 42509,19590215,  -18,    0
   706, 42509,19590216,  -20,    0
   706, 42509,19590217,   20,    0
   706, 42509,19590218,   22,    0
   706, 42509,19590219,    1,    0
   706, 42509,19590220,   12,    0
   706, 42509,19590221,  -29,    0
   706, 42509,19590222,  -42,    0
   706, 42509,19590223,  -54,    0
   706, 42509,19590224,    7,    0
   706, 42509,19590225,   -4,    0
   706, 42509,19590226,   21,    0
   706, 42509,19590227,   30,    0
   706, 42509,19590228,   -1,    0
   706, 42509,19590301,   15,    0
   706, 42509,19590302,    3,    0
   706, 42509,19590303,   15,    0
   706, 42509,19590304,    9,    0
   706, 42509,19590305,   22,    0
   706, 42509,19590306,   12,    0
   706, 42509,19590307,   21,    0
   706, 42509,19590308,    4,    0
   706, 42509,19590309,  -14,    0
   706, 42509,19590310,  -12,    0
   706, 42509,19590311,   -4,    0
   706, 42509,19590312,  -24,    0
   706, 42509,19590313,  -24,    0
   706, 42509,19590314,  -21,    0
   706, 42509,19590315,  -14,    0
   706, 42509,19590316,   -1,    0
   706, 42509,19590317,   -8,    0
   706, 42509,19590318,   15,    0
   706, 42509,19590319,   22,    0
   706, 42509,19590320,   -5,    0
   706, 42509,19590321,    9,    0
   706, 42509,19590322,   27,    0
   706, 42509,19590323,    8,    0
   706, 42509,19590324,   25,    0
   706, 42509,19590325,   30,    0
   706, 42509,19590326,   24,    0
   706, 42509,19590327,   36,    0
   706, 42509,19590328,    5,    0
   706, 42509,19590329,   -7,    0
   706, 42509,19590330,  -14,    0
   706, 42509,19590331,  -19,    0
   706, 42509,19590401,    7,    0
   706, 42509,19590402,   30,    0
   706, 42509,19590403,   39,    0
   706, 42509,19590404,   22,    0
   706, 42509,19590405,   31,    0
   706, 42509,19590406,   50,    0
   706, 42509,19590407,   44,    0
   706, 42509,19590408,   17,    0
   706, 42509,19590409,    7,    0
   706, 42509,19590410,   19,    0
   706, 42509,19590411,   17,    0
   706, 42509,19590412,   25,    0
   706, 42509,19590413,   17,    0
   706, 42509,19590414,   37,    0
   706, 42509,19590415,   84,    0
   706, 42509,19590416,   93,    0
   706, 42509,19590417,   94,    0
   706, 42509,19590418,   39,    0
   706, 42509,19590419,    7,    0
   706, 42509,19590420,   11,    0
   706, 42509,19590421,   18,    0
   706, 42509,19590422,   15,    0
   706, 42509,19590423,   16,    0
   706, 42509,19590424,   49,    0
   706, 42509,19590425,   47,    0
   706, 42509,19590426,   69,    0
   706, 42509,19590427,  103,    0
   706, 42509,19590428,  115,    0
   706, 42509,19590429,  126,    0
   706, 42509,19590430,  125,    0
   706, 42509,19590501,  120,    0
   706, 42509,19590502,  149,    0
   706, 42509,19590503,  141,    0
   706, 42509,19590504,   92,    0
   706, 42509,19590505,   84,    0
   706, 42509,19590506,   67,    0
   706, 42509,19590507,   62,    0
   706, 42509,19590508,   61,    0
   706, 42509,19590509,   74,    0
   706, 42509,19590510,   97,    0
   706, 42509,19590511,   98,    0
   706, 42509,19590512,  105,    0
   706, 42509,19590513,  136,    0
   706, 42509,19590514,  155,    0
   706, 42509,19590515,  148,    0
   706, 42509,19590516,  151,    0
   706, 42509,19590517,   92,    0
   706, 42509,19590518,   74,    0
   706, 42509,19590519,   61,    0
   706, 42509,19590520,   72,    0
   706, 42509,19590521,   69,    0
   706, 42509,19590522,   63,    0
   706, 42509,19590523,   70,    0
   706, 42509,19590524,   95,    0
   706, 42509,19590525,   74,    0
   706, 42509,19590526,   78,    0
   706, 42509,19590527,   89,    0
   706, 42509,19590528,   86,    0
   706, 42509,19590529,   77,    0
   706, 42509,19590530,   68,    0
   706, 42509,19590531,  105,    0
   706, 42509,19590601,  110,    0
   706, 42509,19590602,   93,    0
   706, 42509,19590603,  110,    0
   706, 42509,19590604,  174,    0
   706, 42509,19590605,  143,    0
   706, 42509,19590606,  166,    0
   706, 42509,19590607,  180,    0
   706, 42509,19590608,  183,    0
   706, 42509,19590609,  164,    0
   706, 42509,19590610,  157,    0
   706, 42509,19590611,  139,    0
   706, 42509,19590612,  183,    0
   706, 42509,19590613,  169,    0
   706, 42509,19590614,  122,    0
   706, 42509,19590615,  104,    0
   706, 42509,19590616,   86,    0
   706, 42509,19590617,  110,    0
   706, 42509,19590618,  140,    0
   706, 42509,19590619,  134,    0
   706, 42509,19590620,  123,    0
   706, 42509,19590621,  108,    0
   706, 42509,19590622,  136,    0
   706, 42509,19590623,  161,    0
   706, 42509,19590624,  174,    0
   706, 42509,19590625,  202,    0
   706, 42509,19590626,  212,    0
   706, 42509,19590627,  187,    0
   706, 42509,19590628,  163,    0
   706, 42509,19590629,  128,    0
