EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HATTULA LEPAA-1, FINLAND (STAID: 709)
Blended and updated with sources:42754 42759 42854 902704 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   709, 42759,19590101,   -4,    0
   709, 42759,19590102,  -12,    0
   709, 42759,19590103,    1,    0
   709, 42759,19590104,    4,    0
   709, 42759,19590105,  -17,    0
   709, 42759,19590106,  -29,    0
   709, 42759,19590107,  -38,    0
   709, 42759,19590108,  -42,    0
   709, 42759,19590109,  -31,    0
   709, 42759,19590110,   -8,    0
   709, 42759,19590111,  -11,    0
   709, 42759,19590112,  -41,    0
   709, 42759,19590113,  -50,    0
   709, 42759,19590114,  -74,    0
   709, 42759,19590115, -135,    0
   709, 42759,19590116, -178,    0
   709, 42759,19590117, -183,    0
   709, 42759,19590118, -189,    0
   709, 42759,19590119, -195,    0
   709, 42759,19590120, -156,    0
   709, 42759,19590121,  -78,    0
   709, 42759,19590122,  -58,    0
   709, 42759,19590123,  -34,    0
   709, 42759,19590124,  -20,    0
   709, 42759,19590125,  -89,    0
   709, 42759,19590126,  -92,    0
   709, 42759,19590127,  -20,    0
   709, 42759,19590128,  -13,    0
   709, 42759,19590129,  -30,    0
   709, 42759,19590130,  -23,    0
   709, 42759,19590131,  -29,    0
   709, 42759,19590201,  -87,    0
   709, 42759,19590202,  -58,    0
   709, 42759,19590203,  -33,    0
   709, 42759,19590204,    6,    0
   709, 42759,19590205,  -21,    0
   709, 42759,19590206,  -53,    0
   709, 42759,19590207,  -28,    0
   709, 42759,19590208,  -30,    0
   709, 42759,19590209,  -42,    0
   709, 42759,19590210,  -62,    0
   709, 42759,19590211,  -57,    0
   709, 42759,19590212,  -50,    0
   709, 42759,19590213,  -47,    0
   709, 42759,19590214,  -42,    0
   709, 42759,19590215,  -43,    0
   709, 42759,19590216,  -28,    0
   709, 42759,19590217,   11,    0
   709, 42759,19590218,   20,    0
   709, 42759,19590219,   11,    0
   709, 42759,19590220,   -6,    0
   709, 42759,19590221,  -45,    0
   709, 42759,19590222,  -59,    0
   709, 42759,19590223,  -66,    0
   709, 42759,19590224,  -28,    0
   709, 42759,19590225,  -14,    0
   709, 42759,19590226,    5,    0
   709, 42759,19590227,   15,    0
   709, 42759,19590228,   17,    0
   709, 42759,19590301,   19,    0
   709, 42759,19590302,   14,    0
   709, 42759,19590303,   11,    0
   709, 42759,19590304,   10,    0
   709, 42759,19590305,   13,    0
   709, 42759,19590306,    6,    0
   709, 42759,19590307,   17,    0
   709, 42759,19590308,    1,    0
   709, 42759,19590309,  -19,    0
   709, 42759,19590310,  -26,    0
   709, 42759,19590311,  -26,    0
   709, 42759,19590312,  -32,    0
   709, 42759,19590313,  -41,    0
   709, 42759,19590314,  -36,    0
   709, 42759,19590315,  -23,    0
   709, 42759,19590316,    5,    0
   709, 42759,19590317,    3,    0
   709, 42759,19590318,   21,    0
   709, 42759,19590319,   14,    0
   709, 42759,19590320,   -3,    0
   709, 42759,19590321,   20,    0
   709, 42759,19590322,   33,    0
   709, 42759,19590323,   16,    0
   709, 42759,19590324,   29,    0
   709, 42759,19590325,    8,    0
   709, 42759,19590326,   20,    0
   709, 42759,19590327,   34,    0
   709, 42759,19590328,   -1,    0
   709, 42759,19590329,  -15,    0
   709, 42759,19590330,  -32,    0
   709, 42759,19590331,  -27,    0
   709, 42759,19590401,   -1,    0
   709, 42759,19590402,   16,    0
   709, 42759,19590403,   16,    0
   709, 42759,19590404,   22,    0
   709, 42759,19590405,   11,    0
   709, 42759,19590406,   34,    0
   709, 42759,19590407,   32,    0
   709, 42759,19590408,    2,    0
   709, 42759,19590409,  -24,    0
   709, 42759,19590410,    2,    0
   709, 42759,19590411,    3,    0
   709, 42759,19590412,   23,    0
   709, 42759,19590413,   17,    0
   709, 42759,19590414,   32,    0
   709, 42759,19590415,   98,    0
   709, 42759,19590416,  111,    0
   709, 42759,19590417,   95,    0
   709, 42759,19590418,   40,    0
   709, 42759,19590419,   -1,    0
   709, 42759,19590420,   10,    0
   709, 42759,19590421,    5,    0
   709, 42759,19590422,    0,    0
   709, 42759,19590423,    3,    0
   709, 42759,19590424,   43,    0
   709, 42759,19590425,   65,    0
   709, 42759,19590426,   78,    0
   709, 42759,19590427,  105,    0
   709, 42759,19590428,  111,    0
   709, 42759,19590429,  121,    0
   709, 42759,19590430,  116,    0
   709, 42759,19590501,  116,    0
   709, 42759,19590502,  152,    0
   709, 42759,19590503,  145,    0
   709, 42759,19590504,  119,    0
   709, 42759,19590505,   97,    0
   709, 42759,19590506,   74,    0
   709, 42759,19590507,   62,    0
   709, 42759,19590508,   60,    0
   709, 42759,19590509,   82,    0
   709, 42759,19590510,   92,    0
   709, 42759,19590511,  104,    0
   709, 42759,19590512,  126,    0
   709, 42759,19590513,  147,    0
   709, 42759,19590514,  161,    0
   709, 42759,19590515,  161,    0
   709, 42759,19590516,  149,    0
   709, 42759,19590517,  100,    0
   709, 42759,19590518,   78,    0
   709, 42759,19590519,   71,    0
   709, 42759,19590520,   65,    0
   709, 42759,19590521,   63,    0
   709, 42759,19590522,   59,    0
   709, 42759,19590523,   69,    0
   709, 42759,19590524,   79,    0
   709, 42759,19590525,   75,    0
   709, 42759,19590526,   76,    0
   709, 42759,19590527,   73,    0
   709, 42759,19590528,   79,    0
   709, 42759,19590529,   68,    0
   709, 42759,19590530,   95,    0
   709, 42759,19590531,   98,    0
   709, 42759,19590601,  100,    0
   709, 42759,19590602,  114,    0
   709, 42759,19590603,  131,    0
   709, 42759,19590604,  164,    0
   709, 42759,19590605,  152,    0
   709, 42759,19590606,  181,    0
   709, 42759,19590607,  186,    0
   709, 42759,19590608,  211,    0
   709, 42759,19590609,  198,    0
   709, 42759,19590610,  169,    0
   709, 42759,19590611,  149,    0
   709, 42759,19590612,  171,    0
   709, 42759,19590613,  177,    0
   709, 42759,19590614,  125,    0
   709, 42759,19590615,  100,    0
   709, 42759,19590616,  103,    0
   709, 42759,19590617,  109,    0
   709, 42759,19590618,  137,    0
   709, 42759,19590619,  128,    0
   709, 42759,19590620,  118,    0
   709, 42759,19590621,  111,    0
   709, 42759,19590622,  133,    0
   709, 42759,19590623,  153,    0
   709, 42759,19590624,  166,    0
   709, 42759,19590625,  188,    0
   709, 42759,19590626,  184,    0
   709, 42759,19590627,  180,    0
   709, 42759,19590628,  146,    0
   709, 42759,19590629,  125,    0
   709, 42759,19590630,  137,    0
   709, 42759,19590701,  136,    0
   709, 42759,19590702,  160,    0
   709, 42759,19590703,  131,    0
   709, 42759,19590704,  156,    0
   709, 42759,19590705,  173,    0
   709, 42759,19590706,  192,    0
   709, 42759,19590707,  199,    0
   709, 42759,19590708,  186,    0
   709, 42759,19590709,  195,    0
