EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AHTARI MYLLYMAKI, FINLAND (STAID: 718)
Blended and updated with sources:44480 902924 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   718, 44480,19590101,  -33,    0
   718, 44480,19590102,  -54,    0
   718, 44480,19590103,  -26,    0
   718, 44480,19590104,   -3,    0
   718, 44480,19590105,  -20,    0
   718, 44480,19590106,  -35,    0
   718, 44480,19590107,  -45,    0
   718, 44480,19590108,  -68,    0
   718, 44480,19590109,  -61,    0
   718, 44480,19590110,  -29,    0
   718, 44480,19590111,  -22,    0
   718, 44480,19590112,  -43,    0
   718, 44480,19590113,  -57,    0
   718, 44480,19590114,  -78,    0
   718, 44480,19590115, -124,    0
   718, 44480,19590116, -160,    0
   718, 44480,19590117, -183,    0
   718, 44480,19590118, -224,    0
   718, 44480,19590119, -230,    0
   718, 44480,19590120, -225,    0
   718, 44480,19590121, -147,    0
   718, 44480,19590122, -154,    0
   718, 44480,19590123, -114,    0
   718, 44480,19590124,  -58,    0
   718, 44480,19590125, -133,    0
   718, 44480,19590126, -118,    0
   718, 44480,19590127,  -43,    0
   718, 44480,19590128,  -20,    0
   718, 44480,19590129,  -20,    0
   718, 44480,19590130,  -32,    0
   718, 44480,19590131, -105,    0
   718, 44480,19590201, -122,    0
   718, 44480,19590202,  -77,    0
