EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALAJARVI MOKSY-1, FINLAND (STAID: 719)
Blended and updated with sources:44490 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   719, 44490,19590101,  -41,    0
   719, 44490,19590102,  -60,    0
   719, 44490,19590103,  -50,    0
   719, 44490,19590104,  -20,    0
   719, 44490,19590105,  -28,    0
   719, 44490,19590106,  -37,    0
   719, 44490,19590107,  -56,    0
   719, 44490,19590108,  -76,    0
   719, 44490,19590109,  -68,    0
   719, 44490,19590110,  -40,    0
   719, 44490,19590111,  -31,    0
   719, 44490,19590112,  -49,    0
   719, 44490,19590113,  -64,    0
   719, 44490,19590114,  -89,    0
   719, 44490,19590115, -123,    0
   719, 44490,19590116, -167,    0
   719, 44490,19590117, -195,    0
   719, 44490,19590118, -227,    0
   719, 44490,19590119, -235,    0
   719, 44490,19590120, -234,    0
   719, 44490,19590121, -174,    0
   719, 44490,19590122, -147,    0
   719, 44490,19590123, -116,    0
   719, 44490,19590124,  -87,    0
   719, 44490,19590125, -164,    0
   719, 44490,19590126, -126,    0
   719, 44490,19590127,  -30,    0
   719, 44490,19590128,  -21,    0
   719, 44490,19590129,  -30,    0
   719, 44490,19590130,  -52,    0
   719, 44490,19590131, -130,    0
   719, 44490,19590201, -159,    0
   719, 44490,19590202,  -88,    0
   719, 44490,19590203,  -55,    0
   719, 44490,19590204,    2,    0
   719, 44490,19590205,  -29,    0
   719, 44490,19590206,  -50,    0
   719, 44490,19590207,  -41,    0
   719, 44490,19590208,  -43,    0
   719, 44490,19590209,  -70,    0
   719, 44490,19590210,  -96,    0
   719, 44490,19590211,  -74,    0
   719, 44490,19590212,  -48,    0
   719, 44490,19590213,  -52,    0
   719, 44490,19590214,  -54,    0
   719, 44490,19590215,  -42,    0
   719, 44490,19590216,  -15,    0
   719, 44490,19590217,   -2,    0
   719, 44490,19590218,    8,    0
   719, 44490,19590219,   -3,    0
   719, 44490,19590220,  -22,    0
   719, 44490,19590221,  -59,    0
   719, 44490,19590222,  -86,    0
   719, 44490,19590223,  -80,    0
   719, 44490,19590224,  -36,    0
   719, 44490,19590225,  -60,    0
   719, 44490,19590226,  -24,    0
   719, 44490,19590227,    6,    0
   719, 44490,19590228,    3,    0
   719, 44490,19590301,    8,    0
   719, 44490,19590302,   15,    0
   719, 44490,19590303,   19,    0
   719, 44490,19590304,    7,    0
   719, 44490,19590305,   12,    0
   719, 44490,19590306,   16,    0
   719, 44490,19590307,    7,    0
   719, 44490,19590308,  -23,    0
   719, 44490,19590309,  -44,    0
   719, 44490,19590310,  -37,    0
   719, 44490,19590311,  -13,    0
   719, 44490,19590312,  -54,    0
   719, 44490,19590313,  -16,    0
   719, 44490,19590314,  -23,    0
   719, 44490,19590315,  -30,    0
   719, 44490,19590316,   -9,    0
   719, 44490,19590317,    2,    0
   719, 44490,19590318,   20,    0
   719, 44490,19590319,   -9,    0
   719, 44490,19590320,  -13,    0
   719, 44490,19590321,   15,    0
   719, 44490,19590322,   21,    0
   719, 44490,19590323,    4,    0
   719, 44490,19590324,    4,    0
   719, 44490,19590325,   17,    0
   719, 44490,19590326,   16,    0
   719, 44490,19590327,   14,    0
   719, 44490,19590328,  -38,    0
   719, 44490,19590329,  -51,    0
   719, 44490,19590330,  -53,    0
   719, 44490,19590331,  -26,    0
   719, 44490,19590401,  -17,    0
