STAID,SOUID,DATE,TG,Q_TG
10,30,17560101,-8.7,0
10,30,17560102,-9.2,0
10,30,17560103,-8.6,0
10,30,17560104,-7.7,0
10,30,17560105,-7.2,0
10,30,17560106,-1.6,0
10,30,17560107,0.7,0
10,30,17560108,1.3,0
10,30,17560109,2.4,0
10,30,17560110,0.8,0
10,30,17560111,0.6,0
10,30,17560112,4.3,0
10,30,17560113,-0.2,0
10,30,17560114,-0.7,0
10,30,17560115,-5.7,0
10,30,17560116,-6.2,0
10,30,17560117,-10.0,0
10,30,17560118,-11.5,0
10,30,17560119,-6.2,0
10,30,17560120,0.8,0
10,30,17560121,1.8,0
10,30,17560122,-4.7,0
10,30,17560123,-4.7,0
10,30,17560124,0.5,0
10,30,17560125,-0.4,0
10,30,17560126,-1.0,0
10,30,17560127,-6.8,0
10,30,17560128,-3.0,0
10,30,17560129,1.3,0
10,30,17560130,3.8,0
10,30,17560131,4.8,0
10,30,17560201,0.3,0
10,30,17560202,-4.2,0
10,30,17560203,-4.3,0
10,30,17560204,-3.3,0
10,30,17560205,-1.2,0
10,30,17560206,0.5,0
10,30,17560207,3.3,0
10,30,17560208,0.8,0
10,30,17560209,-1.0,0
10,30,17560210,-0.6,0
10,30,17560211,0.3,0
10,30,17560212,-0.8,0
10,30,17560213,2.3,0
10,30,17560214,-2.3,0
10,30,17560215,-0.2,0
10,30,17560216,-0.2,0
10,30,17560217,-0.3,0
10,30,17560218,-1.8,0
10,30,17560219,-2.2,0
10,30,17560220,-4.3,0
10,30,17560221,5.7,0
10,30,17560222,6.8,0
10,30,17560223,1.7,0
10,30,17560224,-2.8,0
10,30,17560225,-4.8,0
10,30,17560226,-3.8,0
10,30,17560227,-3.7,0
10,30,17560228,-3.4,0
10,30,17560229,0.7,0
10,30,17560301,-6.2,0
10,30,17560302,-5.2,0
10,30,17560303,-0.1,0
10,30,17560304,0.4,0
10,30,17560305,-1.0,0
10,30,17560306,3.8,0
10,30,17560307,2.8,0
10,30,17560308,3.9,0
10,30,17560309,4.4,0
10,30,17560310,-0.1,0
10,30,17560311,-3.6,0
10,30,17560312,-1.1,0
10,30,17560313,-1.6,0
10,30,17560314,-3.1,0
10,30,17560315,-2.1,0
10,30,17560316,1.7,0
10,30,17560317,-1.1,0
10,30,17560318,2.5,0
10,30,17560319,5.4,0
10,30,17560320,5.0,0
10,30,17560321,2.2,0
10,30,17560322,-0.1,0
10,30,17560323,-2.3,0
10,30,17560324,-4.5,0
10,30,17560325,-5.5,0
10,30,17560326,-1.3,0
10,30,17560327,0.0,0
10,30,17560328,-3.8,0
10,30,17560329,-3.5,0
10,30,17560330,-4.0,0
10,30,17560331,-1.5,0
10,30,17560401,0.2,0
10,30,17560402,-3.0,0
10,30,17560403,-1.3,0
10,30,17560404,-3.2,0
10,30,17560405,-3.5,0
10,30,17560406,-2.4,0
10,30,17560407,-0.2,0
10,30,17560408,-1.8,0
10,30,17560409,-0.2,0
10,30,17560410,-0.9,0
10,30,17560411,3.7,0
10,30,17560412,2.3,0
10,30,17560413,2.0,0
10,30,17560414,4.7,0
10,30,17560415,1.2,0
10,30,17560416,0.5,0
10,30,17560417,0.8,0
10,30,17560418,1.4,0
10,30,17560419,2.5,0
10,30,17560420,2.1,0
10,30,17560421,-0.9,0
10,30,17560422,2.1,0
10,30,17560423,-0.4,0
10,30,17560424,1.3,0
10,30,17560425,3.3,0
10,30,17560426,3.8,0
10,30,17560427,1.1,0
10,30,17560428,3.9,0
10,30,17560429,0.9,0
10,30,17560430,0.5,0
10,30,17560501,0.1,0
10,30,17560502,1.5,0
10,30,17560503,2.9,0
10,30,17560504,2.1,0
10,30,17560505,4.1,0
10,30,17560506,2.7,0
10,30,17560507,3.6,0
10,30,17560508,4.5,0
10,30,17560509,8.4,0
10,30,17560510,9.6,0
10,30,17560511,2.5,0
10,30,17560512,3.1,0
10,30,17560513,6.0,0
10,30,17560514,5.3,0
10,30,17560515,1.7,0
10,30,17560516,3.8,0
10,30,17560517,5.6,0
10,30,17560518,6.9,0
10,30,17560519,8.1,0
10,30,17560520,10.6,0
10,30,17560521,12.0,0
10,30,17560522,8.1,0
10,30,17560523,7.0,0
10,30,17560524,5.3,0
10,30,17560525,4.9,0
10,30,17560526,9.0,0
10,30,17560527,4.4,0
10,30,17560528,4.3,0
10,30,17560529,3.3,0
10,30,17560530,4.9,0
10,30,17560531,6.3,0
10,30,17560601,11.0,0
10,30,17560602,11.5,0
10,30,17560603,12.4,0
10,30,17560604,16.3,0
10,30,17560605,15.8,0
10,30,17560606,15.0,0
10,30,17560607,14.0,0
10,30,17560608,11.7,0
10,30,17560609,15.0,0
10,30,17560610,12.8,0
10,30,17560611,11.7,0
10,30,17560612,11.3,0
10,30,17560613,10.9,0
10,30,17560614,12.9,0
10,30,17560615,13.8,0
10,30,17560616,17.1,0
10,30,17560617,17.6,0
10,30,17560618,19.3,0
10,30,17560619,20.3,0
10,30,17560620,21.3,0
10,30,17560621,20.8,0
10,30,17560622,16.3,0
10,30,17560623,17.0,0
10,30,17560624,12.7,0
10,30,17560625,16.1,0
10,30,17560626,18.0,0
10,30,17560627,15.9,0
10,30,17560628,15.3,0
10,30,17560629,16.9,0
10,30,17560630,16.6,0
10,30,17560701,14.8,0
10,30,17560702,9.3,0
10,30,17560703,8.3,0
10,30,17560704,9.2,0
10,30,17560705,10.9,0
10,30,17560706,11.6,0
10,30,17560707,11.9,0
10,30,17560708,12.9,0
10,30,17560709,15.1,0
10,30,17560710,12.9,0
10,30,17560711,14.9,0
10,30,17560712,20.9,0
10,30,17560713,18.2,0
10,30,17560714,20.4,0
10,30,17560715,22.8,0
10,30,17560716,21.7,0
10,30,17560717,23.7,0
10,30,17560718,23.4,0
10,30,17560719,23.4,0
10,30,17560720,23.0,0
10,30,17560721,18.3,0
10,30,17560722,16.4,0
10,30,17560723,16.4,0
10,30,17560724,17.3,0
10,30,17560725,14.0,0
10,30,17560726,16.0,0
10,30,17560727,15.2,0
10,30,17560728,18.1,0
10,30,17560729,16.2,0
10,30,17560730,15.6,0
10,30,17560731,15.7,0
10,30,17560801,10.6,0
10,30,17560802,11.5,0
10,30,17560803,9.1,0
10,30,17560804,11.8,0
10,30,17560805,13.3,0
10,30,17560806,10.7,0
10,30,17560807,11.2,0
10,30,17560808,12.8,0
10,30,17560809,12.9,0
10,30,17560810,11.9,0
10,30,17560811,10.7,0
10,30,17560812,12.6,0
10,30,17560813,14.5,0
10,30,17560814,13.8,0
10,30,17560815,15.1,0
10,30,17560816,14.7,0
10,30,17560817,13.6,0
10,30,17560818,11.2,0
10,30,17560819,9.4,0
10,30,17560820,12.1,0
10,30,17560821,13.2,0
10,30,17560822,11.3,0
10,30,17560823,14.6,0
10,30,17560824,13.1,0
10,30,17560825,12.7,0
10,30,17560826,16.0,0
10,30,17560827,15.3,0
10,30,17560828,15.7,0
10,30,17560829,13.3,0
10,30,17560830,14.8,0
10,30,17560831,13.6,0
10,30,17560901,11.6,0
10,30,17560902,11.6,0
10,30,17560903,13.9,0
10,30,17560904,13.9,0
10,30,17560905,13.3,0
10,30,17560906,12.2,0
10,30,17560907,10.0,0
10,30,17560908,9.7,0
10,30,17560909,14.5,0
10,30,17560910,14.4,0
10,30,17560911,14.3,0
10,30,17560912,10.9,0
10,30,17560913,9.3,0
10,30,17560914,6.7,0
10,30,17560915,8.2,0
10,30,17560916,7.0,0
10,30,17560917,8.6,0
10,30,17560918,8.8,0
10,30,17560919,8.0,0
10,30,17560920,7.1,0
10,30,17560921,9.1,0
10,30,17560922,10.6,0
10,30,17560923,9.5,0
10,30,17560924,10.9,0
